,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
989807212167131137,5.994479338870349,605,8813,551,3124,2018-04-30_15_44_05,2386,2018-04-27,989807212167131137,http://twitter.com/BBCBreaking/status/989807212167131137
989851093688635393,5.145533707863319,356,456,95,415,2018-04-30_15_42_43,1264,2018-04-27,989851093688635393,http://twitter.com/BBCBreaking/status/989851093688635393
989970458429681664,5.3620539152771896,779,449,262,177,2018-04-30_15_41_19,3607,2018-04-27,989970458429681664,http://twitter.com/BBCBreaking/status/989970458429681664
990109137882304512,5.571818770089256,1545,3237,710,1291,2018-04-30_15_39_50,5419,2018-04-27,990109137882304512,http://twitter.com/BBCBreaking/status/990109137882304512
990210739909595136,5.861408083440769,767,1477,291,866,2018-04-30_15_38_24,3271,2018-04-28,990210739909595136,http://twitter.com/BBCBreaking/status/990210739909595136
990413332325785605,5.703237082073238,658,3925,220,1269,2018-04-30_15_37_03,2553,2018-04-28,990413332325785605,http://twitter.com/BBCBreaking/status/990413332325785605
990698488710225921,5.515060240948326,830,7566,785,4435,2018-04-30_15_35_34,3542,2018-04-29,990698488710225921,http://twitter.com/BBCBreaking/status/990698488710225921
990835307363913728,5.8703676470538975,680,984,147,599,2018-04-30_15_34_12,2815,2018-04-29,990835307363913728,http://twitter.com/BBCBreaking/status/990835307363913728
990883273860673542,5.776878048790966,820,1160,429,876,2018-04-30_15_32_43,3434,2018-04-30,990883273860673542,http://twitter.com/BBCBreaking/status/990883273860673542
990944951310614528,5.194557377048183,305,541,64,501,2018-04-30_15_31_16,1064,2018-04-30,990944951310614528,http://twitter.com/BBCBreaking/status/990944951310614528
989012121429168129,5.479748653509469,557,1522,235,861,2018-04-30_15_58_14,2150,2018-04-24,989012121429168129,http://twitter.com/BBCBreaking/status/989012121429168129
989097591760670721,5.164982698962806,289,1279,95,670,2018-04-30_15_56_54,1161,2018-04-25,989097591760670721,http://twitter.com/BBCBreaking/status/989097591760670721
989437665807339520,5.769963963985695,555,3671,684,517,2018-04-30_15_55_24,2161,2018-04-26,989437665807339520,http://twitter.com/BBCBreaking/status/989437665807339520
989526675460325376,6.016345323753918,695,1593,283,219,2018-04-30_15_54_00,2548,2018-04-26,989526675460325376,http://twitter.com/BBCBreaking/status/989526675460325376
989530592437063680,5.734779249459032,906,1801,1.1K,841,2018-04-30_15_52_38,3251,2018-04-26,989530592437063680,http://twitter.com/BBCBreaking/status/989530592437063680
989552347750785024,5.564098360655483,122,320,55,191,2018-04-30_15_51_12,497,2018-04-26,989552347750785024,http://twitter.com/BBCBreaking/status/989552347750785024
989563590276415489,5.136759259259184,432,2072,173,1151,2018-04-30_15_49_43,1489,2018-04-26,989563590276415489,http://twitter.com/BBCBreaking/status/989563590276415489
989663144653000704,6.150096774192389,310,2230,83,1070,2018-04-30_15_48_21,1360,2018-04-26,989663144653000704,http://twitter.com/BBCBreaking/status/989663144653000704
989760300873203712,5.8674488403852925,733,8718,297,3922,2018-04-30_15_46_57,2879,2018-04-26,989760300873203712,http://twitter.com/BBCBreaking/status/989760300873203712
989795069350858752,5.770785440618706,522,3259,137,1285,2018-04-30_15_45_32,2027,2018-04-27,989795069350858752,http://twitter.com/BBCBreaking/status/989795069350858752
988476684402913280,5.162500000009271,568,1259,167,1545,2018-04-30_16_06_29,2245,2018-04-23,988476684402913280,http://twitter.com/BBCBreaking/status/988476684402913280
988480892724228097,5.436577540107242,187,794,74,344,2018-04-30_16_05_02,889,2018-04-23,988480892724228097,http://twitter.com/BBCBreaking/status/988480892724228097
988520342099513348,5.171057692316603,520,604,118,1001,2018-04-30_16_01_04,1837,2018-04-23,988520342099513348,http://twitter.com/BBCBreaking/status/988520342099513348
988574616456171521,4.955366300369142,546,614,142,609,2018-04-30_15_59_40,2094,2018-04-23,988574616456171521,http://twitter.com/BBCBreaking/status/988574616456171521
988318635285467136,6.090985294127544,680,3929,422,1037,2018-04-30_16_18_08,2364,2018-04-23,988318635285467136,http://twitter.com/BBCBreaking/status/988318635285467136
988329089726640128,4.831886792452229,159,464,45,205,2018-04-30_16_16_48,577,2018-04-23,988329089726640128,http://twitter.com/BBCBreaking/status/988329089726640128
988344910934937600,5.2895302013430365,149,303,54,137,2018-04-30_16_15_26,459,2018-04-23,988344910934937600,http://twitter.com/BBCBreaking/status/988344910934937600
988366849866895360,5.3235914332864205,607,679,155,477,2018-04-30_16_14_00,1934,2018-04-23,988366849866895360,http://twitter.com/BBCBreaking/status/988366849866895360
988388726408712193,6.3014682539826765,756,15932,677,6065,2018-04-30_16_12_33,2449,2018-04-23,988388726408712193,http://twitter.com/BBCBreaking/status/988388726408712193
988395157744750592,5.919536423840152,151,950,80,813,2018-04-30_16_10_44,662,2018-04-23,988395157744750592,http://twitter.com/BBCBreaking/status/988395157744750592
988450420677861376,5.400151515151607,66,222,34,147,2018-04-30_16_08_21,297,2018-04-23,988450420677861376,http://twitter.com/BBCBreaking/status/988450420677861376
987968978894098438,5.639538461538513,65,277,29,204,2018-04-30_16_49_06,262,2018-04-22,987968978894098438,http://twitter.com/BBCBreaking/status/987968978894098438
987973866843713536,5.193423423424876,333,683,95,631,2018-04-30_16_47_45,1165,2018-04-22,987973866843713536,http://twitter.com/BBCBreaking/status/987973866843713536
988004009461141505,6.330779816512518,218,2570,90,846,2018-04-30_16_46_24,655,2018-04-22,988004009461141505,http://twitter.com/BBCBreaking/status/988004009461141505
988012076466569216,6.068711340205299,194,2047,83,791,2018-04-30_16_45_01,801,2018-04-22,988012076466569216,http://twitter.com/BBCBreaking/status/988012076466569216
988058656804687874,5.466017699114156,226,337,53,184,2018-04-30_16_43_35,846,2018-04-22,988058656804687874,http://twitter.com/BBCBreaking/status/988058656804687874
988440045949456384,5.347730796189651,1419,3182,531,1298,2018-04-30_16_41_37,5399,2018-04-23,988440045949456384,http://twitter.com/BBCBreaking/status/988440045949456384
987301468121255936,5.899233038358308,678,1349,236,514,2018-04-30_16_58_53,2573,2018-04-20,987301468121255936,http://twitter.com/BBCBreaking/status/987301468121255936
987385353144332289,5.561344430213722,781,14457,591,11327,2018-04-30_16_57_27,2564,2018-04-20,987385353144332289,http://twitter.com/BBCBreaking/status/987385353144332289
987453482750889984,5.664742951918683,603,4129,420,2043,2018-04-30_16_56_03,2320,2018-04-20,987453482750889984,http://twitter.com/BBCBreaking/status/987453482750889984
987661556128321536,5.357272727270732,286,322,76,159,2018-04-30_16_54_40,885,2018-04-21,987661556128321536,http://twitter.com/BBCBreaking/status/987661556128321536
987673813352636416,5.309605809134593,482,681,124,353,2018-04-30_16_53_12,1984,2018-04-21,987673813352636416,http://twitter.com/BBCBreaking/status/987673813352636416
987688888801128449,5.63942028985288,207,346,56,198,2018-04-30_16_51_52,875,2018-04-21,987688888801128449,http://twitter.com/BBCBreaking/status/987688888801128449
987794540290600960,5.3440059347159865,337,3993,316,2863,2018-04-30_16_50_27,951,2018-04-21,987794540290600960,http://twitter.com/BBCBreaking/status/987794540290600960
986491179398246400,5.700063091500013,634,390,151,168,2018-04-30_17_08_42,2943,2018-04-17,986491179398246400,http://twitter.com/BBCBreaking/status/986491179398246400
986523221297070081,5.66587878787858,165,397,56,168,2018-04-30_17_07_25,604,2018-04-18,986523221297070081,http://twitter.com/BBCBreaking/status/986523221297070081
986558771181883392,5.7294166666707405,360,632,108,292,2018-04-30_17_06_03,1601,2018-04-18,986558771181883392,http://twitter.com/BBCBreaking/status/986558771181883392
986640086967169026,6.066521739130157,115,527,53,334,2018-04-30_17_04_40,508,2018-04-18,986640086967169026,http://twitter.com/BBCBreaking/status/986640086967169026
986704679307538432,5.564182621511222,679,2961,483,2984,2018-04-30_17_03_12,2083,2018-04-18,986704679307538432,http://twitter.com/BBCBreaking/status/986704679307538432
987010158197866498,5.715294117647085,51,357,37,199,2018-04-30_17_01_48,179,2018-04-19,987010158197866498,http://twitter.com/BBCBreaking/status/987010158197866498
987253133733711873,6.058226711565274,891,12163,540,7851,2018-04-30_17_00_19,3359,2018-04-20,987253133733711873,http://twitter.com/BBCBreaking/status/987253133733711873
986161646317031424,5.5568260869598864,460,522,152,171,2018-04-30_17_18_52,1787,2018-04-17,986161646317031424,http://twitter.com/BBCBreaking/status/986161646317031424
986180297631961088,5.6797324414665376,299,286,75,119,2018-04-30_17_17_18,1131,2018-04-17,986180297631961088,http://twitter.com/BBCBreaking/status/986180297631961088
986198325237092352,5.450029895387785,669,580,156,395,2018-04-30_17_15_47,3223,2018-04-17,986198325237092352,http://twitter.com/BBCBreaking/status/986198325237092352
986201272159268864,5.369635761588252,302,517,76,297,2018-04-30_17_14_23,1335,2018-04-17,986201272159268864,http://twitter.com/BBCBreaking/status/986201272159268864
986331090087489536,5.523946188339028,223,448,70,361,2018-04-30_17_12_58,800,2018-04-17,986331090087489536,http://twitter.com/BBCBreaking/status/986331090087489536
986389333203738624,6.165300859609188,698,2278,202,1687,2018-04-30_17_11_33,1755,2018-04-17,986389333203738624,http://twitter.com/BBCBreaking/status/986389333203738624
986407045233545219,5.772164179101468,268,476,83,356,2018-04-30_17_10_10,1321,2018-04-17,986407045233545219,http://twitter.com/BBCBreaking/status/986407045233545219
985181860220125184,5.250882882892722,1110,1040,346,439,2018-04-30_17_28_52,3754,2018-04-14,985181860220125184,http://twitter.com/BBCBreaking/status/985181860220125184
985193578451390465,6.101387283235949,173,833,59,285,2018-04-30_17_27_28,640,2018-04-14,985193578451390465,http://twitter.com/BBCBreaking/status/985193578451390465
985275240421916672,5.8392909535524025,409,618,141,395,2018-04-30_17_26_04,1664,2018-04-14,985275240421916672,http://twitter.com/BBCBreaking/status/985275240421916672
985561150682206210,6.2559113300492895,203,2498,95,1180,2018-04-30_17_24_41,768,2018-04-15,985561150682206210,http://twitter.com/BBCBreaking/status/985561150682206210
985717065347751939,5.637209302329032,731,4274,524,1202,2018-04-30_17_23_13,3008,2018-04-15,985717065347751939,http://twitter.com/BBCBreaking/status/985717065347751939
985865750966620160,5.4131190727237,949,614,180,227,2018-04-30_17_21_46,3461,2018-04-16,985865750966620160,http://twitter.com/BBCBreaking/status/985865750966620160
985881062990667776,5.520226414961057,1325,1358,374,504,2018-04-30_17_20_18,5219,2018-04-16,985881062990667776,http://twitter.com/BBCBreaking/status/985881062990667776
985056810380951552,5.315561959668827,1041,1273,719,574,2018-04-30_17_39_00,3913,2018-04-14,985056810380951552,http://twitter.com/BBCBreaking/status/985056810380951552
985064604492591105,5.3506617647024814,1088,705,192,425,2018-04-30_17_37_36,4250,2018-04-14,985064604492591105,http://twitter.com/BBCBreaking/status/985064604492591105
985071785660985345,5.2392651440116484,1007,3132,1.4K,1614,2018-04-30_17_36_07,3860,2018-04-14,985071785660985345,http://twitter.com/BBCBreaking/status/985071785660985345
985100860287053824,5.4459671302229085,791,1604,134,389,2018-04-30_17_34_34,2931,2018-04-14,985100860287053824,http://twitter.com/BBCBreaking/status/985100860287053824
