,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
793579933201231880,5.841121951224692,410,10220,467,2452,2018-04-28_17_14_16,1300,2016-11-01,793579933201231880,http://twitter.com/BarackObama/status/793579933201231880
793607477057228800,6.165364806865741,233,9188,430,1783,2018-04-28_17_12_51,978,2016-11-01,793607477057228800,http://twitter.com/BarackObama/status/793607477057228800
793833434850349056,5.592845691390097,499,14658,1.3K,3262,2018-04-28_17_11_25,1561,2016-11-02,793833434850349056,http://twitter.com/BarackObama/status/793833434850349056
793881038862757888,5.613549160670767,417,11764,1.3K,2245,2018-04-28_17_09_56,1435,2016-11-02,793881038862757888,http://twitter.com/BarackObama/status/793881038862757888
794228145310154752,5.891005484479464,547,274168,4.5K,72541,2018-04-28_17_08_32,1922,2016-11-02,794228145310154752,http://twitter.com/BarackObama/status/794228145310154752
794283659079520256,5.815022321432898,448,9057,749,1575,2018-04-28_17_06_41,1400,2016-11-03,794283659079520256,http://twitter.com/BarackObama/status/794283659079520256
794606453197774849,5.73131894485025,417,25305,1.3K,6144,2018-04-28_17_04_49,1522,2016-11-04,794606453197774849,http://twitter.com/BarackObama/status/794606453197774849
794664579834015745,5.500030581062019,654,46245,3.9K,9450,2018-04-28_17_03_22,2305,2016-11-04,794664579834015745,http://twitter.com/BarackObama/status/794664579834015745
794940142867902465,5.472948717970676,624,24829,5.5K,3946,2018-04-28_17_01_35,2132,2016-11-05,794940142867902465,http://twitter.com/BarackObama/status/794940142867902465
818966711995088896,6.150890052355048,191,75902,6.1K,13774,2018-04-28_17_00_12,513,2017-01-10,818966711995088896,http://twitter.com/BarackObama/status/818966711995088896
822550300942856193,6.072009345842138,1070,1853114,72K,430019,2018-04-28_16_58_37,3181,2017-01-20,822550300942856193,http://twitter.com/BarackObama/status/822550300942856193
822553543479541761,5.896302521007511,119,162719,5.5K,49530,2018-04-28_16_56_45,452,2017-01-20,822553543479541761,http://twitter.com/BarackObama/status/822553543479541761
831527113211645959,6.697441314550465,426,1106800,16K,257960,2018-04-28_16_54_50,1204,2017-02-14,831527113211645959,http://twitter.com/BarackObama/status/831527113211645959
837322131834875904,6.035887850488651,642,106109,5.4K,18604,2018-04-28_16_52_57,1824,2017-03-02,837322131834875904,http://twitter.com/BarackObama/status/837322131834875904
837376982354694144,5.858437500009132,480,35946,3.1K,6888,2018-04-28_16_51_33,1589,2017-03-02,837376982354694144,http://twitter.com/BarackObama/status/837376982354694144
839585255703080968,6.017461139919728,579,274577,7.8K,51711,2018-04-28_16_50_12,1853,2017-03-08,839585255703080968,http://twitter.com/BarackObama/status/839585255703080968
843490091519623169,5.9326545454943815,1100,403892,8.6K,67156,2018-04-28_16_48_43,3343,2017-03-19,843490091519623169,http://twitter.com/BarackObama/status/843490091519623169
844896595179180034,5.920398613534405,577,815254,16K,143127,2018-04-28_16_47_17,2023,2017-03-23,844896595179180034,http://twitter.com/BarackObama/status/844896595179180034
856595671796895745,6.135886287621036,299,60202,3.1K,12019,2018-04-28_16_45_53,1104,2017-04-24,856595671796895745,http://twitter.com/BarackObama/status/856595671796895745
859457313232605184,5.755751231545588,812,504677,8.4K,129512,2018-04-28_16_44_32,2638,2017-05-02,859457313232605184,http://twitter.com/BarackObama/status/859457313232605184
859855649689174019,5.991613636362227,440,122705,5.5K,24005,2018-04-28_16_43_04,1285,2017-05-03,859855649689174019,http://twitter.com/BarackObama/status/859855649689174019
863756100948156416,6.307719298269554,684,733768,9.2K,111820,2018-04-28_16_41_39,1891,2017-05-14,863756100948156416,http://twitter.com/BarackObama/status/863756100948156416
866764702600359937,5.9064655172400125,232,84085,2.3K,9999,2018-04-28_16_40_14,777,2017-05-22,866764702600359937,http://twitter.com/BarackObama/status/866764702600359937
867061620027076608,5.784302059497623,437,1035068,11K,221098,2018-04-28_16_38_49,1367,2017-05-23,867061620027076608,http://twitter.com/BarackObama/status/867061620027076608
867745464329883648,5.860442930169919,587,219674,4.8K,43048,2018-04-28_16_37_27,1793,2017-05-25,867745464329883648,http://twitter.com/BarackObama/status/867745464329883648
868455601663332353,6.041554828171429,611,495269,6.9K,74944,2018-04-28_16_36_06,1925,2017-05-27,868455601663332353,http://twitter.com/BarackObama/status/868455601663332353
869178832082874369,5.831285140590179,747,703621,9.6K,130896,2018-04-28_16_34_43,2227,2017-05-29,869178832082874369,http://twitter.com/BarackObama/status/869178832082874369
870695481290117120,5.689162436547357,394,390455,15K,72238,2018-04-28_16_33_18,1324,2017-06-02,870695481290117120,http://twitter.com/BarackObama/status/870695481290117120
876456804305252353,6.140089686103808,446,1358895,23K,253847,2018-04-28_16_31_55,1448,2017-06-18,876456804305252353,http://twitter.com/BarackObama/status/876456804305252353
877974755592228868,5.6746760259480045,926,443579,25K,130590,2018-04-28_16_30_27,2973,2017-06-22,877974755592228868,http://twitter.com/BarackObama/status/877974755592228868
887836712822558720,5.805691382782889,499,2081701,29K,410348,2018-04-28_16_29_05,1676,2017-07-19,887836712822558720,http://twitter.com/BarackObama/status/887836712822558720
896523232098078720,5.907423494598718,1013,4584485,71K,1706934,2018-04-28_16_27_39,3300,2017-08-12,896523232098078720,http://twitter.com/BarackObama/status/896523232098078720
898261944095789056,6.255938566550071,293,1610910,26K,316936,2018-04-28_16_25_27,996,2017-08-17,898261944095789056,http://twitter.com/BarackObama/status/898261944095789056
901946021437206528,5.922629921285664,635,831358,24K,243923,2018-04-28_16_24_05,2010,2017-08-27,901946021437206528,http://twitter.com/BarackObama/status/901946021437206528
905141484386750469,5.680797413820133,928,920579,35K,382035,2018-04-28_16_22_37,3376,2017-09-05,905141484386750469,http://twitter.com/BarackObama/status/905141484386750469
905930380783620097,6.029470198670801,302,334310,9.2K,100169,2018-04-28_16_21_13,1067,2017-09-07,905930380783620097,http://twitter.com/BarackObama/status/905930380783620097
906269510231056385,6.139816053524692,598,237811,4.9K,31270,2018-04-28_16_19_52,1730,2017-09-08,906269510231056385,http://twitter.com/BarackObama/status/906269510231056385
907265689832103936,5.764463040461023,717,1367977,15K,342736,2018-04-28_16_17_58,2214,2017-09-11,907265689832103936,http://twitter.com/BarackObama/status/907265689832103936
907969359695491072,6.082524271867625,618,263203,6.3K,64823,2018-04-28_16_16_33,2079,2017-09-13,907969359695491072,http://twitter.com/BarackObama/status/907969359695491072
909871642423197696,6.189891135318521,643,152278,2.7K,31333,2018-04-28_16_15_12,2029,2017-09-18,909871642423197696,http://twitter.com/BarackObama/status/909871642423197696
910330388219916290,6.000115473452549,433,1485697,23K,438979,2018-04-28_16_13_45,1549,2017-09-19,910330388219916290,http://twitter.com/BarackObama/status/910330388219916290
910542207991590917,5.972901023890069,293,13309,871,2761,2018-04-28_16_12_24,1060,2017-09-20,910542207991590917,http://twitter.com/BarackObama/status/910542207991590917
912460861758955523,6.185665760877418,736,328821,4.0K,57960,2018-04-28_16_10_56,2136,2017-09-25,912460861758955523,http://twitter.com/BarackObama/status/912460861758955523
912724426709504000,6.00341698847015,1036,335635,11K,112603,2018-04-28_16_09_31,3384,2017-09-26,912724426709504000,http://twitter.com/BarackObama/status/912724426709504000
913952069765271559,6.120465838503243,322,507416,8.7K,60449,2018-04-28_16_08_06,1218,2017-09-29,913952069765271559,http://twitter.com/BarackObama/status/913952069765271559
914832655170011137,5.634626168240152,642,1700427,22K,395749,2018-04-28_16_06_47,1999,2017-10-02,914832655170011137,http://twitter.com/BarackObama/status/914832655170011137
920061541986250758,5.962022471921178,445,674714,19K,91594,2018-04-28_16_05_26,1530,2017-10-16,920061541986250758,http://twitter.com/BarackObama/status/920061541986250758
921889369337860096,6.019547872338373,376,502463,10K,82999,2018-04-28_16_04_03,1333,2017-10-21,921889369337860096,http://twitter.com/BarackObama/status/921889369337860096
922584337815613441,5.928407407407218,270,309192,5.3K,54364,2018-04-28_16_02_38,875,2017-10-23,922584337815613441,http://twitter.com/BarackObama/status/922584337815613441
925114135548919808,5.891323283105535,597,180207,5.7K,21394,2018-04-28_16_01_15,1875,2017-10-30,925114135548919808,http://twitter.com/BarackObama/status/925114135548919808
925526988659548160,5.822932515366183,815,704317,13K,103059,2018-04-28_15_59_50,2638,2017-10-31,925526988659548160,http://twitter.com/BarackObama/status/925526988659548160
925710762894680064,5.864669603563606,908,256355,11K,136270,2018-04-28_15_58_25,2892,2017-11-01,925710762894680064,http://twitter.com/BarackObama/status/925710762894680064
927337524808347648,5.950302197822572,728,546781,7.7K,96471,2018-04-28_15_57_02,2230,2017-11-05,927337524808347648,http://twitter.com/BarackObama/status/927337524808347648
928252100081078272,6.073355006527356,769,429647,8.6K,73084,2018-04-28_15_54_45,2849,2017-11-08,928252100081078272,http://twitter.com/BarackObama/status/928252100081078272
929366549009502208,6.1788814129708625,1189,54817,2.0K,8900,2018-04-28_15_53_20,3643,2017-11-11,929366549009502208,http://twitter.com/BarackObama/status/929366549009502208
932685522820042754,6.1628651685356015,356,2011243,25K,503483,2018-04-28_15_51_57,1187,2017-11-20,932685522820042754,http://twitter.com/BarackObama/status/932685522820042754
933707825821421568,6.246324200941763,876,1385250,35K,214196,2018-04-28_15_50_34,2537,2017-11-23,933707825821421568,http://twitter.com/BarackObama/status/933707825821421568
935255366438408192,5.965991041462448,893,1160404,13K,114780,2018-04-28_15_49_10,2918,2017-11-27,935255366438408192,http://twitter.com/BarackObama/status/935255366438408192
937818240453095424,5.709095744680492,188,31075,2.6K,6693,2018-04-28_15_47_54,572,2017-12-04,937818240453095424,http://twitter.com/BarackObama/status/937818240453095424
940314364460060673,5.874685212228844,1366,226497,7.3K,87149,2018-04-28_15_46_30,4281,2017-12-11,940314364460060673,http://twitter.com/BarackObama/status/940314364460060673
940737366255423488,6.129056016649902,964,690598,13K,84853,2018-04-28_15_45_05,3042,2017-12-12,940737366255423488,http://twitter.com/BarackObama/status/940737366255423488
941437447296225280,6.138767395671157,1006,415556,12K,59838,2018-04-28_15_43_40,3147,2017-12-14,941437447296225280,http://twitter.com/BarackObama/status/941437447296225280
945324527520804866,6.581581259158548,683,1475696,45K,252425,2018-04-28_15_42_14,1805,2017-12-25,945324527520804866,http://twitter.com/BarackObama/status/945324527520804866
946775081371471872,6.047853333347225,750,785724,21K,177487,2018-04-28_15_40_27,2555,2017-12-29,946775081371471872,http://twitter.com/BarackObama/status/946775081371471872
952914779458424832,5.926023454188597,938,1466264,29K,375003,2018-04-28_15_37_16,3210,2018-01-15,952914779458424832,http://twitter.com/BarackObama/status/952914779458424832
963811333685817346,6.474041184054638,777,1528411,24K,244319,2018-04-28_15_35_27,2129,2018-02-14,963811333685817346,http://twitter.com/BarackObama/status/963811333685817346
964185606803853314,5.563397932842083,774,1325887,33K,381125,2018-04-28_15_34_04,2769,2018-02-15,964185606803853314,http://twitter.com/BarackObama/status/964185606803853314
966350067287363584,5.769980314985707,1016,258798,8.1K,35246,2018-04-28_15_32_41,3585,2018-02-21,966350067287363584,http://twitter.com/BarackObama/status/966350067287363584
966704319658647553,5.900543999949398,1250,1651056,34K,453151,2018-04-28_15_31_19,4199,2018-02-22,966704319658647553,http://twitter.com/BarackObama/status/966704319658647553
968681836078608385,5.945589171997613,628,240706,7.2K,37691,2018-04-28_15_29_58,2043,2018-02-27,968681836078608385,http://twitter.com/BarackObama/status/968681836078608385
973260504411058176,6.119519343514341,853,173842,2.9K,19676,2018-04-28_15_28_32,2505,2018-03-12,973260504411058176,http://twitter.com/BarackObama/status/973260504411058176
973936533320413184,6.025532786895366,732,1446356,7.6K,274811,2018-04-28_15_27_07,2387,2018-03-14,973936533320413184,http://twitter.com/BarackObama/status/973936533320413184
974015556675391488,6.017667210461173,613,265462,8.1K,39470,2018-04-28_15_25_47,2090,2018-03-14,974015556675391488,http://twitter.com/BarackObama/status/974015556675391488
974424008182689792,6.109129411797906,850,131369,2.2K,13177,2018-04-28_15_24_25,2746,2018-03-15,974424008182689792,http://twitter.com/BarackObama/status/974424008182689792
974440685175754752,6.104328358228432,871,281792,4.1K,29913,2018-04-28_15_22_59,3197,2018-03-15,974440685175754752,http://twitter.com/BarackObama/status/974440685175754752
975751255296487424,6.099688888915204,900,174776,3.0K,26595,2018-04-28_15_21_38,2887,2018-03-19,975751255296487424,http://twitter.com/BarackObama/status/975751255296487424
975851480648421376,5.936724137953961,638,138592,4.2K,27418,2018-04-28_15_20_15,2105,2018-03-19,975851480648421376,http://twitter.com/BarackObama/status/975851480648421376
977592827348742146,5.865896510129327,1662,1596307,26K,328531,2018-04-28_15_18_44,5641,2018-03-24,977592827348742146,http://twitter.com/BarackObama/status/977592827348742146
