,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
829487490805460992,5.92453763442448,930,9469,15K,2389,2018-05-07_17_01_07,2759,2017-02-08,829487490805460992,http://twitter.com/BetsyDeVos/status/829487490805460992
829794390881267712,5.903176020427344,784,3000,1.5K,875,2018-05-07_16_59_35,2558,2017-02-09,829794390881267712,http://twitter.com/BetsyDeVos/status/829794390881267712
831533102216396800,5.74410094637381,317,268,143,154,2018-05-07_16_58_06,1043,2017-02-14,831533102216396800,http://twitter.com/BetsyDeVos/status/831533102216396800
831945938449100801,5.796203301490167,1151,2577,1.3K,665,2018-05-07_16_56_24,3806,2017-02-15,831945938449100801,http://twitter.com/BetsyDeVos/status/831945938449100801
832282841471918080,5.945030408361615,1151,1800,2.5K,501,2018-05-07_16_54_51,3522,2017-02-16,832282841471918080,http://twitter.com/BetsyDeVos/status/832282841471918080
829008155103346688,5.770512500003536,800,41051,15K,8351,2018-05-07_17_08_31,2573,2017-02-07,829008155103346688,http://twitter.com/BetsyDeVos/status/829008155103346688
829021381169991680,5.89521266075538,1011,18693,13K,6818,2018-05-07_17_06_49,2982,2017-02-07,829021381169991680,http://twitter.com/BetsyDeVos/status/829021381169991680
829413134439940096,5.868414985607887,694,2903,564,626,2018-05-07_17_05_23,2107,2017-02-08,829413134439940096,http://twitter.com/BetsyDeVos/status/829413134439940096
829461913906077696,5.822314356459304,808,4194,1.0K,1193,2018-05-07_17_04_03,2633,2017-02-08,829461913906077696,http://twitter.com/BetsyDeVos/status/829461913906077696
829462010920321027,6.029313052031943,1019,4828,1.4K,1265,2018-05-07_17_02_31,3186,2017-02-08,829462010920321027,http://twitter.com/BetsyDeVos/status/829462010920321027
823956727708131328,5.695709342577728,578,1037,1.5K,392,2018-05-07_17_16_25,1741,2017-01-24,823956727708131328,http://twitter.com/BetsyDeVos/status/823956727708131328
824685545632759809,5.960595084112081,773,1247,230,265,2018-05-07_17_14_51,2393,2017-01-26,824685545632759809,http://twitter.com/BetsyDeVos/status/824685545632759809
824692533234003968,6.0047327044210626,636,1311,276,354,2018-05-07_17_13_16,2056,2017-01-26,824692533234003968,http://twitter.com/BetsyDeVos/status/824692533234003968
825081492753752066,5.585350318481081,785,2285,2.0K,927,2018-05-07_17_11_45,2363,2017-01-27,825081492753752066,http://twitter.com/BetsyDeVos/status/825081492753752066
826471601889755136,5.855747266124225,823,4053,3.1K,988,2018-05-07_17_10_07,2240,2017-01-31,826471601889755136,http://twitter.com/BetsyDeVos/status/826471601889755136
822574081480491008,5.911309371014513,779,2390,1.6K,509,2018-05-07_17_23_31,2687,2017-01-20,822574081480491008,http://twitter.com/BetsyDeVos/status/822574081480491008
822576274308825094,5.576360201539237,794,865,2.0K,152,2018-05-07_17_22_04,2813,2017-01-20,822576274308825094,http://twitter.com/BetsyDeVos/status/822576274308825094
822584093078683651,5.896277695732026,677,1344,442,242,2018-05-07_17_20_38,2341,2017-01-20,822584093078683651,http://twitter.com/BetsyDeVos/status/822584093078683651
823620549146542080,6.006748216130093,981,3516,690,1356,2018-05-07_17_19_18,2797,2017-01-23,823620549146542080,http://twitter.com/BetsyDeVos/status/823620549146542080
823665347660251137,5.907549783589097,1155,2871,933,948,2018-05-07_17_17_56,3276,2017-01-23,823665347660251137,http://twitter.com/BetsyDeVos/status/823665347660251137
801554965965787140,5.907762430958298,724,975,379,207,2018-05-07_17_32_54,2193,2016-11-23,801554965965787140,http://twitter.com/BetsyDeVos/status/801554965965787140
801813126945632256,5.91958823531987,850,1112,414,181,2018-05-07_17_30_55,2606,2016-11-24,801813126945632256,http://twitter.com/BetsyDeVos/status/801813126945632256
821762436189585408,5.9387888531782815,933,2396,841,917,2018-05-07_17_28_57,2886,2017-01-18,821762436189585408,http://twitter.com/BetsyDeVos/status/821762436189585408
822528097870344193,5.8727040816285125,392,1387,148,293,2018-05-07_17_27_09,1250,2017-01-20,822528097870344193,http://twitter.com/BetsyDeVos/status/822528097870344193
822530266832969729,5.969284164866183,461,654,126,84,2018-05-07_17_25_31,1386,2017-01-20,822530266832969729,http://twitter.com/BetsyDeVos/status/822530266832969729
801505785742290945,6.010633561642197,1168,14108,2.2K,9970,2018-05-07_17_43_10,3750,2016-11-23,801505785742290945,http://twitter.com/BetsyDeVos/status/801505785742290945
801536505789480964,5.896879194627972,298,1031,87,401,2018-05-07_17_41_07,970,2016-11-23,801536505789480964,http://twitter.com/BetsyDeVos/status/801536505789480964
801537980674560006,5.7838842975360585,726,1873,276,758,2018-05-07_17_39_08,2474,2016-11-23,801537980674560006,http://twitter.com/BetsyDeVos/status/801537980674560006
801542751347232774,5.977310469322063,554,672,141,175,2018-05-07_17_36_40,1636,2016-11-23,801542751347232774,http://twitter.com/BetsyDeVos/status/801542751347232774
801543334410014721,5.782294573657402,645,1112,244,370,2018-05-07_17_34_49,2154,2016-11-23,801543334410014721,http://twitter.com/BetsyDeVos/status/801543334410014721
327109382020141056,5.943921568626669,153,180,41,62,2018-05-07_17_53_02,542,2013-04-24,327109382020141056,http://twitter.com/BetsyDeVos/status/327109382020141056
801489110984691712,5.960551020437163,980,6934,968,3821,2018-05-07_17_49_57,3119,2016-11-23,801489110984691712,http://twitter.com/BetsyDeVos/status/801489110984691712
801489877900677120,5.994238551671165,939,1815,303,929,2018-05-07_17_48_07,2852,2016-11-23,801489877900677120,http://twitter.com/BetsyDeVos/status/801489877900677120
801495520082591752,6.114044444445707,450,867,131,272,2018-05-07_17_45_40,1366,2016-11-23,801495520082591752,http://twitter.com/BetsyDeVos/status/801495520082591752
