,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
991310017709125632,5.8987882653388,784,229,123,50,2018-05-07_17_00_47,2520,2018-05-01,991310017709125632,http://twitter.com/BetsyDeVosED/status/991310017709125632
991439984128294913,5.9698203592780175,334,231,94,40,2018-05-07_16_59_25,1055,2018-05-01,991439984128294913,http://twitter.com/BetsyDeVosED/status/991439984128294913
991668508802060288,5.729565217391398,69,133,21,61,2018-05-07_16_57_57,313,2018-05-01,991668508802060288,http://twitter.com/BetsyDeVosED/status/991668508802060288
991713567924776960,5.979615384626082,624,232,103,44,2018-05-07_16_56_24,1888,2018-05-02,991713567924776960,http://twitter.com/BetsyDeVosED/status/991713567924776960
991824120919805952,5.844176470586872,170,31,29,12,2018-05-07_16_55_03,536,2018-05-02,991824120919805952,http://twitter.com/BetsyDeVosED/status/991824120919805952
988891190576721925,5.733708399389305,631,303,107,91,2018-05-07_17_06_53,2063,2018-04-24,988891190576721925,http://twitter.com/BetsyDeVosED/status/988891190576721925
989919411468472321,5.848309352544668,834,237,158,46,2018-05-07_17_05_02,2741,2018-04-27,989919411468472321,http://twitter.com/BetsyDeVosED/status/989919411468472321
991024099324547073,5.810703363913273,327,145,72,30,2018-05-07_17_03_39,1148,2018-04-30,991024099324547073,http://twitter.com/BetsyDeVosED/status/991024099324547073
991104461182586881,6.016162464982513,357,150,75,39,2018-05-07_17_02_17,1184,2018-04-30,991104461182586881,http://twitter.com/BetsyDeVosED/status/991104461182586881
986347076488433664,5.936689895478414,574,154,65,43,2018-05-07_17_13_30,1875,2018-04-17,986347076488433664,http://twitter.com/BetsyDeVosED/status/986347076488433664
986416615003688960,5.844289772725243,352,541,78,105,2018-05-07_17_12_08,1093,2018-04-17,986416615003688960,http://twitter.com/BetsyDeVosED/status/986416615003688960
986723752124796928,5.885718015623093,1149,492,227,113,2018-05-07_17_10_32,4127,2018-04-18,986723752124796928,http://twitter.com/BetsyDeVosED/status/986723752124796928
987049672740147200,5.941348511398224,571,180,127,52,2018-05-07_17_08_59,1760,2018-04-19,987049672740147200,http://twitter.com/BetsyDeVosED/status/987049672740147200
984854517039685632,5.981134654666853,1463,256,232,82,2018-05-07_17_20_58,5157,2018-04-13,984854517039685632,http://twitter.com/BetsyDeVosED/status/984854517039685632
984870866684178433,5.991639344181969,1281,281,221,79,2018-05-07_17_19_31,4256,2018-04-13,984870866684178433,http://twitter.com/BetsyDeVosED/status/984870866684178433
984872152246693888,5.879473684210402,133,77,27,33,2018-05-07_17_18_09,506,2018-04-13,984872152246693888,http://twitter.com/BetsyDeVosED/status/984872152246693888
986260639130767360,5.812269043711708,1234,278,174,80,2018-05-07_17_16_37,4026,2018-04-17,986260639130767360,http://twitter.com/BetsyDeVosED/status/986260639130767360
986333047409856513,5.9246643109519335,283,220,59,97,2018-05-07_17_15_05,997,2018-04-17,986333047409856513,http://twitter.com/BetsyDeVosED/status/986333047409856513
984529879893991425,5.803773584904612,159,70,27,46,2018-05-07_17_27_52,671,2018-04-12,984529879893991425,http://twitter.com/BetsyDeVosED/status/984529879893991425
984533916869627904,5.800831485611044,902,197,144,59,2018-05-07_17_25_56,3035,2018-04-12,984533916869627904,http://twitter.com/BetsyDeVosED/status/984533916869627904
984534888941604864,5.897387448721722,1466,213,215,95,2018-05-07_17_23_52,5158,2018-04-12,984534888941604864,http://twitter.com/BetsyDeVosED/status/984534888941604864
984540310587039744,5.858899082569085,109,61,22,24,2018-05-07_17_22_32,432,2018-04-12,984540310587039744,http://twitter.com/BetsyDeVosED/status/984540310587039744
981964836199215104,5.98629677421476,775,338,141,119,2018-05-07_17_38_57,2617,2018-04-05,981964836199215104,http://twitter.com/BetsyDeVosED/status/981964836199215104
982066498465353728,5.949203539841582,791,192,148,43,2018-05-07_17_36_58,2649,2018-04-05,982066498465353728,http://twitter.com/BetsyDeVosED/status/982066498465353728
983783659844067329,5.941633291512653,1598,218,282,83,2018-05-07_17_34_07,5338,2018-04-10,983783659844067329,http://twitter.com/BetsyDeVosED/status/983783659844067329
983791946694086656,6.065898366618607,551,168,92,66,2018-05-07_17_32_16,1831,2018-04-10,983791946694086656,http://twitter.com/BetsyDeVosED/status/983791946694086656
984169740418666497,5.9200503778299725,397,137,91,34,2018-05-07_17_30_25,1252,2018-04-11,984169740418666497,http://twitter.com/BetsyDeVosED/status/984169740418666497
