,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
913409104588234754,5.826682375163448,1061,93001,6.2K,16924,2018-05-01_17_10_01,3217,2017-09-28,913409104588234754,http://twitter.com/BillCassidy/status/913409104588234754
914820586584576000,5.3087684729120586,609,67,163,13,2018-05-01_17_08_38,2024,2017-10-02,914820586584576000,http://twitter.com/BillCassidy/status/914820586584576000
916665826794790912,5.7414417532021345,867,64648,9.6K,13586,2018-05-01_17_07_03,2850,2017-10-07,916665826794790912,http://twitter.com/BillCassidy/status/916665826794790912
919550490127552513,5.464050991498502,353,27,68,12,2018-05-01_17_05_42,1277,2017-10-15,919550490127552513,http://twitter.com/BillCassidy/status/919550490127552513
921113306844233729,5.507538461535004,325,35,88,15,2018-05-01_17_04_21,1169,2017-10-19,921113306844233729,http://twitter.com/BillCassidy/status/921113306844233729
912495774608568321,5.627901098922546,910,119,444,44,2018-05-01_17_17_15,3199,2017-09-25,912495774608568321,http://twitter.com/BillCassidy/status/912495774608568321
912496579705278465,5.454350515502756,970,127,373,48,2018-05-01_17_15_49,3379,2017-09-25,912496579705278465,http://twitter.com/BillCassidy/status/912496579705278465
912499473997352961,5.322192513381816,748,353,2.4K,197,2018-05-01_17_14_20,2696,2017-09-25,912499473997352961,http://twitter.com/BillCassidy/status/912499473997352961
912669449496522752,5.2402178649277165,459,10,133,8,2018-05-01_17_12_57,1474,2017-09-26,912669449496522752,http://twitter.com/BillCassidy/status/912669449496522752
913062826121613312,6.0958118081276575,542,2484,157,808,2018-05-01_17_11_29,1795,2017-09-27,913062826121613312,http://twitter.com/BillCassidy/status/913062826121613312
912482786895900672,5.317591836734931,245,40,88,15,2018-05-01_17_24_28,818,2017-09-25,912482786895900672,http://twitter.com/BillCassidy/status/912482786895900672
912483902870183937,5.521748878948977,892,146,640,72,2018-05-01_17_22_55,3043,2017-09-25,912483902870183937,http://twitter.com/BillCassidy/status/912483902870183937
912484402105548801,5.382515723281197,795,371,725,172,2018-05-01_17_21_30,2857,2017-09-25,912484402105548801,http://twitter.com/BillCassidy/status/912484402105548801
