,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
981965892241289216,6.307252358511986,848,17334,441,2491,2018-04-30_19_40_34,2759,2018-04-05,981965892241289216,http://twitter.com/BillClinton/status/981965892241289216
983777223038652416,5.917095292801795,871,12955,369,2876,2018-04-30_19_39_05,3204,2018-04-10,983777223038652416,http://twitter.com/BillClinton/status/983777223038652416
985632251626119170,6.432624999999131,160,1622,46,279,2018-04-30_19_37_50,459,2018-04-15,985632251626119170,http://twitter.com/BillClinton/status/985632251626119170
985643669297483776,6.072485029958784,668,13201,304,1917,2018-04-30_19_36_20,2126,2018-04-15,985643669297483776,http://twitter.com/BillClinton/status/985643669297483776
986393014443659265,5.979030054649503,732,212004,2.0K,28794,2018-04-30_19_34_54,2322,2018-04-17,986393014443659265,http://twitter.com/BillClinton/status/986393014443659265
986792920048074753,6.133669201539838,526,27661,210,4329,2018-04-30_19_33_28,1536,2018-04-18,986792920048074753,http://twitter.com/BillClinton/status/986792920048074753
987375380460982274,6.0466455696251025,474,1417,154,347,2018-04-30_19_32_05,1440,2018-04-20,987375380460982274,http://twitter.com/BillClinton/status/987375380460982274
988085902458093569,6.063143236089813,754,9498,439,1600,2018-04-30_19_30_45,2467,2018-04-22,988085902458093569,http://twitter.com/BillClinton/status/988085902458093569
990371292263206912,5.6814838709821975,465,1371,104,300,2018-04-30_19_28_46,1757,2018-04-28,990371292263206912,http://twitter.com/BillClinton/status/990371292263206912
973668723914657796,6.222094594592309,1036,5671,296,710,2018-04-30_19_54_50,2886,2018-03-13,973668723914657796,http://twitter.com/BillClinton/status/973668723914657796
974335782298275840,5.581967020045526,849,6560,746,2229,2018-04-30_19_53_22,3146,2018-03-15,974335782298275840,http://twitter.com/BillClinton/status/974335782298275840
974770743794860032,6.111220238090278,1008,5727,318,753,2018-04-30_19_51_59,3298,2018-03-16,974770743794860032,http://twitter.com/BillClinton/status/974770743794860032
976288217803628544,5.6687804878236445,779,3036,179,458,2018-04-30_19_50_32,2710,2018-03-20,976288217803628544,http://twitter.com/BillClinton/status/976288217803628544
977177426819211264,5.512750877100319,1425,31335,1.4K,7169,2018-04-30_19_49_03,4791,2018-03-23,977177426819211264,http://twitter.com/BillClinton/status/977177426819211264
977679793738207232,5.4526527454922125,1293,44852,1.2K,7644,2018-04-30_19_47_38,4472,2018-03-24,977679793738207232,http://twitter.com/BillClinton/status/977679793738207232
977753198600519680,5.984009433985058,636,7558,227,945,2018-04-30_19_46_15,1761,2018-03-24,977753198600519680,http://twitter.com/BillClinton/status/977753198600519680
980250617326260225,6.009342560554128,289,1910,94,493,2018-04-30_19_44_52,934,2018-03-28,980250617326260225,http://twitter.com/BillClinton/status/980250617326260225
981159051060023296,5.880148331307344,809,5921,306,1082,2018-04-30_19_43_27,2854,2018-04-03,981159051060023296,http://twitter.com/BillClinton/status/981159051060023296
981545492709564416,5.883475091144695,823,12771,265,2307,2018-04-30_19_42_04,2700,2018-04-04,981545492709564416,http://twitter.com/BillClinton/status/981545492709564416
964201057986465794,5.908412969300954,586,2095,156,360,2018-04-30_21_11_05,2071,2018-02-15,964201057986465794,http://twitter.com/BillClinton/status/964201057986465794
964266370849476608,5.196329479696481,1384,64154,1.4K,19234,2018-04-30_21_09_30,4825,2018-02-15,964266370849476608,http://twitter.com/BillClinton/status/964266370849476608
964610407397822464,6.031516483526387,455,9565,554,2069,2018-04-30_21_08_10,1504,2018-02-16,964610407397822464,http://twitter.com/BillClinton/status/964610407397822464
966362033045295106,5.819524590184924,610,5430,413,829,2018-04-30_21_06_45,1924,2018-02-21,966362033045295106,http://twitter.com/BillClinton/status/966362033045295106
967421360371851264,6.40162485068487,837,14643,535,2335,2018-04-30_21_05_23,2622,2018-02-24,967421360371851264,http://twitter.com/BillClinton/status/967421360371851264
968234699633102849,6.30957213931456,1005,26458,595,5329,2018-04-30_21_03_59,2913,2018-02-26,968234699633102849,http://twitter.com/BillClinton/status/968234699633102849
971037241819762694,6.009638728326294,692,13649,306,2009,2018-04-30_21_02_32,2171,2018-03-06,971037241819762694,http://twitter.com/BillClinton/status/971037241819762694
972179645981429760,6.1446666666711725,960,5510,284,599,2018-04-30_21_01_05,2854,2018-03-09,972179645981429760,http://twitter.com/BillClinton/status/972179645981429760
952916425760440320,5.6795024077231275,623,56292,1.2K,11614,2018-04-30_21_22_47,2190,2018-01-15,952916425760440320,http://twitter.com/BillClinton/status/952916425760440320
952930046632656897,6.16277708592595,803,34783,474,15885,2018-04-30_21_21_11,2646,2018-01-15,952930046632656897,http://twitter.com/BillClinton/status/952930046632656897
952930414452264960,5.826905537477857,614,67520,1.1K,19299,2018-04-30_21_19_44,2135,2018-01-15,952930414452264960,http://twitter.com/BillClinton/status/952930414452264960
956224518158209024,5.943366336651473,707,12116,693,2110,2018-04-30_21_18_20,2329,2018-01-24,956224518158209024,http://twitter.com/BillClinton/status/956224518158209024
958458563457929222,5.8630981067365076,581,4214,435,674,2018-04-30_21_16_52,1921,2018-01-30,958458563457929222,http://twitter.com/BillClinton/status/958458563457929222
960529658482700288,6.079340974241482,698,10311,325,1700,2018-04-30_21_15_23,2176,2018-02-05,960529658482700288,http://twitter.com/BillClinton/status/960529658482700288
960553864226377729,5.839514563132086,618,2600,407,500,2018-04-30_21_13_55,2005,2018-02-05,960553864226377729,http://twitter.com/BillClinton/status/960553864226377729
963967302365581312,5.504471726141865,1344,40923,1.1K,8047,2018-04-30_21_12_28,4184,2018-02-14,963967302365581312,http://twitter.com/BillClinton/status/963967302365581312
942975827674836993,5.954688995220457,418,19826,521,3121,2018-04-30_21_34_19,1400,2017-12-18,942975827674836993,http://twitter.com/BillClinton/status/942975827674836993
946063786607349761,6.259575596841363,754,4899,199,1128,2018-04-30_21_32_52,2166,2017-12-27,946063786607349761,http://twitter.com/BillClinton/status/946063786607349761
946087844594049024,6.02633109621266,447,11284,319,2126,2018-04-30_21_31_33,1627,2017-12-27,946087844594049024,http://twitter.com/BillClinton/status/946087844594049024
947107009958240256,5.5736473755138745,743,8182,4.1K,1837,2018-04-30_21_30_04,2327,2017-12-30,947107009958240256,http://twitter.com/BillClinton/status/947107009958240256
947143529888968704,5.643843478281473,575,22414,657,2160,2018-04-30_21_28_35,1928,2017-12-30,947143529888968704,http://twitter.com/BillClinton/status/947143529888968704
950552080179220480,5.6477331420533385,697,64461,1.9K,15272,2018-04-30_21_27_09,2671,2018-01-08,950552080179220480,http://twitter.com/BillClinton/status/950552080179220480
951930060025548800,5.759795427224313,831,67559,12K,15645,2018-04-30_21_25_40,2886,2018-01-12,951930060025548800,http://twitter.com/BillClinton/status/951930060025548800
952271892756553728,5.8185166240623225,782,80053,17K,19891,2018-04-30_21_24_14,2587,2018-01-13,952271892756553728,http://twitter.com/BillClinton/status/952271892756553728
931999979098591232,5.641927927902198,1110,21885,3.8K,3103,2018-04-30_21_45_29,4048,2017-11-18,931999979098591232,http://twitter.com/BillClinton/status/931999979098591232
932781224682237953,5.959570405760213,838,24967,1.3K,6439,2018-04-30_21_44_05,2718,2017-11-20,932781224682237953,http://twitter.com/BillClinton/status/932781224682237953
935616567248850945,5.908194842427758,698,1844,257,607,2018-04-30_21_42_43,2366,2017-11-28,935616567248850945,http://twitter.com/BillClinton/status/935616567248850945
936717630412677120,5.809307282433831,563,9824,547,1606,2018-04-30_21_41_19,1764,2017-12-01,936717630412677120,http://twitter.com/BillClinton/status/936717630412677120
940341733761708038,5.7683898305271,708,22541,567,10020,2018-04-30_21_39_52,2424,2017-12-11,940341733761708038,http://twitter.com/BillClinton/status/940341733761708038
940794682505945091,5.841173260595068,733,107040,1.3K,14669,2018-04-30_21_38_31,2561,2017-12-12,940794682505945091,http://twitter.com/BillClinton/status/940794682505945091
940942193740697600,5.625506003451472,583,7839,178,640,2018-04-30_21_37_05,1725,2017-12-13,940942193740697600,http://twitter.com/BillClinton/status/940942193740697600
941313916864430081,5.2937403267942615,1163,50617,1.0K,10559,2018-04-30_21_35_41,3948,2017-12-14,941313916864430081,http://twitter.com/BillClinton/status/941313916864430081
925003458817806338,5.295253164573476,632,4831,414,861,2018-04-30_21_56_00,2158,2017-10-30,925003458817806338,http://twitter.com/BillClinton/status/925003458817806338
925493202005708800,5.620000000012563,573,59642,928,11012,2018-04-30_21_54_34,1841,2017-10-31,925493202005708800,http://twitter.com/BillClinton/status/925493202005708800
926429524694327296,6.156110429468441,815,82225,3.0K,8148,2018-04-30_21_53_11,2205,2017-11-03,926429524694327296,http://twitter.com/BillClinton/status/926429524694327296
927948665695678465,5.778950863226683,753,50985,1.0K,11796,2018-04-30_21_51_17,2551,2017-11-07,927948665695678465,http://twitter.com/BillClinton/status/927948665695678465
928313346771816449,6.055525423752303,590,9620,398,1775,2018-04-30_21_49_49,1905,2017-11-08,928313346771816449,http://twitter.com/BillClinton/status/928313346771816449
928686678239309825,5.629774919635987,622,4091,392,818,2018-04-30_21_48_27,2096,2017-11-09,928686678239309825,http://twitter.com/BillClinton/status/928686678239309825
929333397528436736,5.800281456984773,604,39698,626,5513,2018-04-30_21_47_00,2049,2017-11-11,929333397528436736,http://twitter.com/BillClinton/status/929333397528436736
923614191461728262,6.384796875006884,640,147816,5.7K,17789,2018-05-01_08_33_43,1829,2017-10-26,923614191461728262,http://twitter.com/BillClinton/status/923614191461728262
918966914604466177,5.974876989888655,691,3429,281,594,2018-05-01_08_41_14,2302,2017-10-13,918966914604466177,http://twitter.com/BillClinton/status/918966914604466177
919318608731430915,5.939547038345982,574,5542,304,840,2018-05-01_08_39_49,1937,2017-10-14,919318608731430915,http://twitter.com/BillClinton/status/919318608731430915
920045642214445056,5.890078125017034,640,53753,1.0K,7391,2018-05-01_08_38_24,1965,2017-10-16,920045642214445056,http://twitter.com/BillClinton/status/920045642214445056
920259940278767616,5.9702132701514525,422,37890,701,5117,2018-05-01_08_37_00,1519,2017-10-17,920259940278767616,http://twitter.com/BillClinton/status/920259940278767616
921763926072807424,6.0829880043921705,917,34825,1.0K,7420,2018-05-01_08_35_35,2681,2017-10-21,921763926072807424,http://twitter.com/BillClinton/status/921763926072807424
914508854595026944,6.5984007352927545,544,42766,524,7555,2018-05-01_08_46_51,1671,2017-10-01,914508854595026944,http://twitter.com/BillClinton/status/914508854595026944
914609131490865152,6.156232464944872,499,10718,264,971,2018-05-01_08_45_29,1489,2017-10-01,914609131490865152,http://twitter.com/BillClinton/status/914609131490865152
914841993997639680,5.437802768179168,578,100038,2.1K,18756,2018-05-01_08_44_02,1835,2017-10-02,914841993997639680,http://twitter.com/BillClinton/status/914841993997639680
915684001679110145,5.918425414362978,362,34382,913,3610,2018-05-01_08_42_40,1197,2017-10-04,915684001679110145,http://twitter.com/BillClinton/status/915684001679110145
907701640458854400,5.864095826916863,647,28389,398,5675,2018-05-01_08_52_33,2051,2017-09-12,907701640458854400,http://twitter.com/BillClinton/status/907701640458854400
908689788760465410,6.1378197065052165,477,12554,309,2331,2018-05-01_08_51_08,1429,2017-09-15,908689788760465410,http://twitter.com/BillClinton/status/908689788760465410
910565259420807168,6.019441930634291,663,53106,871,8671,2018-05-01_08_49_43,2026,2017-09-20,910565259420807168,http://twitter.com/BillClinton/status/910565259420807168
912386484686204928,5.749604365635875,733,155141,4.1K,49964,2018-05-01_08_48_17,2636,2017-09-25,912386484686204928,http://twitter.com/BillClinton/status/912386484686204928
904696896299692032,5.903225225243034,555,31724,691,4881,2018-05-01_08_57_15,1742,2017-09-04,904696896299692032,http://twitter.com/BillClinton/status/904696896299692032
905930610866352128,5.904947916702097,960,78750,3.4K,26448,2018-05-01_08_55_25,3134,2017-09-07,905930610866352128,http://twitter.com/BillClinton/status/905930610866352128
907251983932948481,5.711727140796014,689,41181,511,7695,2018-05-01_08_53_58,2156,2017-09-11,907251983932948481,http://twitter.com/BillClinton/status/907251983932948481
905244711371370496,5.788093220363952,708,48432,1.7K,11705,2018-05-01_10_35_14,2337,2017-09-05,905244711371370496,http://twitter.com/BillClinton/status/905244711371370496
901836677676752897,5.902101449297924,690,72609,3.5K,29089,2018-05-01_10_40_06,2173,2017-08-27,901836677676752897,http://twitter.com/BillClinton/status/901836677676752897
902519362258698250,5.9492163009611545,638,2598,281,983,2018-05-01_10_38_36,2164,2017-08-28,902519362258698250,http://twitter.com/BillClinton/status/902519362258698250
902953673885659148,6.005864909407794,607,75290,1.7K,11373,2018-05-01_10_37_11,1907,2017-08-30,902953673885659148,http://twitter.com/BillClinton/status/902953673885659148
896031720973246464,5.925321100931589,545,8525,452,1454,2018-05-01_10_44_18,1642,2017-08-11,896031720973246464,http://twitter.com/BillClinton/status/896031720973246464
896419211362410496,5.6238305084844855,590,351172,8.1K,120434,2018-05-01_10_42_53,2223,2017-08-12,896419211362410496,http://twitter.com/BillClinton/status/896419211362410496
898278571562516480,5.9836438923417425,483,62850,821,8621,2018-05-01_10_41_29,1490,2017-08-17,898278571562516480,http://twitter.com/BillClinton/status/898278571562516480
895021538432495616,5.998718750017098,640,35331,1.3K,8295,2018-05-01_10_48_40,2038,2017-08-08,895021538432495616,http://twitter.com/BillClinton/status/895021538432495616
895255343911116800,6.111241721870787,604,22311,326,2490,2018-05-01_10_47_17,1765,2017-08-09,895255343911116800,http://twitter.com/BillClinton/status/895255343911116800
895408412305088613,6.180754716997592,530,8804,810,1558,2018-05-01_10_45_47,1659,2017-08-09,895408412305088613,http://twitter.com/BillClinton/status/895408412305088613
894583255449587712,6.054571428571356,140,8059,213,856,2018-05-01_10_51_35,489,2017-08-07,894583255449587712,http://twitter.com/BillClinton/status/894583255449587712
894696353783263232,5.9299596774402445,744,21890,1.4K,3753,2018-05-01_10_50_07,2470,2017-08-07,894696353783263232,http://twitter.com/BillClinton/status/894696353783263232
887842138481979394,5.656775599138383,459,149732,1.1K,23017,2018-05-01_10_54_28,1628,2017-07-19,887842138481979394,http://twitter.com/BillClinton/status/887842138481979394
893524255169753088,6.351888111900308,572,277522,4.4K,52847,2018-05-01_10_52_58,1780,2017-08-04,893524255169753088,http://twitter.com/BillClinton/status/893524255169753088
886345172535181312,6.294512922476734,503,90704,1.4K,17196,2018-05-01_10_58_14,1809,2017-07-15,886345172535181312,http://twitter.com/BillClinton/status/886345172535181312
887329070199054336,5.826946983554605,547,14779,344,4304,2018-05-01_10_56_47,1762,2017-07-18,887329070199054336,http://twitter.com/BillClinton/status/887329070199054336
885656656864043012,6.241705237525052,821,113545,1.6K,19324,2018-05-01_11_01_07,2683,2017-07-13,885656656864043012,http://twitter.com/BillClinton/status/885656656864043012
885970827748851712,6.107412935325296,402,57792,867,10447,2018-05-01_10_59_39,1561,2017-07-14,885970827748851712,http://twitter.com/BillClinton/status/885970827748851712
