,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
988480166765641728,5.5661333333369996,450,3137,137,1024,2018-04-30_19_40_39,1626,2018-04-23,988480166765641728,http://twitter.com/BillGates/status/988480166765641728
988502266129797129,5.772030201353442,596,3372,173,1070,2018-04-30_19_39_09,2046,2018-04-23,988502266129797129,http://twitter.com/BillGates/status/988502266129797129
988748643959279616,5.635230263170465,608,12405,439,5107,2018-04-30_19_37_45,2272,2018-04-24,988748643959279616,http://twitter.com/BillGates/status/988748643959279616
988984613639831552,5.9819409282927225,711,2832,260,489,2018-04-30_19_36_17,2294,2018-04-24,988984613639831552,http://twitter.com/BillGates/status/988984613639831552
989108518031683586,5.974890625019873,640,5997,298,1066,2018-04-30_19_34_58,2096,2018-04-25,989108518031683586,http://twitter.com/BillGates/status/989108518031683586
989474173759250433,5.805594758091412,992,10274,343,2552,2018-04-30_19_33_28,3518,2018-04-26,989474173759250433,http://twitter.com/BillGates/status/989474173759250433
989565617979121664,6.109281183945639,473,3356,169,318,2018-04-30_19_32_06,1610,2018-04-26,989565617979121664,http://twitter.com/BillGates/status/989565617979121664
989839580605177856,6.098844537830005,952,4895,241,796,2018-04-30_19_30_41,2855,2018-04-27,989839580605177856,http://twitter.com/BillGates/status/989839580605177856
990235860728610816,6.275635910251904,802,10376,477,1632,2018-04-30_19_29_14,2471,2018-04-28,990235860728610816,http://twitter.com/BillGates/status/990235860728610816
990923727272636417,6.008760683780914,702,3026,166,597,2018-04-30_19_27_46,2236,2018-04-30,990923727272636417,http://twitter.com/BillGates/status/990923727272636417
986313470176997376,6.042459770138482,870,6931,261,1360,2018-04-30_19_53_43,2468,2018-04-17,986313470176997376,http://twitter.com/BillGates/status/986313470176997376
986365960410968065,5.8983952254651575,754,3291,227,507,2018-04-30_19_52_20,2559,2018-04-17,986365960410968065,http://twitter.com/BillGates/status/986365960410968065
986578343184265216,6.272821723753588,847,4071,400,854,2018-04-30_19_50_56,2612,2018-04-18,986578343184265216,http://twitter.com/BillGates/status/986578343184265216
986960862756745216,6.075210917955406,1612,3732,221,554,2018-04-30_19_49_28,4396,2018-04-19,986960862756745216,http://twitter.com/BillGates/status/986960862756745216
987121422681112577,5.994122807038154,798,6119,362,1633,2018-04-30_19_48_07,2806,2018-04-19,987121422681112577,http://twitter.com/BillGates/status/987121422681112577
987445268772618240,6.41867374005064,377,3514,163,365,2018-04-30_19_46_12,987,2018-04-20,987445268772618240,http://twitter.com/BillGates/status/987445268772618240
987721112049070080,6.304771428568858,350,2829,165,450,2018-04-30_19_44_48,1170,2018-04-21,987721112049070080,http://twitter.com/BillGates/status/987721112049070080
988024134041993216,6.146180159664108,877,10627,439,2479,2018-04-30_19_43_27,3021,2018-04-22,988024134041993216,http://twitter.com/BillGates/status/988024134041993216
988464500616581120,5.579464285726316,504,2394,194,617,2018-04-30_19_42_02,1814,2018-04-23,988464500616581120,http://twitter.com/BillGates/status/988464500616581120
983386394222444544,6.246401869159802,428,2515,172,297,2018-04-30_20_06_27,1255,2018-04-09,983386394222444544,http://twitter.com/BillGates/status/983386394222444544
983767844398694406,6.109346622385155,903,4411,237,558,2018-04-30_20_04_58,2515,2018-04-10,983767844398694406,http://twitter.com/BillGates/status/983767844398694406
984093469487575040,6.032393258434565,890,6584,357,1552,2018-04-30_20_03_40,2759,2018-04-11,984093469487575040,http://twitter.com/BillGates/status/984093469487575040
984398984205697024,6.27461893764899,433,6505,341,670,2018-04-30_20_02_14,1407,2018-04-12,984398984205697024,http://twitter.com/BillGates/status/984398984205697024
984496625627234304,6.135124653755852,722,4913,319,982,2018-04-30_20_00_50,2365,2018-04-12,984496625627234304,http://twitter.com/BillGates/status/984496625627234304
984835607796084736,6.344502164514885,462,3909,357,662,2018-04-30_19_59_24,1544,2018-04-13,984835607796084736,http://twitter.com/BillGates/status/984835607796084736
985919352879898625,6.218436830858374,934,5915,342,1223,2018-04-30_19_58_00,2939,2018-04-16,985919352879898625,http://twitter.com/BillGates/status/985919352879898625
986083333300936704,6.113485653570198,941,5006,258,891,2018-04-30_19_56_34,2801,2018-04-16,986083333300936704,http://twitter.com/BillGates/status/986083333300936704
986213433996726273,6.209234375016277,640,13116,303,3241,2018-04-30_19_55_07,2005,2018-04-17,986213433996726273,http://twitter.com/BillGates/status/986213433996726273
981532684211052545,6.20353007946746,881,3443,181,650,2018-04-30_20_14_51,2629,2018-04-04,981532684211052545,http://twitter.com/BillGates/status/981532684211052545
981930069789761536,6.28148068669873,466,5852,219,812,2018-04-30_20_13_29,1352,2018-04-05,981930069789761536,http://twitter.com/BillGates/status/981930069789761536
982013077464858624,6.372088835544933,833,5940,319,1225,2018-04-30_20_12_09,2157,2018-04-05,982013077464858624,http://twitter.com/BillGates/status/982013077464858624
