,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
893154882768838656,5.7093178294617255,645,2346,215,795,2018-05-03_14_55_54,2614,2017-08-03,893154882768838656,http://twitter.com/ChrisCoons/status/893154882768838656
894531472471863296,5.541886792454702,265,342,76,117,2018-05-03_14_54_30,1223,2017-08-06,894531472471863296,http://twitter.com/ChrisCoons/status/894531472471863296
897584336383479812,5.503053435114799,262,1329,79,591,2018-05-03_14_53_05,1039,2017-08-15,897584336383479812,http://twitter.com/ChrisCoons/status/897584336383479812
905082879314681857,5.867464114831736,209,616,65,179,2018-05-03_14_51_36,764,2017-09-05,905082879314681857,http://twitter.com/ChrisCoons/status/905082879314681857
905909803062628352,5.324485981305204,321,1868,125,1009,2018-05-03_14_50_09,1549,2017-09-07,905909803062628352,http://twitter.com/ChrisCoons/status/905909803062628352
909923669937451008,5.542016460902038,243,569,76,375,2018-05-03_14_48_46,982,2017-09-18,909923669937451008,http://twitter.com/ChrisCoons/status/909923669937451008
888191927081988096,5.302540540541021,370,520,105,161,2018-05-03_15_03_35,1481,2017-07-20,888191927081988096,http://twitter.com/ChrisCoons/status/888191927081988096
890053743806427136,5.967076167068398,407,1532,113,470,2018-05-03_15_02_10,1291,2017-07-25,890053743806427136,http://twitter.com/ChrisCoons/status/890053743806427136
890778132936101889,6.210000000068865,1119,41678,1.2K,15390,2018-05-03_15_00_10,3009,2017-07-27,890778132936101889,http://twitter.com/ChrisCoons/status/890778132936101889
891123050137178112,5.906654135363126,798,111976,1.1K,16990,2018-05-03_14_58_44,2577,2017-07-28,891123050137178112,http://twitter.com/ChrisCoons/status/891123050137178112
893097901144121347,5.8359026128699405,842,871,196,341,2018-05-03_14_57_21,2852,2017-08-03,893097901144121347,http://twitter.com/ChrisCoons/status/893097901144121347
874762554840690693,5.324944356138705,629,156,225,62,2018-05-03_15_12_02,2651,2017-06-13,874762554840690693,http://twitter.com/ChrisCoons/status/874762554840690693
874802050965680128,5.266628205166431,780,202,259,55,2018-05-03_15_10_42,2892,2017-06-13,874802050965680128,http://twitter.com/ChrisCoons/status/874802050965680128
874802771157020673,5.595395894423933,341,55,105,27,2018-05-03_15_09_17,1387,2017-06-13,874802771157020673,http://twitter.com/ChrisCoons/status/874802771157020673
875001806363009025,5.4550950118993455,842,62709,774,19463,2018-05-03_15_07_49,2653,2017-06-14,875001806363009025,http://twitter.com/ChrisCoons/status/875001806363009025
875465304121495552,5.392769230779472,520,681,177,224,2018-05-03_15_06_27,2157,2017-06-15,875465304121495552,http://twitter.com/ChrisCoons/status/875465304121495552
888065332614660096,6.085248359918745,1067,183870,9.4K,28250,2018-05-03_15_05_00,2946,2017-07-20,888065332614660096,http://twitter.com/ChrisCoons/status/888065332614660096
862008621139460096,5.350028735633301,348,1473,91,499,2018-05-03_15_19_17,1607,2017-05-09,862008621139460096,http://twitter.com/ChrisCoons/status/862008621139460096
863080370526355456,5.120227272727576,264,916,71,342,2018-05-03_15_17_27,1072,2017-05-12,863080370526355456,http://twitter.com/ChrisCoons/status/863080370526355456
866780364521574400,5.4407843137253025,255,383,120,216,2018-05-03_15_16_08,1185,2017-05-22,866780364521574400,http://twitter.com/ChrisCoons/status/866780364521574400
867909084527427584,5.931198347114017,484,412,110,136,2018-05-03_15_14_49,1583,2017-05-25,867909084527427584,http://twitter.com/ChrisCoons/status/867909084527427584
874276111059910661,5.2632371794868,312,199,123,166,2018-05-03_15_13_26,1355,2017-06-12,874276111059910661,http://twitter.com/ChrisCoons/status/874276111059910661
842364844900782081,5.3816788321148055,274,239,86,81,2018-05-03_15_26_12,1119,2017-03-16,842364844900782081,http://twitter.com/ChrisCoons/status/842364844900782081
843932921769709569,5.3882646048291525,582,157,485,48,2018-05-03_15_24_43,2266,2017-03-20,843932921769709569,http://twitter.com/ChrisCoons/status/843932921769709569
844984426958348288,5.457351916374234,287,721,85,282,2018-05-03_15_23_24,980,2017-03-23,844984426958348288,http://twitter.com/ChrisCoons/status/844984426958348288
857637447303397377,5.410409836063968,244,532,76,190,2018-05-03_15_21_59,990,2017-04-27,857637447303397377,http://twitter.com/ChrisCoons/status/857637447303397377
859190896503468033,5.526176470590436,374,594,138,344,2018-05-03_15_20_41,1547,2017-05-01,859190896503468033,http://twitter.com/ChrisCoons/status/859190896503468033
828742171415162881,6.101796875005259,512,1440,133,457,2018-05-03_15_32_26,1569,2017-02-06,828742171415162881,http://twitter.com/ChrisCoons/status/828742171415162881
837755095643222016,5.1740677966097035,295,734,106,237,2018-05-03_15_30_59,1433,2017-03-03,837755095643222016,http://twitter.com/ChrisCoons/status/837755095643222016
837779049439191041,5.516842105281042,684,973,300,623,2018-05-03_15_29_30,2928,2017-03-03,837779049439191041,http://twitter.com/ChrisCoons/status/837779049439191041
838429099999772673,5.130384615382933,312,51,98,23,2018-05-03_15_27_37,1323,2017-03-05,838429099999772673,http://twitter.com/ChrisCoons/status/838429099999772673
809513441388101637,5.59602373889876,674,7098,520,3030,2018-05-03_15_39_31,2424,2016-12-15,809513441388101637,http://twitter.com/ChrisCoons/status/809513441388101637
820306004294377473,5.6780608364998875,263,847,71,383,2018-05-03_15_38_05,927,2017-01-14,820306004294377473,http://twitter.com/ChrisCoons/status/820306004294377473
824665168764432384,5.736203703702833,216,846,70,312,2018-05-03_15_36_41,750,2017-01-26,824665168764432384,http://twitter.com/ChrisCoons/status/824665168764432384
825438709742985216,5.838061674008467,227,452,74,202,2018-05-03_15_35_20,659,2017-01-28,825438709742985216,http://twitter.com/ChrisCoons/status/825438709742985216
826802317089452032,5.106284153005391,366,112,122,36,2018-05-03_15_33_59,1521,2017-02-01,826802317089452032,http://twitter.com/ChrisCoons/status/826802317089452032
707677673338871809,5.404378109468472,402,489,152,961,2018-05-03_15_46_35,1915,2016-03-03,707677673338871809,http://twitter.com/ChrisCoons/status/707677673338871809
777864333527318529,5.5624334600757495,263,48,76,24,2018-05-03_15_45_15,862,2016-09-19,777864333527318529,http://twitter.com/ChrisCoons/status/777864333527318529
788422706240843776,5.692966442965132,745,3128,183,1352,2018-05-03_15_43_51,2442,2016-10-17,788422706240843776,http://twitter.com/ChrisCoons/status/788422706240843776
807667394558787584,5.837595108715402,736,7863,993,5061,2018-05-03_15_42_25,2896,2016-12-10,807667394558787584,http://twitter.com/ChrisCoons/status/807667394558787584
809215893863616514,5.857188208650536,882,37067,2.0K,17769,2018-05-03_15_41_00,3241,2016-12-14,809215893863616514,http://twitter.com/ChrisCoons/status/809215893863616514
