,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
905533113102716928,5.730824372756199,279,1011,88,223,2018-05-07_17_02_40,951,2017-09-06,905533113102716928,http://twitter.com/ChrisVanHollen/status/905533113102716928
909106351611219968,5.483184466035564,515,1388,136,1524,2018-05-07_17_01_17,1876,2017-09-16,909106351611219968,http://twitter.com/ChrisVanHollen/status/909106351611219968
912502060448407552,5.4683046683115055,407,673,111,176,2018-05-07_16_59_50,1525,2017-09-25,912502060448407552,http://twitter.com/ChrisVanHollen/status/912502060448407552
914907461403979777,5.249968287560449,946,4999,184,2122,2018-05-07_16_58_25,3193,2017-10-02,914907461403979777,http://twitter.com/ChrisVanHollen/status/914907461403979777
915957837569937408,5.112628516044119,1031,22144,799,6691,2018-05-07_16_56_53,3604,2017-10-05,915957837569937408,http://twitter.com/ChrisVanHollen/status/915957837569937408
921160252610969607,5.386622911710248,838,4449,242,4908,2018-05-07_16_55_22,3094,2017-10-19,921160252610969607,http://twitter.com/ChrisVanHollen/status/921160252610969607
894989779766530048,5.371739130434136,230,222,77,121,2018-05-07_17_09_28,844,2017-08-08,894989779766530048,http://twitter.com/ChrisVanHollen/status/894989779766530048
898947226445127680,5.700997150997588,351,664,70,261,2018-05-07_17_08_01,1092,2017-08-19,898947226445127680,http://twitter.com/ChrisVanHollen/status/898947226445127680
900425600124547075,5.446929577477135,710,1024,187,413,2018-05-07_17_06_34,2964,2017-08-23,900425600124547075,http://twitter.com/ChrisVanHollen/status/900425600124547075
901245129226412033,5.299374999998813,224,786,76,290,2018-05-07_17_05_04,814,2017-08-25,901245129226412033,http://twitter.com/ChrisVanHollen/status/901245129226412033
888107943274487810,5.588294360399739,727,109,102,83,2018-05-07_17_16_56,2603,2017-07-20,888107943274487810,http://twitter.com/ChrisVanHollen/status/888107943274487810
889462240629444608,5.720979335148531,1113,2263,405,1325,2018-05-07_17_15_25,3897,2017-07-24,889462240629444608,http://twitter.com/ChrisVanHollen/status/889462240629444608
889628277907886081,5.551865203785954,638,45,138,21,2018-05-07_17_13_55,2158,2017-07-24,889628277907886081,http://twitter.com/ChrisVanHollen/status/889628277907886081
890289376554610690,5.613386581466752,313,1068,83,537,2018-05-07_17_12_29,1000,2017-07-26,890289376554610690,http://twitter.com/ChrisVanHollen/status/890289376554610690
890768804665581570,5.397961956519244,368,1290,80,562,2018-05-07_17_11_00,1386,2017-07-27,890768804665581570,http://twitter.com/ChrisVanHollen/status/890768804665581570
876930155360509952,5.916016830317591,713,1987,179,939,2018-05-07_17_24_29,2164,2017-06-19,876930155360509952,http://twitter.com/ChrisVanHollen/status/876930155360509952
877313175691153408,5.405354058746814,579,1128,169,424,2018-05-07_17_22_44,1884,2017-06-20,877313175691153408,http://twitter.com/ChrisVanHollen/status/877313175691153408
881546477201498112,5.513292181068749,243,874,82,247,2018-05-07_17_21_10,947,2017-07-02,881546477201498112,http://twitter.com/ChrisVanHollen/status/881546477201498112
886984645602136068,5.591540616242992,357,1023,97,314,2018-05-07_17_19_44,1378,2017-07-17,886984645602136068,http://twitter.com/ChrisVanHollen/status/886984645602136068
887400673658232832,5.443481228666139,293,412,74,218,2018-05-07_17_18_18,1165,2017-07-18,887400673658232832,http://twitter.com/ChrisVanHollen/status/887400673658232832
873153301319213056,5.57394209356909,898,43560,2.5K,32555,2018-05-07_17_34_31,3559,2017-06-08,873153301319213056,http://twitter.com/ChrisVanHollen/status/873153301319213056
874620275341615104,5.379037758848151,821,1885,304,1535,2018-05-07_17_32_20,3149,2017-06-12,874620275341615104,http://twitter.com/ChrisVanHollen/status/874620275341615104
874669104317300736,5.542043478259237,230,812,80,451,2018-05-07_17_30_25,974,2017-06-13,874669104317300736,http://twitter.com/ChrisVanHollen/status/874669104317300736
874746209822539776,5.541042584456947,681,3657,213,1475,2018-05-07_17_27_53,2482,2017-06-13,874746209822539776,http://twitter.com/ChrisVanHollen/status/874746209822539776
875503488943489024,6.044641350211033,237,2105,77,790,2018-05-07_17_26_16,772,2017-06-15,875503488943489024,http://twitter.com/ChrisVanHollen/status/875503488943489024
864861699828002816,5.529446808523173,470,537,105,279,2018-05-07_17_44_18,1645,2017-05-17,864861699828002816,http://twitter.com/ChrisVanHollen/status/864861699828002816
865229672283594753,5.5595249406216585,421,935,96,418,2018-05-07_17_42_14,1539,2017-05-18,865229672283594753,http://twitter.com/ChrisVanHollen/status/865229672283594753
865236583288627203,5.238273809520993,336,274,94,215,2018-05-07_17_40_26,1307,2017-05-18,865236583288627203,http://twitter.com/ChrisVanHollen/status/865236583288627203
870710456003973120,5.6535582822288255,652,3807,229,1602,2018-05-07_17_38_47,2151,2017-06-01,870710456003973120,http://twitter.com/ChrisVanHollen/status/870710456003973120
872858382146863105,5.531307692336051,650,4284,243,1853,2018-05-07_17_36_43,2544,2017-06-08,872858382146863105,http://twitter.com/ChrisVanHollen/status/872858382146863105
862033670223400960,5.573370473533795,359,1063,86,544,2018-05-07_17_53_43,1217,2017-05-09,862033670223400960,http://twitter.com/ChrisVanHollen/status/862033670223400960
862063825503309824,5.559875621896462,402,1634,144,1001,2018-05-07_17_51_56,1710,2017-05-09,862063825503309824,http://twitter.com/ChrisVanHollen/status/862063825503309824
862068297717731329,5.386101083030069,277,670,82,334,2018-05-07_17_50_13,1102,2017-05-09,862068297717731329,http://twitter.com/ChrisVanHollen/status/862068297717731329
862299894744264704,5.5651748251729005,286,326,72,120,2018-05-07_17_48_37,1096,2017-05-10,862299894744264704,http://twitter.com/ChrisVanHollen/status/862299894744264704
863011897968271361,5.441806451622464,465,1012,141,451,2018-05-07_17_46_54,1765,2017-05-12,863011897968271361,http://twitter.com/ChrisVanHollen/status/863011897968271361
857276466391863296,5.614319248844179,639,2076,164,610,2018-05-07_18_00_40,2360,2017-04-26,857276466391863296,http://twitter.com/ChrisVanHollen/status/857276466391863296
857958034550771712,5.5841151386028764,469,180,148,68,2018-05-07_17_59_00,1583,2017-04-28,857958034550771712,http://twitter.com/ChrisVanHollen/status/857958034550771712
860163867762204672,5.455720338983671,236,440,98,186,2018-05-07_17_57_28,772,2017-05-04,860163867762204672,http://twitter.com/ChrisVanHollen/status/860163867762204672
860210198362951680,5.687022767089884,571,5685,176,3028,2018-05-07_17_55_16,1903,2017-05-04,860210198362951680,http://twitter.com/ChrisVanHollen/status/860210198362951680
832626358421426176,6.179354838709704,248,1016,80,338,2018-05-07_18_08_23,665,2017-02-17,832626358421426176,http://twitter.com/ChrisVanHollen/status/832626358421426176
841392726071492611,5.5461098398189534,437,915,127,870,2018-05-07_18_06_59,1597,2017-03-13,841392726071492611,http://twitter.com/ChrisVanHollen/status/841392726071492611
842509860201750528,5.3406232294606015,353,140,108,51,2018-05-07_18_05_29,1521,2017-03-16,842509860201750528,http://twitter.com/ChrisVanHollen/status/842509860201750528
846796034076479488,5.812762645930032,514,974,153,286,2018-05-07_18_04_02,1833,2017-03-28,846796034076479488,http://twitter.com/ChrisVanHollen/status/846796034076479488
846853372212924416,6.074468664852388,367,5663,127,2681,2018-05-07_18_02_18,1460,2017-03-28,846853372212924416,http://twitter.com/ChrisVanHollen/status/846853372212924416
825772791941169152,5.651813031157366,353,1031,96,423,2018-05-08_10_07_49,1144,2017-01-29,825772791941169152,http://twitter.com/ChrisVanHollen/status/825772791941169152
826518748903403520,5.987098591543624,355,916,113,190,2018-05-08_10_06_28,1015,2017-01-31,826518748903403520,http://twitter.com/ChrisVanHollen/status/826518748903403520
826927953917390849,6.304900849857153,353,800,126,98,2018-05-08_10_04_59,853,2017-02-01,826927953917390849,http://twitter.com/ChrisVanHollen/status/826927953917390849
828759082853158913,6.256462346769874,571,1509,181,525,2018-05-08_10_03_22,1566,2017-02-06,828759082853158913,http://twitter.com/ChrisVanHollen/status/828759082853158913
831279911407144960,5.958808664259225,277,1376,95,309,2018-05-08_10_01_58,838,2017-02-13,831279911407144960,http://twitter.com/ChrisVanHollen/status/831279911407144960
824019787751768065,5.889067796602883,354,578,94,181,2018-05-08_10_13_07,1138,2017-01-24,824019787751768065,http://twitter.com/ChrisVanHollen/status/824019787751768065
825445512329433088,5.829328358226923,536,1677,162,669,2018-05-08_10_11_23,1904,2017-01-28,825445512329433088,http://twitter.com/ChrisVanHollen/status/825445512329433088
825733653397434370,5.630804911362008,733,2442,213,1302,2018-05-08_10_09_17,2855,2017-01-29,825733653397434370,http://twitter.com/ChrisVanHollen/status/825733653397434370
