,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
918481787046674432,5.461729323306036,266,192,88,86,2018-05-07_17_32_18,1073,2017-10-12,918481787046674432,http://twitter.com/ChuckGrassley/status/918481787046674432
918485284253081600,5.440328697871894,791,104,148,42,2018-05-07_17_30_11,2673,2017-10-12,918485284253081600,http://twitter.com/ChuckGrassley/status/918485284253081600
918844275340783616,5.948076152324842,499,168,101,28,2018-05-07_17_28_13,1605,2017-10-13,918844275340783616,http://twitter.com/ChuckGrassley/status/918844275340783616
920416873556140033,5.504758064543287,992,601,350,191,2018-05-07_17_25_58,3362,2017-10-17,920416873556140033,http://twitter.com/ChuckGrassley/status/920416873556140033
920769207087837185,5.695593667543746,379,590,91,237,2018-05-07_17_24_14,1318,2017-10-18,920769207087837185,http://twitter.com/ChuckGrassley/status/920769207087837185
920770064646852608,5.403785872007036,906,197,283,78,2018-05-07_17_22_31,3605,2017-10-18,920770064646852608,http://twitter.com/ChuckGrassley/status/920770064646852608
915709677031297024,5.578354231980504,638,2080,161,1115,2018-05-07_17_41_43,2494,2017-10-04,915709677031297024,http://twitter.com/ChuckGrassley/status/915709677031297024
915710450364567552,5.404967948719058,312,325,84,150,2018-05-07_17_40_03,1181,2017-10-04,915710450364567552,http://twitter.com/ChuckGrassley/status/915710450364567552
916044130505101312,5.3966079812512895,852,137,212,54,2018-05-07_17_38_04,3042,2017-10-05,916044130505101312,http://twitter.com/ChuckGrassley/status/916044130505101312
917809713902841857,5.751660377355435,265,118,72,39,2018-05-07_17_36_22,1056,2017-10-10,917809713902841857,http://twitter.com/ChuckGrassley/status/917809713902841857
918167392596795397,5.738128772656684,994,293,455,99,2018-05-07_17_34_06,3473,2017-10-11,918167392596795397,http://twitter.com/ChuckGrassley/status/918167392596795397
910682108179316736,5.543258426987383,712,272,371,49,2018-05-07_17_51_00,2658,2017-09-20,910682108179316736,http://twitter.com/ChuckGrassley/status/910682108179316736
911343144674918401,5.5058904109564075,292,23,77,7,2018-05-07_17_49_14,1056,2017-09-22,911343144674918401,http://twitter.com/ChuckGrassley/status/911343144674918401
912819839210807297,5.578243243264358,814,231,244,132,2018-05-07_17_47_42,2895,2017-09-26,912819839210807297,http://twitter.com/ChuckGrassley/status/912819839210807297
914855463174451201,5.5184582132788895,694,265,1.5K,51,2018-05-07_17_45_46,2185,2017-10-02,914855463174451201,http://twitter.com/ChuckGrassley/status/914855463174451201
915591201658720257,5.444218009476923,211,184,76,69,2018-05-07_17_43_23,956,2017-10-04,915591201658720257,http://twitter.com/ChuckGrassley/status/915591201658720257
908272229821149184,5.6174604966333215,886,1379,734,785,2018-05-07_18_00_09,3456,2017-09-14,908272229821149184,http://twitter.com/ChuckGrassley/status/908272229821149184
908500812946710529,5.6791895425046075,765,125,277,46,2018-05-07_17_58_25,2857,2017-09-14,908500812946710529,http://twitter.com/ChuckGrassley/status/908500812946710529
909052740801667072,5.56361581923738,708,537,359,244,2018-05-07_17_56_37,2855,2017-09-16,909052740801667072,http://twitter.com/ChuckGrassley/status/909052740801667072
909576307981406208,5.720886956543867,575,2105,518,760,2018-05-07_17_54_52,2185,2017-09-17,909576307981406208,http://twitter.com/ChuckGrassley/status/909576307981406208
910520649470312448,5.543878787909984,825,28,190,4,2018-05-07_17_52_57,3048,2017-09-20,910520649470312448,http://twitter.com/ChuckGrassley/status/910520649470312448
903371898276331520,5.718040885886171,587,126,185,25,2018-05-07_18_07_49,2275,2017-08-31,903371898276331520,http://twitter.com/ChuckGrassley/status/903371898276331520
903639912926257153,5.599863013697622,219,134,92,54,2018-05-07_18_06_28,943,2017-09-01,903639912926257153,http://twitter.com/ChuckGrassley/status/903639912926257153
903777711696617472,5.774923339028809,587,518,184,192,2018-05-07_18_05_00,2362,2017-09-01,903777711696617472,http://twitter.com/ChuckGrassley/status/903777711696617472
905079845415264257,5.581702127666996,470,110,114,34,2018-05-07_18_03_30,1776,2017-09-05,905079845415264257,http://twitter.com/ChuckGrassley/status/905079845415264257
905105404463644672,5.620075757572522,264,103,83,29,2018-05-07_18_01_53,1082,2017-09-05,905105404463644672,http://twitter.com/ChuckGrassley/status/905105404463644672
