,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
990926765601296385,5.615861244029464,418,351,99,40,2018-04-30_19_38_06,1747,2018-04-30,990926765601296385,http://twitter.com/CillizzaCNN/status/990926765601296385
990927385439735809,5.734016393461813,610,19,111,3,2018-04-30_19_36_42,2532,2018-04-30,990927385439735809,http://twitter.com/CillizzaCNN/status/990927385439735809
990928197876441089,5.316119402985212,67,34,22,7,2018-04-30_19_34_42,316,2018-04-30,990928197876441089,http://twitter.com/CillizzaCNN/status/990928197876441089
990929428778831872,6.032234636871936,179,53,35,16,2018-04-30_19_33_19,573,2018-04-30,990929428778831872,http://twitter.com/CillizzaCNN/status/990929428778831872
990934123777810432,5.705714285714297,56,23,16,1,2018-04-30_19_31_30,216,2018-04-30,990934123777810432,http://twitter.com/CillizzaCNN/status/990934123777810432
990939342263726081,5.733709677418232,124,55,32,17,2018-04-30_19_30_04,493,2018-04-30,990939342263726081,http://twitter.com/CillizzaCNN/status/990939342263726081
990989309460303872,5.9654861111104935,144,23,45,2,2018-04-30_19_28_12,486,2018-04-30,990989309460303872,http://twitter.com/CillizzaCNN/status/990989309460303872
990792790010482688,5.628416075683181,846,895,170,101,2018-04-30_19_49_40,3402,2018-04-29,990792790010482688,http://twitter.com/CillizzaCNN/status/990792790010482688
990897268420202497,5.625600000000103,50,79,19,4,2018-04-30_19_48_19,212,2018-04-30,990897268420202497,http://twitter.com/CillizzaCNN/status/990897268420202497
990919330375315456,5.458055555553579,216,139,43,42,2018-04-30_19_46_55,886,2018-04-30,990919330375315456,http://twitter.com/CillizzaCNN/status/990919330375315456
990921718704242689,6.1377528089892675,89,28,52,4,2018-04-30_19_45_04,357,2018-04-30,990921718704242689,http://twitter.com/CillizzaCNN/status/990921718704242689
990922228186296320,5.650312499998656,128,46,28,11,2018-04-30_19_43_43,669,2018-04-30,990922228186296320,http://twitter.com/CillizzaCNN/status/990922228186296320
990923101696380928,6.129113924051253,79,21,16,4,2018-04-30_19_42_22,320,2018-04-30,990923101696380928,http://twitter.com/CillizzaCNN/status/990923101696380928
990925825536155649,5.587179487179578,39,14,14,3,2018-04-30_19_40_59,145,2018-04-30,990925825536155649,http://twitter.com/CillizzaCNN/status/990925825536155649
990926304118796288,5.411891891887091,222,300,48,47,2018-04-30_19_39_29,945,2018-04-30,990926304118796288,http://twitter.com/CillizzaCNN/status/990926304118796288
990594704650702849,5.744027777776343,144,241,35,57,2018-04-30_20_03_30,637,2018-04-29,990594704650702849,http://twitter.com/CillizzaCNN/status/990594704650702849
990596497656958976,5.76760971778437,1276,76,185,26,2018-04-30_20_01_51,4686,2018-04-29,990596497656958976,http://twitter.com/CillizzaCNN/status/990596497656958976
990612512243699712,6.0147217235444925,557,770,244,61,2018-04-30_20_00_24,2017,2018-04-29,990612512243699712,http://twitter.com/CillizzaCNN/status/990612512243699712
990613699596611589,5.6271780822029,365,34,78,3,2018-04-30_19_59_01,1610,2018-04-29,990613699596611589,http://twitter.com/CillizzaCNN/status/990613699596611589
990618281143951361,5.735373134328277,67,65,29,5,2018-04-30_19_57_38,251,2018-04-29,990618281143951361,http://twitter.com/CillizzaCNN/status/990618281143951361
990623276249550848,5.6579666011656,1018,458,1.8K,61,2018-04-30_19_56_13,4147,2018-04-29,990623276249550848,http://twitter.com/CillizzaCNN/status/990623276249550848
990637154350063616,5.9660000000001965,50,60,17,11,2018-04-30_19_54_53,172,2018-04-29,990637154350063616,http://twitter.com/CillizzaCNN/status/990637154350063616
990648011788357633,5.812187969814312,1330,366,288,44,2018-04-30_19_52_57,4952,2018-04-29,990648011788357633,http://twitter.com/CillizzaCNN/status/990648011788357633
990679661968535552,5.584365436483116,1111,9980,1.2K,2989,2018-04-30_19_51_35,4656,2018-04-29,990679661968535552,http://twitter.com/CillizzaCNN/status/990679661968535552
990426918578216960,6.185400000000628,100,192,30,12,2018-04-30_20_16_12,408,2018-04-28,990426918578216960,http://twitter.com/CillizzaCNN/status/990426918578216960
990548630061842433,5.5963181411327065,1119,274,252,16,2018-04-30_20_14_47,4388,2018-04-29,990548630061842433,http://twitter.com/CillizzaCNN/status/990548630061842433
990548759317811200,5.8978797468329835,316,86,50,3,2018-04-30_20_13_23,1204,2018-04-29,990548759317811200,http://twitter.com/CillizzaCNN/status/990548759317811200
990557835275665409,5.722105263157914,38,91,13,24,2018-04-30_20_12_05,184,2018-04-29,990557835275665409,http://twitter.com/CillizzaCNN/status/990557835275665409
990558667190751233,5.615622895622517,297,140,74,12,2018-04-30_20_10_45,1315,2018-04-29,990558667190751233,http://twitter.com/CillizzaCNN/status/990558667190751233
990560181770772480,5.7555696202534055,79,53,19,6,2018-04-30_20_09_23,341,2018-04-29,990560181770772480,http://twitter.com/CillizzaCNN/status/990560181770772480
990582307898712064,5.929633286334523,709,2405,161,514,2018-04-30_20_07_32,2729,2018-04-29,990582307898712064,http://twitter.com/CillizzaCNN/status/990582307898712064
990584094294708226,5.646756756756562,74,130,21,17,2018-04-30_20_06_12,304,2018-04-29,990584094294708226,http://twitter.com/CillizzaCNN/status/990584094294708226
990584605232287744,5.751372549019576,102,74,28,11,2018-04-30_20_04_52,358,2018-04-29,990584605232287744,http://twitter.com/CillizzaCNN/status/990584605232287744
989942810643189760,5.88905660377342,53,40,16,9,2018-04-30_20_29_48,223,2018-04-27,989942810643189760,http://twitter.com/CillizzaCNN/status/989942810643189760
989945573376741376,5.3706730769212605,208,253,59,71,2018-04-30_20_28_31,813,2018-04-27,989945573376741376,http://twitter.com/CillizzaCNN/status/989945573376741376
989966618947129344,5.198405797098468,207,49,38,13,2018-04-30_20_27_05,1005,2018-04-27,989966618947129344,http://twitter.com/CillizzaCNN/status/989966618947129344
990254893112942592,5.4516822429899605,107,165,42,13,2018-04-30_20_25_43,567,2018-04-28,990254893112942592,http://twitter.com/CillizzaCNN/status/990254893112942592
990274814987382785,6.195526315789758,114,719,29,83,2018-04-30_20_24_21,406,2018-04-28,990274814987382785,http://twitter.com/CillizzaCNN/status/990274814987382785
990333963351752704,6.244905660376746,159,243,73,9,2018-04-30_20_22_57,600,2018-04-28,990333963351752704,http://twitter.com/CillizzaCNN/status/990333963351752704
990423121881653248,6.230925925924201,216,549,84,14,2018-04-30_20_21_35,806,2018-04-28,990423121881653248,http://twitter.com/CillizzaCNN/status/990423121881653248
990425022715088896,5.97320754716848,265,1124,56,177,2018-04-30_20_20_12,1025,2018-04-28,990425022715088896,http://twitter.com/CillizzaCNN/status/990425022715088896
990425135944433664,5.619669421485004,242,148,56,19,2018-04-30_20_18_52,893,2018-04-28,990425135944433664,http://twitter.com/CillizzaCNN/status/990425135944433664
990425723147087872,5.821099252940253,937,18121,1.2K,4704,2018-04-30_20_17_30,3513,2018-04-28,990425723147087872,http://twitter.com/CillizzaCNN/status/990425723147087872
989872917021450241,5.897711864406732,118,129,38,44,2018-04-30_20_40_12,458,2018-04-27,989872917021450241,http://twitter.com/CillizzaCNN/status/989872917021450241
989902690414157824,5.343043478261005,46,30,10,15,2018-04-30_20_38_22,184,2018-04-27,989902690414157824,http://twitter.com/CillizzaCNN/status/989902690414157824
989918161406513153,5.509890510949488,274,136,88,34,2018-04-30_20_36_31,1337,2018-04-27,989918161406513153,http://twitter.com/CillizzaCNN/status/989918161406513153
989926403004084225,5.339705882351642,136,22,44,1,2018-04-30_20_35_08,543,2018-04-27,989926403004084225,http://twitter.com/CillizzaCNN/status/989926403004084225
989927341043396620,6.410909090909036,11,52,13,11,2018-04-30_20_33_48,102,2018-04-27,989927341043396620,http://twitter.com/CillizzaCNN/status/989927341043396620
989929648820760581,6.043214285714472,56,32,21,4,2018-04-30_20_32_28,232,2018-04-27,989929648820760581,http://twitter.com/CillizzaCNN/status/989929648820760581
989936512253997056,5.614705882351752,170,65,71,20,2018-04-30_20_31_07,771,2018-04-27,989936512253997056,http://twitter.com/CillizzaCNN/status/989936512253997056
989608971551084544,5.989599999999974,25,162,18,51,2018-04-30_20_53_18,124,2018-04-26,989608971551084544,http://twitter.com/CillizzaCNN/status/989608971551084544
989611968993652737,5.938800000000155,50,32,13,6,2018-04-30_20_51_56,263,2018-04-26,989611968993652737,http://twitter.com/CillizzaCNN/status/989611968993652737
989616486158422017,5.347499999999943,24,30,11,8,2018-04-30_20_50_37,141,2018-04-26,989616486158422017,http://twitter.com/CillizzaCNN/status/989616486158422017
989682043016630272,5.54769230769224,39,121,18,22,2018-04-30_20_49_16,117,2018-04-26,989682043016630272,http://twitter.com/CillizzaCNN/status/989682043016630272
989686903367700481,5.9395871559625215,218,170,59,40,2018-04-30_20_47_26,1009,2018-04-26,989686903367700481,http://twitter.com/CillizzaCNN/status/989686903367700481
989689720438484993,5.454385964912009,57,84,22,31,2018-04-30_20_46_06,262,2018-04-26,989689720438484993,http://twitter.com/CillizzaCNN/status/989689720438484993
989853979755638784,5.853593220352138,590,474,249,120,2018-04-30_20_44_42,2500,2018-04-27,989853979755638784,http://twitter.com/CillizzaCNN/status/989853979755638784
989855551860461570,6.079370629370088,143,105,50,32,2018-04-30_20_43_21,597,2018-04-27,989855551860461570,http://twitter.com/CillizzaCNN/status/989855551860461570
989857775105839104,5.535555555555612,36,22,22,7,2018-04-30_20_42_01,206,2018-04-27,989857775105839104,http://twitter.com/CillizzaCNN/status/989857775105839104
989574428278378502,5.98808510638283,47,35,22,8,2018-04-30_21_05_35,212,2018-04-26,989574428278378502,http://twitter.com/CillizzaCNN/status/989574428278378502
989576584637140993,5.635327102803942,107,34,31,5,2018-04-30_21_04_12,381,2018-04-26,989576584637140993,http://twitter.com/CillizzaCNN/status/989576584637140993
989585397255671809,6.0884615384603205,156,236,52,69,2018-04-30_21_02_16,588,2018-04-26,989585397255671809,http://twitter.com/CillizzaCNN/status/989585397255671809
989586052506701825,5.469516129032314,62,394,33,124,2018-04-30_21_00_54,313,2018-04-26,989586052506701825,http://twitter.com/CillizzaCNN/status/989586052506701825
989587465508937728,5.791067073171513,328,237,114,58,2018-04-30_20_58_53,1456,2018-04-26,989587465508937728,http://twitter.com/CillizzaCNN/status/989587465508937728
989591313476734979,5.781363636364107,88,65,30,8,2018-04-30_20_57_35,343,2018-04-26,989591313476734979,http://twitter.com/CillizzaCNN/status/989591313476734979
989592437650874374,5.653333333333467,57,101,23,23,2018-04-30_20_56_12,238,2018-04-26,989592437650874374,http://twitter.com/CillizzaCNN/status/989592437650874374
989594963615846400,5.8138888889167335,990,30598,2.2K,8425,2018-04-30_20_54_44,3626,2018-04-26,989594963615846400,http://twitter.com/CillizzaCNN/status/989594963615846400
989567349933080577,5.92062745097704,255,381,76,93,2018-04-30_21_18_29,1138,2018-04-26,989567349933080577,http://twitter.com/CillizzaCNN/status/989567349933080577
989568337360359424,6.150454545454601,44,21,26,5,2018-04-30_21_17_06,193,2018-04-26,989568337360359424,http://twitter.com/CillizzaCNN/status/989568337360359424
989568454486319109,5.8433333333333435,30,160,16,44,2018-04-30_21_15_43,156,2018-04-26,989568454486319109,http://twitter.com/CillizzaCNN/status/989568454486319109
989568611680387073,5.853960396039676,101,38,32,6,2018-04-30_21_14_16,394,2018-04-26,989568611680387073,http://twitter.com/CillizzaCNN/status/989568611680387073
989569325827854337,5.455925925926125,81,426,34,65,2018-04-30_21_12_23,329,2018-04-26,989569325827854337,http://twitter.com/CillizzaCNN/status/989569325827854337
989570753912852493,5.527058823529434,34,103,11,8,2018-04-30_21_11_01,145,2018-04-26,989570753912852493,http://twitter.com/CillizzaCNN/status/989570753912852493
989571799678619650,5.979487179487226,78,71,26,11,2018-04-30_21_09_41,311,2018-04-26,989571799678619650,http://twitter.com/CillizzaCNN/status/989571799678619650
989572124217094144,5.8578481012660895,79,55,26,10,2018-04-30_21_08_17,295,2018-04-26,989572124217094144,http://twitter.com/CillizzaCNN/status/989572124217094144
989572552157794304,5.522571428571547,35,54,10,19,2018-04-30_21_06_56,153,2018-04-26,989572552157794304,http://twitter.com/CillizzaCNN/status/989572552157794304
989535577493131264,5.790638297872459,47,190,24,7,2018-04-30_21_27_24,171,2018-04-26,989535577493131264,http://twitter.com/CillizzaCNN/status/989535577493131264
989545001372782592,5.351647727271193,176,1006,59,290,2018-04-30_21_26_00,825,2018-04-26,989545001372782592,http://twitter.com/CillizzaCNN/status/989545001372782592
989545227294855168,5.75581395348849,43,137,21,31,2018-04-30_21_24_37,190,2018-04-26,989545227294855168,http://twitter.com/CillizzaCNN/status/989545227294855168
989559598364446720,5.765825958725404,678,24,268,6,2018-04-30_21_22_39,2766,2018-04-26,989559598364446720,http://twitter.com/CillizzaCNN/status/989559598364446720
989562348632408064,5.390028735629115,348,4975,92,2688,2018-04-30_21_20_18,1294,2018-04-26,989562348632408064,http://twitter.com/CillizzaCNN/status/989562348632408064
