,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
959197429156466689,5.7461114669492055,1561,270386,29K,92209,2018-04-29_19_10_23,6135,2018-02-01,959197429156466689,http://twitter.com/Comey/status/959197429156466689
959498570532577285,5.605500505601986,989,212358,43K,82286,2018-04-29_19_09_00,3711,2018-02-02,959498570532577285,http://twitter.com/Comey/status/959498570532577285
959635493968318464,5.596602409516748,1245,36461,3.5K,14132,2018-04-29_19_07_34,5089,2018-02-02,959635493968318464,http://twitter.com/Comey/status/959635493968318464
959990506976632833,5.6982575758119385,924,67844,11K,7376,2018-04-29_19_06_05,3395,2018-02-03,959990506976632833,http://twitter.com/Comey/status/959990506976632833
960911029881462784,5.922773208023474,851,61598,7.6K,7725,2018-04-29_19_04_43,2492,2018-02-06,960911029881462784,http://twitter.com/Comey/status/960911029881462784
964473559375589376,5.867675868169539,1123,60449,5.0K,13016,2018-04-29_19_03_17,4132,2018-02-16,964473559375589376,http://twitter.com/Comey/status/964473559375589376
968612814469427202,5.737223796038635,1059,75468,4.2K,11890,2018-04-29_19_01_49,3877,2018-02-27,968612814469427202,http://twitter.com/Comey/status/968612814469427202
972297007841927168,5.729781382114192,1418,35232,1.0K,9888,2018-04-29_19_00_19,5685,2018-03-09,972297007841927168,http://twitter.com/Comey/status/972297007841927168
973219005728256000,5.7714527629427375,1122,24562,2.1K,6689,2018-04-29_18_58_51,3727,2018-03-12,973219005728256000,http://twitter.com/Comey/status/973219005728256000
974056911141330944,5.697795275615103,635,30203,3.2K,2920,2018-04-29_18_57_28,2220,2018-03-14,974056911141330944,http://twitter.com/Comey/status/974056911141330944
975065073575219200,5.667200000034035,1000,441728,45K,127878,2018-04-29_18_55_57,3535,2018-03-17,975065073575219200,http://twitter.com/Comey/status/975065073575219200
980164451436462080,5.865433526037372,865,4912,384,960,2018-04-29_18_54_30,3391,2018-03-31,980164451436462080,http://twitter.com/Comey/status/980164451436462080
981378292790984704,5.9074108527313856,645,15419,1.1K,1597,2018-04-29_18_53_04,2269,2018-04-03,981378292790984704,http://twitter.com/Comey/status/981378292790984704
983794676154191872,5.805571428615607,980,26451,5.4K,3116,2018-04-29_18_51_40,3540,2018-04-10,983794676154191872,http://twitter.com/Comey/status/983794676154191872
985568015029886979,5.896882202173438,1562,136492,19K,28241,2018-04-29_18_50_17,5540,2018-04-15,985568015029886979,http://twitter.com/Comey/status/985568015029886979
986723024538931201,5.861291227853871,1425,27838,3.4K,4423,2018-04-29_18_48_24,5412,2018-04-18,986723024538931201,http://twitter.com/Comey/status/986723024538931201
989691222347407368,5.955396039560696,1616,78778,4.5K,13489,2018-04-29_18_46_53,5970,2018-04-26,989691222347407368,http://twitter.com/Comey/status/989691222347407368
941891146695012353,5.776166097867184,879,38860,2.1K,9716,2018-04-29_19_33_31,3272,2017-12-15,941891146695012353,http://twitter.com/Comey/status/941891146695012353
943329238152896512,5.754496402858268,1112,53037,2.8K,15570,2018-04-29_19_31_35,3976,2017-12-19,943329238152896512,http://twitter.com/Comey/status/943329238152896512
944424194963632128,5.646065573714559,1159,128273,12K,40524,2018-04-29_19_30_07,4363,2017-12-22,944424194963632128,http://twitter.com/Comey/status/944424194963632128
944708906676350982,5.940560245429076,1303,14317,1.8K,6602,2018-04-29_19_28_42,4912,2017-12-23,944708906676350982,http://twitter.com/Comey/status/944708906676350982
945050050585088000,6.104517543892512,912,67341,5.1K,10064,2018-04-29_19_27_14,2571,2017-12-24,945050050585088000,http://twitter.com/Comey/status/945050050585088000
946226947348140033,5.7986822351238185,1199,26011,1.4K,5486,2018-04-29_19_25_46,4311,2017-12-27,946226947348140033,http://twitter.com/Comey/status/946226947348140033
947615038415794178,5.810719861178378,1153,166713,18K,43899,2018-04-29_19_23_51,4158,2017-12-31,947615038415794178,http://twitter.com/Comey/status/947615038415794178
948567341591392256,5.727761194058951,938,142671,10K,54743,2018-04-29_19_22_28,3652,2018-01-03,948567341591392256,http://twitter.com/Comey/status/948567341591392256
951464717666615298,5.578445945969226,592,40311,4.1K,11916,2018-04-29_19_20_34,2489,2018-01-11,951464717666615298,http://twitter.com/Comey/status/951464717666615298
951660823788900352,5.797072555099713,1585,215978,9.8K,69531,2018-04-29_19_19_05,5932,2018-01-11,951660823788900352,http://twitter.com/Comey/status/951660823788900352
952935580400222216,5.638561151071576,1112,79411,2.7K,21869,2018-04-29_19_17_34,4004,2018-01-15,952935580400222216,http://twitter.com/Comey/status/952935580400222216
954199908759801856,5.90013993544455,929,26263,2.5K,3678,2018-04-29_19_16_09,3166,2018-01-18,954199908759801856,http://twitter.com/Comey/status/954199908759801856
955647175127597056,5.7383877551248075,980,89240,7.6K,24176,2018-04-29_19_14_43,3515,2018-01-22,955647175127597056,http://twitter.com/Comey/status/955647175127597056
956352301572206592,5.609486301321526,1168,122024,12K,43209,2018-04-29_19_13_17,4336,2018-01-24,956352301572206592,http://twitter.com/Comey/status/956352301572206592
958145125120663553,5.602474120122633,966,216253,26K,69508,2018-04-29_19_11_55,3681,2018-01-29,958145125120663553,http://twitter.com/Comey/status/958145125120663553
930636715202621440,5.916243455524926,764,16732,540,2214,2018-04-29_19_56_47,2700,2017-11-14,930636715202621440,http://twitter.com/Comey/status/930636715202621440
931209991134109697,5.760844793726702,509,4466,143,929,2018-04-29_19_55_23,1934,2017-11-14,931209991134109697,http://twitter.com/Comey/status/931209991134109697
931620820761366528,5.74914666670295,750,48811,2.3K,17012,2018-04-29_19_53_57,2672,2017-11-17,931620820761366528,http://twitter.com/Comey/status/931620820761366528
932350625387630592,5.828430107555572,930,115430,3.7K,37324,2018-04-29_19_52_34,3459,2017-11-19,932350625387630592,http://twitter.com/Comey/status/932350625387630592
932819743467343873,5.920917159788782,676,17075,1.1K,2131,2018-04-29_19_51_10,2339,2017-11-20,932819743467343873,http://twitter.com/Comey/status/932819743467343873
933728501668175873,6.22739320923858,913,24365,1.2K,2614,2018-04-29_19_49_18,2870,2017-11-23,933728501668175873,http://twitter.com/Comey/status/933728501668175873
934559440686272512,5.764437927673375,1023,97201,4.1K,37626,2018-04-29_19_47_47,4105,2017-11-25,934559440686272512,http://twitter.com/Comey/status/934559440686272512
936059099393003521,5.794508196702168,1098,105613,3.4K,39573,2018-04-29_19_46_20,4124,2017-11-29,936059099393003521,http://twitter.com/Comey/status/936059099393003521
936641449294286848,5.664658298494388,717,156393,17K,61829,2018-04-29_19_44_56,2693,2017-12-01,936641449294286848,http://twitter.com/Comey/status/936641449294286848
936670634352041985,5.831726283072919,643,18243,821,4003,2018-04-29_19_43_32,2181,2017-12-01,936670634352041985,http://twitter.com/Comey/status/936670634352041985
937032650723876864,6.003608108130004,740,34697,2.4K,9695,2018-04-29_19_42_08,2704,2017-12-02,937032650723876864,http://twitter.com/Comey/status/937032650723876864
937453108401180673,5.7083185841087705,904,174892,21K,54136,2018-04-29_19_40_41,3251,2017-12-03,937453108401180673,http://twitter.com/Comey/status/937453108401180673
938214524926267392,5.880401396122197,1146,59833,5.5K,9614,2018-04-29_19_39_13,4038,2017-12-05,938214524926267392,http://twitter.com/Comey/status/938214524926267392
939288702609653761,5.7928891509723375,848,56402,3.1K,16326,2018-04-29_19_37_46,3247,2017-12-08,939288702609653761,http://twitter.com/Comey/status/939288702609653761
