,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
739274472356610048,6.4352399999983225,250,12179,223,5623,2018-04-29_19_07_57,936,2016-06-04,739274472356610048,http://twitter.com/Drake/status/739274472356610048
739290332005830656,5.998888888887707,171,13661,385,6810,2018-04-29_19_06_34,646,2016-06-04,739290332005830656,http://twitter.com/Drake/status/739290332005830656
756022714142302208,5.934146341460315,328,32248,788,14430,2018-04-29_19_04_47,1194,2016-07-21,756022714142302208,http://twitter.com/Drake/status/756022714142302208
759067771435089920,7.22,1,6543,307,2029,2018-04-29_19_03_31,10,2016-07-29,759067771435089920,http://twitter.com/Drake/status/759067771435089920
759919366477537282,6.043187772922808,229,11657,184,5025,2018-04-29_19_02_12,830,2016-07-30,759919366477537282,http://twitter.com/Drake/status/759919366477537282
760872602135040002,5.846095890407591,292,10284,317,2929,2018-04-29_19_00_54,966,2016-08-03,760872602135040002,http://twitter.com/Drake/status/760872602135040002
761966265934155777,5.851377245507227,167,8472,194,3589,2018-04-29_18_59_30,725,2016-08-06,761966265934155777,http://twitter.com/Drake/status/761966265934155777
763936650665660421,6.080869565218317,69,8209,108,5132,2018-04-29_18_58_09,345,2016-08-11,763936650665660421,http://twitter.com/Drake/status/763936650665660421
765991272100364288,6.008780487807318,287,14659,367,5045,2018-04-29_18_56_41,1196,2016-08-17,765991272100364288,http://twitter.com/Drake/status/765991272100364288
771138116426014720,6.130618556699115,291,13222,393,4063,2018-04-29_18_55_19,998,2016-08-31,771138116426014720,http://twitter.com/Drake/status/771138116426014720
772263280693940224,6.218441558438145,308,42865,728,27623,2018-04-29_18_53_52,1030,2016-09-03,772263280693940224,http://twitter.com/Drake/status/772263280693940224
773328391655284737,6.1930581039743045,327,13709,430,3891,2018-04-29_18_52_27,1216,2016-09-06,773328391655284737,http://twitter.com/Drake/status/773328391655284737
778701401182511104,6.2090865384602845,208,8937,215,2873,2018-04-29_18_51_08,740,2016-09-21,778701401182511104,http://twitter.com/Drake/status/778701401182511104
778798368956882945,6.1967385444726775,371,13631,404,3027,2018-04-29_18_49_45,1283,2016-09-21,778798368956882945,http://twitter.com/Drake/status/778798368956882945
780278976317054976,6.090636704118607,267,40289,730,23596,2018-04-29_18_48_20,942,2016-09-25,780278976317054976,http://twitter.com/Drake/status/780278976317054976
785414067330674689,6.079638554215532,249,44727,2.1K,23494,2018-04-29_18_46_56,1019,2016-10-10,785414067330674689,http://twitter.com/Drake/status/785414067330674689
954586693700644864,6.318972809663707,331,51997,847,29223,2018-04-29_18_45_34,1032,2018-01-19,954586693700644864,http://twitter.com/Drake/status/954586693700644864
961834459610865664,6.179303482586177,201,12597,280,4825,2018-04-29_18_44_09,852,2018-02-08,961834459610865664,http://twitter.com/Drake/status/961834459610865664
961834478644555778,6.044357541897898,179,14352,434,5956,2018-04-29_18_42_42,773,2018-02-08,961834478644555778,http://twitter.com/Drake/status/961834478644555778
