,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
987448817535651840,5.970291262135639,103,29,44,7,2018-04-30_14_06_56,429,2018-04-20,987448817535651840,http://twitter.com/EPAScottPruitt/status/987448817535651840
988054364148457472,5.838305847100442,667,266,4.1K,103,2018-04-30_14_05_28,2064,2018-04-22,988054364148457472,http://twitter.com/EPAScottPruitt/status/988054364148457472
988545006561611776,5.777674144068675,847,111,191,38,2018-04-30_14_03_25,2930,2018-04-23,988545006561611776,http://twitter.com/EPAScottPruitt/status/988545006561611776
988835610747162625,5.595820312497425,256,39,82,23,2018-04-30_14_01_34,1015,2018-04-24,988835610747162625,http://twitter.com/EPAScottPruitt/status/988835610747162625
988869278727393280,5.7363140763758755,1229,305,442,165,2018-04-30_14_00_03,4531,2018-04-24,988869278727393280,http://twitter.com/EPAScottPruitt/status/988869278727393280
989172902028369920,5.891779935272553,309,116,102,54,2018-04-30_13_58_42,1133,2018-04-25,989172902028369920,http://twitter.com/EPAScottPruitt/status/989172902028369920
989225210820874240,5.6820804020411035,995,120,363,64,2018-04-30_13_57_13,3717,2018-04-25,989225210820874240,http://twitter.com/EPAScottPruitt/status/989225210820874240
990953399733628928,6.0039230769211365,260,84,59,20,2018-04-30_13_55_50,917,2018-04-30,990953399733628928,http://twitter.com/EPAScottPruitt/status/990953399733628928
986704746126954496,5.7452622950983585,610,200,142,74,2018-04-30_14_19_57,2408,2018-04-18,986704746126954496,http://twitter.com/EPAScottPruitt/status/986704746126954496
986712006148481024,5.816678023878758,587,164,142,96,2018-04-30_14_18_31,2277,2018-04-18,986712006148481024,http://twitter.com/EPAScottPruitt/status/986712006148481024
986731131528761346,5.6357582938541935,422,136,145,48,2018-04-30_14_17_07,1772,2018-04-18,986731131528761346,http://twitter.com/EPAScottPruitt/status/986731131528761346
987022292655005696,5.739665551837389,299,80,79,30,2018-04-30_14_15_15,1187,2018-04-19,987022292655005696,http://twitter.com/EPAScottPruitt/status/987022292655005696
987040828811079680,5.6335696202579335,395,77,86,29,2018-04-30_14_13_53,1479,2018-04-19,987040828811079680,http://twitter.com/EPAScottPruitt/status/987040828811079680
987045016278372352,5.7118987341974226,474,91,112,34,2018-04-30_14_12_24,1782,2018-04-19,987045016278372352,http://twitter.com/EPAScottPruitt/status/987045016278372352
987341505395347456,5.806146341487088,820,198,221,83,2018-04-30_14_10_56,2922,2018-04-20,987341505395347456,http://twitter.com/EPAScottPruitt/status/987341505395347456
987377932002840576,5.854318840575695,345,106,107,50,2018-04-30_14_09_34,1274,2018-04-20,987377932002840576,http://twitter.com/EPAScottPruitt/status/987377932002840576
987422247454478338,5.746412213740088,131,21,32,10,2018-04-30_14_08_13,466,2018-04-20,987422247454478338,http://twitter.com/EPAScottPruitt/status/987422247454478338
