,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
988872083039031297,6.413395061757448,1134,29243,2.0K,4677,2018-05-06_01_14_14,3172,2018-04-24,988872083039031297,http://twitter.com/FLOTUS/status/988872083039031297
989505125239738368,6.794868247693088,1518,45758,4.2K,7126,2018-05-06_01_12_24,3595,2018-04-26,989505125239738368,http://twitter.com/FLOTUS/status/989505125239738368
989885747200217088,6.826977099271926,1310,80033,6.1K,8110,2018-05-06_01_10_38,2813,2018-04-27,989885747200217088,http://twitter.com/FLOTUS/status/989885747200217088
990252772590280705,5.8536551723163015,1450,23364,997,4098,2018-05-06_01_08_59,4634,2018-04-28,990252772590280705,http://twitter.com/FLOTUS/status/990252772590280705
991829113244737537,6.142130786122034,1361,51631,2.1K,7472,2018-05-06_01_07_23,4240,2018-05-02,991829113244737537,http://twitter.com/FLOTUS/status/991829113244737537
987773959184596992,6.337444976109165,1045,58918,1.7K,10530,2018-05-06_01_22_17,2866,2018-04-21,987773959184596992,http://twitter.com/FLOTUS/status/987773959184596992
988433060369612800,6.269326456182822,1648,69952,4.9K,12546,2018-05-06_01_20_36,4770,2018-04-23,988433060369612800,http://twitter.com/FLOTUS/status/988433060369612800
988473303378595840,6.290531324339085,1261,53568,3.6K,7699,2018-05-06_01_18_59,3704,2018-04-23,988473303378595840,http://twitter.com/FLOTUS/status/988473303378595840
988573477161570309,6.46540101525706,985,82563,1.8K,10561,2018-05-06_01_17_32,2612,2018-04-23,988573477161570309,http://twitter.com/FLOTUS/status/988573477161570309
988599860776656897,6.426003184753085,1256,35780,1.6K,6020,2018-05-06_01_15_53,3309,2018-04-23,988599860776656897,http://twitter.com/FLOTUS/status/988599860776656897
985941813981798402,5.729367704289173,1028,26063,1.9K,4684,2018-05-06_01_30_24,3512,2018-04-16,985941813981798402,http://twitter.com/FLOTUS/status/985941813981798402
986692786178150400,6.1429461279264475,1188,18242,933,2601,2018-05-06_01_28_42,3712,2018-04-18,986692786178150400,http://twitter.com/FLOTUS/status/986692786178150400
987433976531791872,6.269678615596082,809,27444,1.4K,4357,2018-05-06_01_27_11,2447,2018-04-20,987433976531791872,http://twitter.com/FLOTUS/status/987433976531791872
987746675165974528,6.3005487805172535,1148,52689,1.5K,6764,2018-05-06_01_25_37,3353,2018-04-21,987746675165974528,http://twitter.com/FLOTUS/status/987746675165974528
987751695013826561,6.537742718485665,1236,81017,2.9K,10431,2018-05-06_01_23_57,3177,2018-04-21,987751695013826561,http://twitter.com/FLOTUS/status/987751695013826561
983457610623082496,6.2197151898869825,948,35886,3.4K,5955,2018-05-06_01_39_17,2847,2018-04-09,983457610623082496,http://twitter.com/FLOTUS/status/983457610623082496
984487814183211014,6.0936307420774325,1132,30157,2.6K,4761,2018-05-06_01_37_34,3523,2018-04-12,984487814183211014,http://twitter.com/FLOTUS/status/984487814183211014
984523047024648192,6.082295514533797,1137,30157,2.6K,4761,2018-05-06_01_35_43,3539,2018-04-12,984523047024648192,http://twitter.com/FLOTUS/status/984523047024648192
985168020870975488,5.9640957967098664,1023,63722,3.3K,11529,2018-05-06_01_33_53,3206,2018-04-14,985168020870975488,http://twitter.com/FLOTUS/status/985168020870975488
985168153197056000,6.145686498875781,874,43767,1.9K,7212,2018-05-06_01_32_10,2645,2018-04-14,985168153197056000,http://twitter.com/FLOTUS/status/985168153197056000
979464997880451072,6.211476725505199,1246,32668,2.0K,4876,2018-05-06_01_47_14,3715,2018-03-29,979464997880451072,http://twitter.com/FLOTUS/status/979464997880451072
979778533957419008,6.435177757560372,1097,52602,4.3K,9398,2018-05-06_01_45_36,2848,2018-03-30,979778533957419008,http://twitter.com/FLOTUS/status/979778533957419008
980493476751134721,6.235687331533955,371,62555,6.0K,9138,2018-05-06_01_44_03,1026,2018-04-01,980493476751134721,http://twitter.com/FLOTUS/status/980493476751134721
980909504257806336,6.337914952005884,729,33917,2.4K,4891,2018-05-06_01_42_32,2021,2018-04-02,980909504257806336,http://twitter.com/FLOTUS/status/980909504257806336
980970021898866694,6.1887229862543665,509,55747,6.1K,10318,2018-05-06_01_40_53,1476,2018-04-02,980970021898866694,http://twitter.com/FLOTUS/status/980970021898866694
977264508740755457,6.2618005071967815,1183,25825,1.7K,4121,2018-05-06_01_56_38,3449,2018-03-23,977264508740755457,http://twitter.com/FLOTUS/status/977264508740755457
977566664517652481,6.157518367324022,1225,19706,2.4K,3307,2018-05-06_01_54_54,3802,2018-03-24,977566664517652481,http://twitter.com/FLOTUS/status/977566664517652481
978649343610753024,6.1778699069848715,1399,34306,3.0K,5857,2018-05-06_01_52_52,4340,2018-03-27,978649343610753024,http://twitter.com/FLOTUS/status/978649343610753024
978761875457499136,5.651010886430568,1286,21993,1.4K,3661,2018-05-06_01_51_12,4159,2018-03-27,978761875457499136,http://twitter.com/FLOTUS/status/978761875457499136
979055974903418880,6.244860335236338,1074,19966,1.5K,3427,2018-05-06_01_48_58,3400,2018-03-28,979055974903418880,http://twitter.com/FLOTUS/status/979055974903418880
976212282219909120,5.995652173920994,1035,24730,3.3K,4067,2018-05-06_02_05_24,3526,2018-03-20,976212282219909120,http://twitter.com/FLOTUS/status/976212282219909120
976236434003722247,5.8849173255527925,1391,16275,3.9K,4122,2018-05-06_02_03_22,4949,2018-03-20,976236434003722247,http://twitter.com/FLOTUS/status/976236434003722247
976476222434742273,6.3052392947250775,794,60519,4.5K,7895,2018-05-06_02_01_41,2213,2018-03-21,976476222434742273,http://twitter.com/FLOTUS/status/976476222434742273
