,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
990663626041241600,5.868666666665424,120,272,47,68,2018-04-29_21_59_29,520,2018-04-29,990663626041241600,http://twitter.com/FoxNews/status/990663626041241600
990663956212658177,5.378399366085224,631,84,145,35,2018-04-29_21_58_00,3000,2018-04-29,990663956212658177,http://twitter.com/FoxNews/status/990663956212658177
990664295938740225,5.418013100455201,458,437,126,124,2018-04-29_21_56_40,2113,2018-04-29,990664295938740225,http://twitter.com/FoxNews/status/990664295938740225
990665138641489920,5.463527131782774,258,451,80,142,2018-04-29_21_55_16,1260,2018-04-29,990665138641489920,http://twitter.com/FoxNews/status/990665138641489920
990665683464867842,5.337827510913817,916,292,1.4K,97,2018-04-29_21_53_45,4113,2018-04-29,990665683464867842,http://twitter.com/FoxNews/status/990665683464867842
990666024327499777,5.840684684699541,555,762,127,221,2018-04-29_21_52_21,2162,2018-04-29,990666024327499777,http://twitter.com/FoxNews/status/990666024327499777
990666420546686977,5.5196923076919635,260,511,73,162,2018-04-29_21_50_58,1237,2018-04-29,990666420546686977,http://twitter.com/FoxNews/status/990666420546686977
990667467474251776,5.678015564219186,771,2406,195,510,2018-04-29_21_49_29,2720,2018-04-29,990667467474251776,http://twitter.com/FoxNews/status/990667467474251776
990669429976584198,5.711742268040721,970,3373,464,860,2018-04-29_21_48_00,3682,2018-04-29,990669429976584198,http://twitter.com/FoxNews/status/990669429976584198
990671308496105473,5.865099894875495,951,3155,248,655,2018-04-29_21_46_31,3487,2018-04-29,990671308496105473,http://twitter.com/FoxNews/status/990671308496105473
990657198798843904,5.664285714285866,84,266,34,82,2018-04-29_22_13_07,323,2018-04-29,990657198798843904,http://twitter.com/FoxNews/status/990657198798843904
990657714698313728,5.941049250549293,467,1900,196,471,2018-04-29_22_11_46,1919,2018-04-29,990657714698313728,http://twitter.com/FoxNews/status/990657714698313728
990657949336068096,5.352753623188412,69,93,20,39,2018-04-29_22_10_27,209,2018-04-29,990657949336068096,http://twitter.com/FoxNews/status/990657949336068096
990658483044388864,5.958630136986272,73,259,34,78,2018-04-29_22_09_04,345,2018-04-29,990658483044388864,http://twitter.com/FoxNews/status/990658483044388864
990659349805785089,5.824444444443741,135,711,44,240,2018-04-29_22_07_44,583,2018-04-29,990659349805785089,http://twitter.com/FoxNews/status/990659349805785089
990660031543734273,5.399203539824972,226,395,45,102,2018-04-29_22_06_19,882,2018-04-29,990660031543734273,http://twitter.com/FoxNews/status/990660031543734273
990660235713916928,5.612426035502566,169,340,55,104,2018-04-29_22_04_53,601,2018-04-29,990660235713916928,http://twitter.com/FoxNews/status/990660235713916928
990662044176220165,5.173846153846183,78,305,22,73,2018-04-29_22_03_36,267,2018-04-29,990662044176220165,http://twitter.com/FoxNews/status/990662044176220165
990662565532524544,5.692213740457906,131,175,40,43,2018-04-29_22_02_13,531,2018-04-29,990662565532524544,http://twitter.com/FoxNews/status/990662565532524544
990663448643211264,5.208950617283169,162,146,39,36,2018-04-29_22_00_53,727,2018-04-29,990663448643211264,http://twitter.com/FoxNews/status/990663448643211264
990642349138235392,5.548992307582057,1300,634,821,666,2018-04-29_22_26_56,5120,2018-04-29,990642349138235392,http://twitter.com/FoxNews/status/990642349138235392
990644885249314816,5.555834767595749,1162,237,507,224,2018-04-29_22_25_30,4455,2018-04-29,990644885249314816,http://twitter.com/FoxNews/status/990644885249314816
990645137259794432,5.6276540083462905,1185,2426,828,618,2018-04-29_22_24_05,4672,2018-04-29,990645137259794432,http://twitter.com/FoxNews/status/990645137259794432
990647085820203009,5.873999999999998,20,111,18,64,2018-04-29_22_22_48,105,2018-04-29,990647085820203009,http://twitter.com/FoxNews/status/990647085820203009
990647652776849409,5.7120330578583385,605,467,126,193,2018-04-29_22_21_28,2281,2018-04-29,990647652776849409,http://twitter.com/FoxNews/status/990647652776849409
990649750474186753,5.652857142880851,924,3380,279,1067,2018-04-29_22_20_01,4154,2018-04-29,990649750474186753,http://twitter.com/FoxNews/status/990649750474186753
990650648579510276,5.549302564132254,975,314,425,305,2018-04-29_22_18_39,3861,2018-04-29,990650648579510276,http://twitter.com/FoxNews/status/990650648579510276
