,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
974345353322483713,5.937424593992742,862,37859,1.3K,5728,2018-05-05_15_14_04,3305,2018-03-15,974345353322483713,http://twitter.com/GeorgeHWBush/status/974345353322483713
975823251321573380,6.122088353420378,498,5868,125,550,2018-05-05_15_12_39,1527,2018-03-19,975823251321573380,http://twitter.com/GeorgeHWBush/status/975823251321573380
976852117569843202,6.158908554570013,339,2839,122,390,2018-05-05_15_11_13,1267,2018-03-22,976852117569843202,http://twitter.com/GeorgeHWBush/status/976852117569843202
982724507160006656,5.9356499575470405,1177,4445,689,2311,2018-05-05_15_09_52,3343,2018-04-07,982724507160006656,http://twitter.com/GeorgeHWBush/status/982724507160006656
989166391524806658,6.39929616091759,1094,9942,302,1174,2018-05-05_15_08_30,2762,2018-04-25,989166391524806658,http://twitter.com/GeorgeHWBush/status/989166391524806658
992082950148820997,6.461300716001563,838,5441,268,793,2018-05-05_15_07_10,2166,2018-05-03,992082950148820997,http://twitter.com/GeorgeHWBush/status/992082950148820997
960912949945782272,6.115874125872482,143,1426,59,178,2018-05-05_15_22_18,543,2018-02-06,960912949945782272,http://twitter.com/GeorgeHWBush/status/960912949945782272
966375487965728769,6.3261777777771675,225,1051,42,118,2018-05-05_15_20_59,683,2018-02-21,966375487965728769,http://twitter.com/GeorgeHWBush/status/966375487965728769
968266166320926726,6.1216463414630695,164,1332,51,148,2018-05-05_15_19_39,478,2018-02-26,968266166320926726,http://twitter.com/GeorgeHWBush/status/968266166320926726
969623505150017541,6.170371900824497,242,1314,66,181,2018-05-05_15_18_19,857,2018-03-02,969623505150017541,http://twitter.com/GeorgeHWBush/status/969623505150017541
972157804525080578,6.1438646288276795,458,1558,103,264,2018-05-05_15_16_51,1528,2018-03-09,972157804525080578,http://twitter.com/GeorgeHWBush/status/972157804525080578
973571714528444416,6.514855233852714,449,2400,100,374,2018-05-05_15_15_28,1239,2018-03-13,973571714528444416,http://twitter.com/GeorgeHWBush/status/973571714528444416
920318913912754176,5.729077844340115,835,10219,315,1618,2018-05-05_15_30_42,2714,2017-10-17,920318913912754176,http://twitter.com/GeorgeHWBush/status/920318913912754176
922485638846443520,6.216270136340199,807,99510,1.4K,16546,2018-05-05_15_29_12,2615,2017-10-23,922485638846443520,http://twitter.com/GeorgeHWBush/status/922485638846443520
926141911425015808,5.664994775362907,957,5279,270,623,2018-05-05_15_27_44,3142,2017-11-02,926141911425015808,http://twitter.com/GeorgeHWBush/status/926141911425015808
932724101826957312,6.303607520606287,851,6232,208,951,2018-05-05_15_26_21,2574,2017-11-20,932724101826957312,http://twitter.com/GeorgeHWBush/status/932724101826957312
935592763055312896,5.766470588235935,102,34859,884,4634,2018-05-05_15_25_04,322,2017-11-28,935592763055312896,http://twitter.com/GeorgeHWBush/status/935592763055312896
956216309322256384,6.017918367346862,245,894,68,162,2018-05-05_15_23_40,722,2018-01-24,956216309322256384,http://twitter.com/GeorgeHWBush/status/956216309322256384
906906792550174723,6.002808988762318,267,34894,847,6641,2018-05-05_15_37_41,818,2017-09-10,906906792550174723,http://twitter.com/GeorgeHWBush/status/906906792550174723
908438863152107520,6.359705882353222,68,336,42,78,2018-05-05_15_36_21,191,2017-09-14,908438863152107520,http://twitter.com/GeorgeHWBush/status/908438863152107520
912698449639952384,6.0738837920450415,327,2435,107,1132,2018-05-05_15_34_51,1207,2017-09-26,912698449639952384,http://twitter.com/GeorgeHWBush/status/912698449639952384
913124113597845506,6.3427062706464366,606,6069,199,981,2018-05-05_15_33_27,1821,2017-09-27,913124113597845506,http://twitter.com/GeorgeHWBush/status/913124113597845506
916340278763708417,6.361148036249663,331,2406,109,363,2018-05-05_15_32_06,1047,2017-10-06,916340278763708417,http://twitter.com/GeorgeHWBush/status/916340278763708417
890252139775262720,6.352970479720511,542,4779,205,613,2018-05-05_15_44_28,1637,2017-07-26,890252139775262720,http://twitter.com/GeorgeHWBush/status/890252139775262720
899706990854889473,6.044273858928433,482,38820,870,5675,2018-05-05_15_43_10,1424,2017-08-21,899706990854889473,http://twitter.com/GeorgeHWBush/status/899706990854889473
902588353572466688,6.302687747035811,253,7188,110,1768,2018-05-05_15_41_50,777,2017-08-29,902588353572466688,http://twitter.com/GeorgeHWBush/status/902588353572466688
905932964088958978,6.084500000018882,680,37260,1.0K,10829,2018-05-05_15_40_28,2025,2017-09-07,905932964088958978,http://twitter.com/GeorgeHWBush/status/905932964088958978
906165660258103296,5.844236588722742,727,2958,308,727,2018-05-05_15_39_03,2572,2017-09-08,906165660258103296,http://twitter.com/GeorgeHWBush/status/906165660258103296
