,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
992033312955883521,5.821012433328269,1689,6277,791,2127,2018-05-03_22_06_09,6108,2018-05-03,992033312955883521,http://twitter.com/GovMikeHuckabee/status/992033312955883521
992090421181366272,5.201095100868852,694,1038,140,522,2018-05-03_22_04_43,3071,2018-05-03,992090421181366272,http://twitter.com/GovMikeHuckabee/status/992090421181366272
992105518041915393,5.6344989561481125,958,2117,154,758,2018-05-03_22_03_16,3543,2018-05-03,992105518041915393,http://twitter.com/GovMikeHuckabee/status/992105518041915393
992118894713298944,5.528020202042468,495,1275,131,567,2018-05-03_22_01_55,2155,2018-05-03,992118894713298944,http://twitter.com/GovMikeHuckabee/status/992118894713298944
992132691888934912,5.62726851853743,648,452,242,163,2018-05-03_22_00_32,2541,2018-05-03,992132691888934912,http://twitter.com/GovMikeHuckabee/status/992132691888934912
991819387937189888,5.713691275166847,149,582,42,122,2018-05-03_22_13_08,533,2018-05-02,991819387937189888,http://twitter.com/GovMikeHuckabee/status/991819387937189888
991852414046269441,5.663883161510099,291,1433,73,431,2018-05-03_22_11_50,1259,2018-05-02,991852414046269441,http://twitter.com/GovMikeHuckabee/status/991852414046269441
991856122763063296,6.087187789085766,1081,1790,288,483,2018-05-03_22_10_24,3308,2018-05-02,991856122763063296,http://twitter.com/GovMikeHuckabee/status/991856122763063296
991859960790290432,5.3819999999995245,230,959,69,253,2018-05-03_22_09_06,909,2018-05-02,991859960790290432,http://twitter.com/GovMikeHuckabee/status/991859960790290432
992021854486454272,6.046073752719074,461,2732,99,683,2018-05-03_22_07_44,1403,2018-05-03,992021854486454272,http://twitter.com/GovMikeHuckabee/status/992021854486454272
991645983875518464,5.871257750177207,1129,5442,410,1521,2018-05-03_22_20_06,3954,2018-05-02,991645983875518464,http://twitter.com/GovMikeHuckabee/status/991645983875518464
991725017909137414,5.648630705391991,241,467,59,201,2018-05-03_22_18_46,945,2018-05-02,991725017909137414,http://twitter.com/GovMikeHuckabee/status/991725017909137414
991755231410126849,5.973061465740668,846,6048,1.1K,1217,2018-05-03_22_17_20,3073,2018-05-02,991755231410126849,http://twitter.com/GovMikeHuckabee/status/991755231410126849
991771572087160833,5.719270998439803,631,1253,153,500,2018-05-03_22_15_51,2498,2018-05-02,991771572087160833,http://twitter.com/GovMikeHuckabee/status/991771572087160833
991814265672790016,5.969288793107379,464,2105,154,431,2018-05-03_22_14_26,1353,2018-05-02,991814265672790016,http://twitter.com/GovMikeHuckabee/status/991814265672790016
991335413632655361,6.066845915197398,967,6506,814,1850,2018-05-03_22_27_25,2969,2018-05-01,991335413632655361,http://twitter.com/GovMikeHuckabee/status/991335413632655361
991336199519375365,5.676372688514249,703,1092,244,270,2018-05-03_22_26_00,2545,2018-05-01,991336199519375365,http://twitter.com/GovMikeHuckabee/status/991336199519375365
991347551432474626,6.077187728176073,1369,2256,435,627,2018-05-03_22_24_24,4409,2018-05-01,991347551432474626,http://twitter.com/GovMikeHuckabee/status/991347551432474626
991385531849289728,6.033381294962839,278,974,81,179,2018-05-03_22_23_05,869,2018-05-01,991385531849289728,http://twitter.com/GovMikeHuckabee/status/991385531849289728
991471333950263296,5.575040650426465,615,3311,192,1187,2018-05-03_22_21_37,2434,2018-05-01,991471333950263296,http://twitter.com/GovMikeHuckabee/status/991471333950263296
991016231833653249,5.679513043419695,1150,20089,1.1K,7657,2018-05-03_22_34_38,4799,2018-04-30,991016231833653249,http://twitter.com/GovMikeHuckabee/status/991016231833653249
991023151734755328,5.517605421705753,664,2165,137,1423,2018-05-03_22_33_14,2740,2018-04-30,991023151734755328,http://twitter.com/GovMikeHuckabee/status/991023151734755328
991046791658434565,5.708385786825116,985,1261,200,517,2018-05-03_22_31_46,3784,2018-04-30,991046791658434565,http://twitter.com/GovMikeHuckabee/status/991046791658434565
991075729390604288,5.546161137460079,633,4960,434,1950,2018-05-03_22_30_20,2387,2018-04-30,991075729390604288,http://twitter.com/GovMikeHuckabee/status/991075729390604288
991274041557307392,6.0456388206497085,814,13060,393,3366,2018-05-03_22_28_55,2931,2018-05-01,991274041557307392,http://twitter.com/GovMikeHuckabee/status/991274041557307392
990640710356557824,5.755275994707973,1558,47537,7.6K,15387,2018-05-03_22_41_12,5321,2018-04-29,990640710356557824,http://twitter.com/GovMikeHuckabee/status/990640710356557824
990711212978720768,5.924295612015697,433,1246,130,283,2018-05-03_22_39_47,1421,2018-04-29,990711212978720768,http://twitter.com/GovMikeHuckabee/status/990711212978720768
990727455655845888,6.2026568550945305,1291,30218,1.6K,8750,2018-05-03_22_38_12,4108,2018-04-29,990727455655845888,http://twitter.com/GovMikeHuckabee/status/990727455655845888
990903186985771014,5.7324324322932645,1480,5871,629,2075,2018-05-03_22_36_37,5548,2018-04-30,990903186985771014,http://twitter.com/GovMikeHuckabee/status/990903186985771014
990412804896280576,5.935492537216264,1340,3535,432,1024,2018-05-03_22_48_45,4689,2018-04-28,990412804896280576,http://twitter.com/GovMikeHuckabee/status/990412804896280576
990412930293420032,5.746117021297708,752,4390,448,1238,2018-05-03_22_47_15,2873,2018-04-28,990412930293420032,http://twitter.com/GovMikeHuckabee/status/990412930293420032
990557547210989568,5.8104442429611955,1103,48081,5.8K,16491,2018-05-03_22_45_45,3890,2018-04-29,990557547210989568,http://twitter.com/GovMikeHuckabee/status/990557547210989568
990559148000587776,5.763787781215701,1555,18825,2.9K,6142,2018-05-03_22_44_11,5015,2018-04-29,990559148000587776,http://twitter.com/GovMikeHuckabee/status/990559148000587776
990606414287724550,5.755200964543247,1244,23289,3.6K,7456,2018-05-03_22_42_42,4297,2018-04-29,990606414287724550,http://twitter.com/GovMikeHuckabee/status/990606414287724550
990266356766597120,6.266349206349148,63,390,17,113,2018-05-03_22_55_55,221,2018-04-28,990266356766597120,http://twitter.com/GovMikeHuckabee/status/990266356766597120
990322024290639872,5.858195488719348,266,767,70,198,2018-05-03_22_54_26,974,2018-04-28,990322024290639872,http://twitter.com/GovMikeHuckabee/status/990322024290639872
990339863017902081,6.148446601939173,206,1659,72,347,2018-05-03_22_53_08,687,2018-04-28,990339863017902081,http://twitter.com/GovMikeHuckabee/status/990339863017902081
990365897293484034,5.890130293156933,307,1324,93,321,2018-05-03_22_51_45,1114,2018-04-28,990365897293484034,http://twitter.com/GovMikeHuckabee/status/990365897293484034
990368297580400641,5.8924760499831015,1357,13958,641,3477,2018-05-03_22_50_14,4856,2018-04-28,990368297580400641,http://twitter.com/GovMikeHuckabee/status/990368297580400641
990173987371212800,5.987638095262296,525,8181,722,2776,2018-05-03_23_02_51,1922,2018-04-28,990173987371212800,http://twitter.com/GovMikeHuckabee/status/990173987371212800
990179696863309829,5.9327240143648385,837,639,246,168,2018-05-03_23_01_29,2890,2018-04-28,990179696863309829,http://twitter.com/GovMikeHuckabee/status/990179696863309829
990191120549384193,6.0697777777779365,45,249,13,42,2018-05-03_23_00_04,131,2018-04-28,990191120549384193,http://twitter.com/GovMikeHuckabee/status/990191120549384193
990203510246473731,6.034860186428156,751,5460,251,2190,2018-05-03_22_58_39,2506,2018-04-28,990203510246473731,http://twitter.com/GovMikeHuckabee/status/990203510246473731
990224630106542080,5.945040650406328,123,431,38,71,2018-05-03_22_57_18,353,2018-04-28,990224630106542080,http://twitter.com/GovMikeHuckabee/status/990224630106542080
