,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
870372289652682752,5.882367647072692,680,2915,489,974,2018-05-03_16_12_35,2511,2017-06-01,870372289652682752,http://twitter.com/InhofePress/status/870372289652682752
891358236225482752,5.600304635783467,755,301,328,80,2018-05-03_16_11_07,2416,2017-07-29,891358236225482752,http://twitter.com/InhofePress/status/891358236225482752
902235435778400256,5.878984674344496,522,2536,129,2981,2018-05-03_16_09_41,1812,2017-08-28,902235435778400256,http://twitter.com/InhofePress/status/902235435778400256
915602979276955648,5.1672280178996575,671,80,179,30,2018-05-03_16_08_18,2328,2017-10-04,915602979276955648,http://twitter.com/InhofePress/status/915602979276955648
710092037744410625,5.523717277498722,382,93,114,127,2018-05-03_16_20_37,1729,2016-03-16,710092037744410625,http://twitter.com/InhofePress/status/710092037744410625
819563577401032705,5.570576923074763,260,532,122,214,2018-05-03_16_19_07,1038,2017-01-11,819563577401032705,http://twitter.com/InhofePress/status/819563577401032705
826110230564044800,5.425021008414215,476,37,109,26,2018-05-03_16_17_43,1800,2017-01-30,826110230564044800,http://twitter.com/InhofePress/status/826110230564044800
829038197795610625,5.800590219243526,593,34,134,14,2018-05-03_16_16_17,1721,2017-02-07,829038197795610625,http://twitter.com/InhofePress/status/829038197795610625
849622536954535936,5.255224719099265,178,81,78,34,2018-05-03_16_14_39,858,2017-04-05,849622536954535936,http://twitter.com/InhofePress/status/849622536954535936
298823828832931841,5.348883495169505,618,162,354,995,2018-05-03_16_29_03,3146,2013-02-05,298823828832931841,http://twitter.com/InhofePress/status/298823828832931841
310148087148580865,5.996768292729561,656,174,198,640,2018-05-03_16_27_09,2788,2013-03-08,310148087148580865,http://twitter.com/InhofePress/status/310148087148580865
321323052002574336,5.4087136929441,241,176,86,674,2018-05-03_16_25_35,1025,2013-04-04,321323052002574336,http://twitter.com/InhofePress/status/321323052002574336
565245257412268033,5.734901960800399,918,7530,2.4K,18143,2018-05-03_16_23_44,3549,2015-02-10,565245257412268033,http://twitter.com/InhofePress/status/565245257412268033
623549096301842432,5.477748344371016,151,217,77,256,2018-05-03_16_22_16,708,2015-07-21,623549096301842432,http://twitter.com/InhofePress/status/623549096301842432
