,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
990378647587565568,5.515893719804749,207,12,69,1,2018-04-30_19_40_54,852,2018-04-28,990378647587565568,http://twitter.com/JackKingston/status/990378647587565568
990541055736107008,5.257952755904984,127,8,25,2,2018-04-30_19_39_27,552,2018-04-29,990541055736107008,http://twitter.com/JackKingston/status/990541055736107008
990563740750934016,5.82901960784178,153,13,36,4,2018-04-30_19_38_01,654,2018-04-29,990563740750934016,http://twitter.com/JackKingston/status/990563740750934016
990609097732091904,5.702148997132615,349,17,78,4,2018-04-30_19_36_36,1308,2018-04-29,990609097732091904,http://twitter.com/JackKingston/status/990609097732091904
990678663485149184,5.6923926380350895,163,15,47,5,2018-04-30_19_35_07,620,2018-04-29,990678663485149184,http://twitter.com/JackKingston/status/990678663485149184
990728909170855936,5.749898734181306,395,3012,95,530,2018-04-30_19_33_13,1365,2018-04-29,990728909170855936,http://twitter.com/JackKingston/status/990728909170855936
990918225197137920,6.002519685038086,127,6,38,2,2018-04-30_19_31_49,499,2018-04-30,990918225197137920,http://twitter.com/JackKingston/status/990918225197137920
990934065904865280,5.406187499999741,320,140,92,44,2018-04-30_19_30_20,1228,2018-04-30,990934065904865280,http://twitter.com/JackKingston/status/990934065904865280
990937371314094081,5.701603053433918,131,20,38,8,2018-04-30_19_29_04,606,2018-04-30,990937371314094081,http://twitter.com/JackKingston/status/990937371314094081
989560639445258240,5.493831168830463,154,10,43,3,2018-04-30_21_06_02,697,2018-04-26,989560639445258240,http://twitter.com/JackKingston/status/989560639445258240
990248027670671360,5.410798479085016,263,12,61,4,2018-04-30_21_03_16,1079,2018-04-28,990248027670671360,http://twitter.com/JackKingston/status/990248027670671360
990307540591398912,5.62192982456142,114,11,21,3,2018-04-30_21_00_56,371,2018-04-28,990307540591398912,http://twitter.com/JackKingston/status/990307540591398912
988841886688231424,5.815065075954684,922,1772,1.4K,609,2018-04-30_21_16_36,3394,2018-04-24,988841886688231424,http://twitter.com/JackKingston/status/988841886688231424
988859118126444544,5.775630769227463,325,21,95,4,2018-04-30_21_15_14,1144,2018-04-24,988859118126444544,http://twitter.com/JackKingston/status/988859118126444544
988938208489566208,5.91212927758374,789,32760,808,11563,2018-04-30_21_13_37,2921,2018-04-24,988938208489566208,http://twitter.com/JackKingston/status/988938208489566208
989211685608079360,5.406129032257856,62,7,15,5,2018-04-30_21_12_12,257,2018-04-25,989211685608079360,http://twitter.com/JackKingston/status/989211685608079360
989269837242249216,6.0663888888892945,72,8,30,1,2018-04-30_21_10_21,311,2018-04-25,989269837242249216,http://twitter.com/JackKingston/status/989269837242249216
989426198060126208,5.814122412223703,1111,109548,6.8K,19514,2018-04-30_21_07_54,3940,2018-04-25,989426198060126208,http://twitter.com/JackKingston/status/989426198060126208
987773104221913088,5.3060240963857845,83,6,24,2,2018-04-30_21_26_06,340,2018-04-21,987773104221913088,http://twitter.com/JackKingston/status/987773104221913088
987845120161595392,5.856338028167701,142,13,37,2,2018-04-30_21_24_41,506,2018-04-21,987845120161595392,http://twitter.com/JackKingston/status/987845120161595392
988212900685725696,6.138717948718012,39,4,14,1,2018-04-30_21_22_45,132,2018-04-22,988212900685725696,http://twitter.com/JackKingston/status/988212900685725696
988214723408625670,5.9212093023241295,215,35,49,11,2018-04-30_21_21_17,761,2018-04-22,988214723408625670,http://twitter.com/JackKingston/status/988214723408625670
988424913991057408,5.839545454545796,88,14,27,1,2018-04-30_21_19_59,270,2018-04-23,988424913991057408,http://twitter.com/JackKingston/status/988424913991057408
988584367642492928,5.432187500000057,32,3,18,1,2018-04-30_21_18_06,152,2018-04-23,988584367642492928,http://twitter.com/JackKingston/status/988584367642492928
987059793687994368,4.989000000000034,60,7,34,1,2018-04-30_21_34_26,307,2018-04-19,987059793687994368,http://twitter.com/JackKingston/status/987059793687994368
987482628969390081,5.7632867132864,143,14,46,2,2018-04-30_21_31_10,595,2018-04-20,987482628969390081,http://twitter.com/JackKingston/status/987482628969390081
987512363782897666,5.482816901408269,71,14,20,5,2018-04-30_21_29_47,320,2018-04-20,987512363782897666,http://twitter.com/JackKingston/status/987512363782897666
987696057403432960,5.434516129032311,31,3,10,2,2018-04-30_21_28_25,111,2018-04-21,987696057403432960,http://twitter.com/JackKingston/status/987696057403432960
985985675068616704,5.764625550659405,227,32,62,13,2018-04-30_21_43_15,850,2018-04-16,985985675068616704,http://twitter.com/JackKingston/status/985985675068616704
986263558869700609,6.0586440677966005,59,6,13,1,2018-04-30_21_41_26,237,2018-04-17,986263558869700609,http://twitter.com/JackKingston/status/986263558869700609
986434143243440128,5.777149643722125,842,45253,4.3K,8842,2018-04-30_21_39_56,2564,2018-04-17,986434143243440128,http://twitter.com/JackKingston/status/986434143243440128
986972997868244992,5.487234042553278,47,7,20,11,2018-04-30_21_37_43,213,2018-04-19,986972997868244992,http://twitter.com/JackKingston/status/986972997868244992
987003076857991168,5.490061728393977,162,5,35,1,2018-04-30_21_36_21,579,2018-04-19,987003076857991168,http://twitter.com/JackKingston/status/987003076857991168
985702249090469889,5.448095238095314,84,18,27,9,2018-04-30_21_53_49,299,2018-04-15,985702249090469889,http://twitter.com/JackKingston/status/985702249090469889
985706412855713794,5.48772727272724,66,7,28,2,2018-04-30_21_52_24,271,2018-04-15,985706412855713794,http://twitter.com/JackKingston/status/985706412855713794
985707984469753856,5.83204946996403,283,30,89,8,2018-04-30_21_51_04,1032,2018-04-15,985707984469753856,http://twitter.com/JackKingston/status/985707984469753856
985715554102149120,5.8562247191177885,445,30,115,7,2018-04-30_21_49_46,1546,2018-04-15,985715554102149120,http://twitter.com/JackKingston/status/985715554102149120
985719723416543232,5.5307874015744725,127,15,34,7,2018-04-30_21_48_23,504,2018-04-15,985719723416543232,http://twitter.com/JackKingston/status/985719723416543232
985728591211229184,5.46852173912993,115,2,31,1,2018-04-30_21_46_57,492,2018-04-15,985728591211229184,http://twitter.com/JackKingston/status/985728591211229184
985964081277489152,6.1405882352942465,34,7,10,2,2018-04-30_21_45_05,139,2018-04-16,985964081277489152,http://twitter.com/JackKingston/status/985964081277489152
984865240524435457,5.903558282208032,163,5,54,1,2018-04-30_22_03_41,673,2018-04-13,984865240524435457,http://twitter.com/JackKingston/status/984865240524435457
984971180389126144,5.9728999999999095,100,4,30,2,2018-04-30_22_01_47,362,2018-04-13,984971180389126144,http://twitter.com/JackKingston/status/984971180389126144
985118158620184576,5.515851063829984,94,6,28,1,2018-04-30_22_00_23,381,2018-04-14,985118158620184576,http://twitter.com/JackKingston/status/985118158620184576
985119702728003584,5.735652173913009,115,12,29,4,2018-04-30_21_59_01,451,2018-04-14,985119702728003584,http://twitter.com/JackKingston/status/985119702728003584
985481127690428416,5.635333333331665,150,6,32,1,2018-04-30_21_57_36,596,2018-04-15,985481127690428416,http://twitter.com/JackKingston/status/985481127690428416
985682774957936642,5.808775510204357,98,7,26,1,2018-04-30_21_55_10,367,2018-04-15,985682774957936642,http://twitter.com/JackKingston/status/985682774957936642
984076454056157186,5.749293680295779,269,10,69,1,2018-04-30_22_15_12,1028,2018-04-11,984076454056157186,http://twitter.com/JackKingston/status/984076454056157186
984094907114586112,5.52268472909521,812,54,1.5K,16,2018-04-30_22_13_49,3450,2018-04-11,984094907114586112,http://twitter.com/JackKingston/status/984094907114586112
984233565067055104,5.488026315789663,76,10,22,4,2018-04-30_22_12_26,302,2018-04-11,984233565067055104,http://twitter.com/JackKingston/status/984233565067055104
984457730441310213,5.905497630329504,211,7,52,2,2018-04-30_22_11_03,731,2018-04-12,984457730441310213,http://twitter.com/JackKingston/status/984457730441310213
984477927520731136,4.948648648648813,37,7,17,1,2018-04-30_22_09_40,192,2018-04-12,984477927520731136,http://twitter.com/JackKingston/status/984477927520731136
984796953732177920,5.768064516127219,155,5,43,1,2018-04-30_22_07_51,631,2018-04-13,984796953732177920,http://twitter.com/JackKingston/status/984796953732177920
984840486245584896,5.735130434782728,115,6,42,1,2018-04-30_22_06_29,451,2018-04-13,984840486245584896,http://twitter.com/JackKingston/status/984840486245584896
