Unnamed: 0,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
916066890090471424,5.540336000020149,625,183,387,51,2018-05-06_01_15_15,2223,2017-10-05,916066890090471424,http://twitter.com/JeffFlake/status/916066890090471424
917563980679442432,5.783468208114287,519,575,166,104,2018-05-06_01_13_47,1920,2017-10-09,917563980679442432,http://twitter.com/JeffFlake/status/917563980679442432
919040002809503744,5.770684039110384,614,1275,328,153,2018-05-06_01_12_16,2121,2017-10-13,919040002809503744,http://twitter.com/JeffFlake/status/919040002809503744
919778114405679104,5.628463541667892,384,259,92,85,2018-05-06_01_10_46,1394,2017-10-15,919778114405679104,http://twitter.com/JeffFlake/status/919778114405679104
920399771612909568,5.516581371579012,977,145,184,46,2018-05-06_01_09_13,3394,2017-10-17,920399771612909568,http://twitter.com/JeffFlake/status/920399771612909568
920841424358330369,5.627006060637371,825,691,244,164,2018-05-06_01_07_41,3056,2017-10-18,920841424358330369,http://twitter.com/JeffFlake/status/920841424358330369
912781130662858753,5.5865100671324806,894,173,387,65,2018-05-06_01_24_47,3195,2017-09-26,912781130662858753,http://twitter.com/JeffFlake/status/912781130662858753
913137097615249409,5.3900470588525735,850,67,197,28,2018-05-06_01_23_11,2881,2017-09-27,913137097615249409,http://twitter.com/JeffFlake/status/913137097615249409
913451048261611522,5.4469313304903855,466,97,133,42,2018-05-06_01_21_29,1781,2017-09-28,913451048261611522,http://twitter.com/JeffFlake/status/913451048261611522
914833552167931904,5.348960244668964,654,346,321,43,2018-05-06_01_19_53,2362,2017-10-02,914833552167931904,http://twitter.com/JeffFlake/status/914833552167931904
914991741148778496,5.6482058047472155,379,310,84,136,2018-05-06_01_18_18,1382,2017-10-02,914991741148778496,http://twitter.com/JeffFlake/status/914991741148778496
915977452668768256,5.466361655780133,459,82,98,25,2018-05-06_01_16_48,1623,2017-10-05,915977452668768256,http://twitter.com/JeffFlake/status/915977452668768256
910997680117157893,5.424971153874006,1040,187,665,49,2018-05-06_01_34_34,3445,2017-09-21,910997680117157893,http://twitter.com/JeffFlake/status/910997680117157893
911023369645985794,5.590077720231823,772,210,449,47,2018-05-06_01_32_51,2958,2017-09-21,911023369645985794,http://twitter.com/JeffFlake/status/911023369645985794
911292317763485697,5.607348242807876,313,42,73,21,2018-05-06_01_31_24,1021,2017-09-22,911292317763485697,http://twitter.com/JeffFlake/status/911292317763485697
911361809445089280,5.406909975695579,822,77,570,27,2018-05-06_01_29_55,2642,2017-09-22,911361809445089280,http://twitter.com/JeffFlake/status/911361809445089280
911397574782930945,5.351280077024035,1039,321,1.7K,128,2018-05-06_01_27_58,3447,2017-09-22,911397574782930945,http://twitter.com/JeffFlake/status/911397574782930945
