,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
890378188613922821,5.509956043969642,455,78,120,25,2018-05-03_16_16_46,1807,2017-07-26,890378188613922821,http://twitter.com/JerryMoran/status/890378188613922821
896780840616808448,5.321051454151585,447,324,109,100,2018-05-03_16_15_19,1865,2017-08-13,896780840616808448,http://twitter.com/JerryMoran/status/896780840616808448
897599177336786944,5.5114447592398825,706,6527,1.2K,2302,2018-05-03_16_13_35,2793,2017-08-15,897599177336786944,http://twitter.com/JerryMoran/status/897599177336786944
913103200118611979,5.476577669900287,412,68,96,27,2018-05-03_16_11_43,1255,2017-09-27,913103200118611979,http://twitter.com/JerryMoran/status/913103200118611979
914851941871702016,5.2954400978368135,818,93,268,17,2018-05-03_16_10_18,2567,2017-10-02,914851941871702016,http://twitter.com/JerryMoran/status/914851941871702016
921189844033966082,5.395701357471608,442,38,93,8,2018-05-03_16_08_50,1496,2017-10-19,921189844033966082,http://twitter.com/JerryMoran/status/921189844033966082
887107267824406528,5.868148148193848,810,9707,1.6K,2375,2018-05-03_16_25_06,2472,2017-07-17,887107267824406528,http://twitter.com/JerryMoran/status/887107267824406528
887107873909739524,5.913442623005308,915,4047,594,790,2018-05-03_16_23_30,2728,2017-07-17,887107873909739524,http://twitter.com/JerryMoran/status/887107873909739524
887108574140387328,5.945536062447946,1026,22221,3.4K,5455,2018-05-03_16_21_24,3176,2017-07-17,887108574140387328,http://twitter.com/JerryMoran/status/887108574140387328
889569195071033346,5.555942857139404,350,73,84,26,2018-05-03_16_19_58,1221,2017-07-24,889569195071033346,http://twitter.com/JerryMoran/status/889569195071033346
889924067662458880,5.549331896580229,928,157,472,58,2018-05-03_16_18_13,3064,2017-07-25,889924067662458880,http://twitter.com/JerryMoran/status/889924067662458880
878003814351208449,5.409759243366756,1163,163,274,61,2018-05-03_16_32_54,3559,2017-06-22,878003814351208449,http://twitter.com/JerryMoran/status/878003814351208449
879686966308200449,5.5185057471229335,348,72,69,11,2018-05-03_16_31_29,1045,2017-06-27,879686966308200449,http://twitter.com/JerryMoran/status/879686966308200449
879780429246738433,5.83643013104892,916,2891,510,674,2018-05-03_16_30_06,2986,2017-06-27,879780429246738433,http://twitter.com/JerryMoran/status/879780429246738433
879783921734561792,5.7395805142343175,739,183,159,55,2018-05-03_16_28_08,2553,2017-06-27,879783921734561792,http://twitter.com/JerryMoran/status/879783921734561792
884879205409882113,5.585394736836198,380,89,85,18,2018-05-03_16_26_38,1252,2017-07-11,884879205409882113,http://twitter.com/JerryMoran/status/884879205409882113
832714614467022849,5.687609756096051,205,21,70,4,2018-05-03_16_41_44,900,2017-02-17,832714614467022849,http://twitter.com/JerryMoran/status/832714614467022849
833791791769976833,6.541884984025038,313,17015,184,2095,2018-05-03_16_40_21,936,2017-02-20,833791791769976833,http://twitter.com/JerryMoran/status/833791791769976833
834922016830554112,5.334144927534739,345,66,77,27,2018-05-03_16_38_53,1258,2017-02-23,834922016830554112,http://twitter.com/JerryMoran/status/834922016830554112
845375965345857537,5.782869379021121,467,68,108,19,2018-05-03_16_37_25,1497,2017-03-24,845375965345857537,http://twitter.com/JerryMoran/status/845375965345857537
849258258175021056,6.4709324758773645,311,331593,1.3K,136117,2018-05-03_16_35_54,1130,2017-03-27,849258258175021056,http://twitter.com/JerryMoran/status/849258258175021056
875831071509794817,6.205515515528912,999,17003,938,7469,2018-05-03_16_34_22,2509,2017-06-16,875831071509794817,http://twitter.com/JerryMoran/status/875831071509794817
