,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
889947018369658880,5.608303715696397,619,31,135,15,2018-05-03_16_17_21,2070,2017-07-25,889947018369658880,http://twitter.com/JohnBoozman/status/889947018369658880
891013476105293824,5.671321839078817,348,33,77,9,2018-05-03_16_15_54,1174,2017-07-28,891013476105293824,http://twitter.com/JohnBoozman/status/891013476105293824
895663698714415104,6.1842203390106025,590,122,174,47,2018-05-03_16_14_23,1717,2017-08-10,895663698714415104,http://twitter.com/JohnBoozman/status/895663698714415104
896463875519819776,5.433247422679878,194,235,78,77,2018-05-03_16_12_56,843,2017-08-12,896463875519819776,http://twitter.com/JohnBoozman/status/896463875519819776
914831340125556736,5.522567287796671,483,75,471,19,2018-05-03_16_11_23,1677,2017-10-02,914831340125556736,http://twitter.com/JohnBoozman/status/914831340125556736
918554861830012928,5.668194726191101,493,76,108,24,2018-05-03_16_09_53,1685,2017-10-12,918554861830012928,http://twitter.com/JohnBoozman/status/918554861830012928
829492564189396992,5.7137299771280965,437,14352,671,3053,2018-05-03_16_24_44,1669,2017-02-08,829492564189396992,http://twitter.com/JohnBoozman/status/829492564189396992
862362821878849536,5.795600000005808,450,52,86,29,2018-05-03_16_23_19,1563,2017-05-10,862362821878849536,http://twitter.com/JohnBoozman/status/862362821878849536
862757477393289216,5.687990033247496,602,354,674,182,2018-05-03_16_21_51,2088,2017-05-11,862757477393289216,http://twitter.com/JohnBoozman/status/862757477393289216
870389496222814208,5.778340517249119,464,30,105,9,2018-05-03_16_20_20,1534,2017-06-01,870389496222814208,http://twitter.com/JohnBoozman/status/870389496222814208
879748302799024129,5.334845559855593,518,14,125,14,2018-05-03_16_18_49,1671,2017-06-27,879748302799024129,http://twitter.com/JohnBoozman/status/879748302799024129
159717549423067138,0,0,46,80,505,2018-05-03_16_31_58,0,2012-01-18,159717549423067138,http://twitter.com/JohnBoozman/status/159717549423067138
324642237373878273,5.4660000000528886,1050,9,213,12,2018-05-03_16_30_33,2969,2013-04-17,324642237373878273,http://twitter.com/JohnBoozman/status/324642237373878273
382895588619984896,5.811762114536464,227,29,71,59,2018-05-03_16_29_07,923,2013-09-25,382895588619984896,http://twitter.com/JohnBoozman/status/382895588619984896
742107613891022848,5.046872370286115,713,17,177,14,2018-05-03_16_27_38,2282,2016-06-12,742107613891022848,http://twitter.com/JohnBoozman/status/742107613891022848
819572857873321987,5.5561659192932344,446,148,120,43,2018-05-03_16_26_13,1620,2017-01-12,819572857873321987,http://twitter.com/JohnBoozman/status/819572857873321987
