,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
988557011137761280,5.814042553206887,423,1242,155,461,2018-04-30_14_06_25,1714,2018-04-23,988557011137761280,http://twitter.com/KellyannePolls/status/988557011137761280
988607860711010304,6.015199999997662,175,783,99,210,2018-04-30_14_05_05,795,2018-04-23,988607860711010304,http://twitter.com/KellyannePolls/status/988607860711010304
989321702093021184,5.808175487478086,718,17861,1.2K,2395,2018-04-30_14_03_35,2373,2018-04-25,989321702093021184,http://twitter.com/KellyannePolls/status/989321702093021184
990191251084529665,5.90621837549081,751,17966,564,8605,2018-04-30_14_02_05,2884,2018-04-27,990191251084529665,http://twitter.com/KellyannePolls/status/990191251084529665
990247013089468416,5.683643178433473,667,2047,354,983,2018-04-30_14_00_36,2380,2018-04-28,990247013089468416,http://twitter.com/KellyannePolls/status/990247013089468416
990705833901215745,5.691650602421304,830,1074,265,220,2018-04-30_13_59_14,2981,2018-04-29,990705833901215745,http://twitter.com/KellyannePolls/status/990705833901215745
990708139073863685,5.8461044176697685,249,662,79,130,2018-04-30_13_57_53,776,2018-04-29,990708139073863685,http://twitter.com/KellyannePolls/status/990708139073863685
990727423049248768,5.722266187072213,834,4754,426,845,2018-04-30_13_56_26,2987,2018-04-29,990727423049248768,http://twitter.com/KellyannePolls/status/990727423049248768
990795202058178560,6.050801886798023,424,2248,140,316,2018-04-30_13_54_59,1365,2018-04-29,990795202058178560,http://twitter.com/KellyannePolls/status/990795202058178560
986317014238187522,5.622705882350812,170,3307,364,707,2018-04-30_14_21_16,1260,2018-04-17,986317014238187522,http://twitter.com/KellyannePolls/status/986317014238187522
986396094971154433,5.93345385348274,1051,11518,569,1157,2018-04-30_14_19_51,3324,2018-04-17,986396094971154433,http://twitter.com/KellyannePolls/status/986396094971154433
986663667646287873,6.398650306749732,326,2026,80,412,2018-04-30_14_18_27,956,2018-04-18,986663667646287873,http://twitter.com/KellyannePolls/status/986663667646287873
986776518876631041,5.604938271614042,648,1662,302,619,2018-04-30_14_17_03,2537,2018-04-18,986776518876631041,http://twitter.com/KellyannePolls/status/986776518876631041
987168829905227777,5.5792475247773705,505,4249,199,1024,2018-04-30_14_15_33,1968,2018-04-19,987168829905227777,http://twitter.com/KellyannePolls/status/987168829905227777
987521547178045441,6.375127819534312,1330,12429,1.0K,943,2018-04-30_14_14_11,3461,2018-04-20,987521547178045441,http://twitter.com/KellyannePolls/status/987521547178045441
988046581722238977,5.954930555545584,1152,42230,2.2K,9624,2018-04-30_14_12_38,4171,2018-04-22,988046581722238977,http://twitter.com/KellyannePolls/status/988046581722238977
988113376986517505,5.746553191430817,1175,3182,1.7K,684,2018-04-30_14_11_13,4217,2018-04-22,988113376986517505,http://twitter.com/KellyannePolls/status/988113376986517505
988115064891887621,5.656972704613957,1209,2789,4.4K,603,2018-04-30_14_09_44,4544,2018-04-22,988115064891887621,http://twitter.com/KellyannePolls/status/988115064891887621
988428726047211520,5.939435483895696,620,3402,314,393,2018-04-30_14_08_21,2209,2018-04-23,988428726047211520,http://twitter.com/KellyannePolls/status/988428726047211520
984175011228463106,5.5322727272700165,308,805,120,158,2018-04-30_14_35_23,1178,2018-04-11,984175011228463106,http://twitter.com/KellyannePolls/status/984175011228463106
