,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
981698022269685760,6.144907975479881,489,33568,287,4622,2018-04-30_22_07_54,1937,2018-04-04,981698022269685760,http://twitter.com/KingJames/status/981698022269685760
981703138867662848,5.9631965442866335,463,4895,123,1485,2018-04-30_22_05_57,1640,2018-04-04,981703138867662848,http://twitter.com/KingJames/status/981703138867662848
982021236002820096,6.024755102059113,490,15862,262,1319,2018-04-30_22_04_31,1650,2018-04-05,982021236002820096,http://twitter.com/KingJames/status/982021236002820096
983341526930554880,6.112789915986202,595,8397,236,837,2018-04-30_22_02_37,1918,2018-04-09,983341526930554880,http://twitter.com/KingJames/status/983341526930554880
983544585086529537,6.2412500000032125,400,52249,312,5570,2018-04-30_22_01_10,1375,2018-04-09,983544585086529537,http://twitter.com/KingJames/status/983544585086529537
983573742189236224,6.071815384611607,325,30175,475,8737,2018-04-30_21_59_49,1332,2018-04-09,983573742189236224,http://twitter.com/KingJames/status/983573742189236224
983573999690158080,6.012149532728893,535,14659,387,4517,2018-04-30_21_58_21,2010,2018-04-09,983573999690158080,http://twitter.com/KingJames/status/983573999690158080
985157276750237697,6.045374800657452,627,21838,765,4023,2018-04-30_21_56_52,2074,2018-04-14,985157276750237697,http://twitter.com/KingJames/status/985157276750237697
980452922902351878,6.262950819670771,183,5935,71,543,2018-04-30_22_20_28,566,2018-04-01,980452922902351878,http://twitter.com/KingJames/status/980452922902351878
980550908030398469,6.390695652192156,575,26367,257,3373,2018-04-30_22_18_55,1797,2018-03-31,980550908030398469,http://twitter.com/KingJames/status/980550908030398469
980550972169695233,6.136740088103894,227,7860,122,1115,2018-04-30_22_17_26,802,2018-04-01,980550972169695233,http://twitter.com/KingJames/status/980550972169695233
980655393948028929,6.23927738928371,429,12782,172,1221,2018-04-30_22_15_57,1373,2018-04-01,980655393948028929,http://twitter.com/KingJames/status/980655393948028929
980943154441580545,6.577142857143023,112,1202,32,192,2018-04-30_22_14_05,283,2018-04-02,980943154441580545,http://twitter.com/KingJames/status/980943154441580545
981195273912422400,6.10847619049415,945,266220,2.1K,60667,2018-04-30_22_12_36,3029,2018-04-03,981195273912422400,http://twitter.com/KingJames/status/981195273912422400
981555294449913856,6.235282051281053,195,629,53,98,2018-04-30_22_11_15,534,2018-04-04,981555294449913856,http://twitter.com/KingJames/status/981555294449913856
981676221057634306,6.154870967740156,310,6104,126,904,2018-04-30_22_09_24,996,2018-04-04,981676221057634306,http://twitter.com/KingJames/status/981676221057634306
977916524597075969,6.721960784313755,51,2523,27,442,2018-04-30_22_35_04,162,2018-03-24,977916524597075969,http://twitter.com/KingJames/status/977916524597075969
978073540552527872,6.301473684210088,285,11885,105,1294,2018-04-30_22_33_41,835,2018-03-25,978073540552527872,http://twitter.com/KingJames/status/978073540552527872
978288314590617600,6.254520547955496,438,21898,459,2833,2018-04-30_22_32_11,1555,2018-03-26,978288314590617600,http://twitter.com/KingJames/status/978288314590617600
978774220955160576,6.103073593088295,462,29792,255,3457,2018-04-30_22_30_42,1583,2018-03-27,978774220955160576,http://twitter.com/KingJames/status/978774220955160576
979112458299297799,6.544499999999974,60,1140,28,233,2018-04-30_22_29_22,193,2018-03-28,979112458299297799,http://twitter.com/KingJames/status/979112458299297799
979360659061211136,6.011117424261315,1056,16868,225,4530,2018-04-30_22_27_55,3784,2018-03-29,979360659061211136,http://twitter.com/KingJames/status/979360659061211136
979360778263375875,5.9189330305595815,1762,101375,1.6K,27775,2018-04-30_22_26_13,5959,2018-03-29,979360778263375875,http://twitter.com/KingJames/status/979360778263375875
980097491734597632,6.420481012664946,790,72419,322,9034,2018-04-30_22_24_46,2304,2018-03-31,980097491734597632,http://twitter.com/KingJames/status/980097491734597632
980213520406106124,6.2873193473228275,429,5070,140,944,2018-04-30_22_23_24,1340,2018-03-31,980213520406106124,http://twitter.com/KingJames/status/980213520406106124
980452237028806656,6.049022556398324,399,32904,256,5665,2018-04-30_22_21_56,1623,2018-04-01,980452237028806656,http://twitter.com/KingJames/status/980452237028806656
975858853358325761,6.257793594319713,562,37179,302,7772,2018-04-30_22_46_51,2095,2018-03-19,975858853358325761,http://twitter.com/KingJames/status/975858853358325761
976532546551992320,6.308731117841947,662,14014,192,2088,2018-04-30_22_45_27,1970,2018-03-21,976532546551992320,http://twitter.com/KingJames/status/976532546551992320
976569103589740545,6.034359756092376,328,18465,294,3658,2018-04-30_22_44_07,1247,2018-03-21,976569103589740545,http://twitter.com/KingJames/status/976569103589740545
977243247226572801,6.211838565020562,223,5611,89,577,2018-04-30_22_42_33,816,2018-03-23,977243247226572801,http://twitter.com/KingJames/status/977243247226572801
977633850384900097,5.640286944057294,697,55418,531,8929,2018-04-30_22_41_04,2246,2018-03-24,977633850384900097,http://twitter.com/KingJames/status/977633850384900097
977692658322821122,6.2542446043161615,139,6924,49,725,2018-04-30_22_39_38,565,2018-03-24,977692658322821122,http://twitter.com/KingJames/status/977692658322821122
977694685237039104,6.346853448275503,232,7939,126,1154,2018-04-30_22_38_17,853,2018-03-24,977694685237039104,http://twitter.com/KingJames/status/977694685237039104
977916039555149824,5.688672985806618,844,13538,167,1430,2018-04-30_22_36_54,2749,2018-03-25,977916039555149824,http://twitter.com/KingJames/status/977916039555149824
973988723552501760,6.2247044917409635,423,32191,158,4170,2018-04-30_22_59_08,1609,2018-03-14,973988723552501760,http://twitter.com/KingJames/status/973988723552501760
974710698839130118,5.836443965532927,464,77194,1.1K,19220,2018-04-30_22_57_49,1685,2018-03-16,974710698839130118,http://twitter.com/KingJames/status/974710698839130118
974711051005476864,5.9565295170142125,559,41303,508,7367,2018-04-30_22_56_23,1814,2018-03-16,974711051005476864,http://twitter.com/KingJames/status/974711051005476864
974778125472206850,6.306318407978562,804,23247,983,1757,2018-04-30_22_54_56,2559,2018-03-16,974778125472206850,http://twitter.com/KingJames/status/974778125472206850
975076427715563520,6.034331797233411,217,4854,112,464,2018-04-30_22_53_02,807,2018-03-17,975076427715563520,http://twitter.com/KingJames/status/975076427715563520
975714511377305600,6.1527822580608245,744,16138,229,2908,2018-04-30_22_51_34,2337,2018-03-19,975714511377305600,http://twitter.com/KingJames/status/975714511377305600
975756668414889985,6.407428571429023,140,3512,62,315,2018-04-30_22_50_06,460,2018-03-19,975756668414889985,http://twitter.com/KingJames/status/975756668414889985
975767291844550661,6.140493421051389,304,10755,118,3270,2018-04-30_22_48_43,1089,2018-03-19,975767291844550661,http://twitter.com/KingJames/status/975767291844550661
971053228950544384,6.1720257611470535,854,89567,395,12830,2018-04-30_23_13_47,2624,2018-03-06,971053228950544384,http://twitter.com/KingJames/status/971053228950544384
971157980531056640,6.49549019607837,51,736,21,128,2018-04-30_23_12_26,184,2018-03-06,971157980531056640,http://twitter.com/KingJames/status/971157980531056640
