,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
984107824971223041,6.196216216215773,148,3193,76,848,2018-04-30_22_09_53,481,2018-04-11,984107824971223041,http://twitter.com/LilTunechi/status/984107824971223041
984127195894476803,6.266269592474657,319,1856,197,293,2018-04-30_22_08_27,1039,2018-04-11,984127195894476803,http://twitter.com/LilTunechi/status/984127195894476803
985602663705399299,6.015105105099611,333,3725,191,528,2018-04-30_22_07_03,1093,2018-04-15,985602663705399299,http://twitter.com/LilTunechi/status/985602663705399299
985998123402178563,6.255579399141435,233,3346,151,563,2018-04-30_22_05_40,755,2018-04-16,985998123402178563,http://twitter.com/LilTunechi/status/985998123402178563
986365658161180672,6.1196571428539785,350,11635,217,3034,2018-04-30_22_04_15,1238,2018-04-17,986365658161180672,http://twitter.com/LilTunechi/status/986365658161180672
986801661380321280,6.247634961435642,389,30264,218,6417,2018-04-30_22_02_51,1222,2018-04-18,986801661380321280,http://twitter.com/LilTunechi/status/986801661380321280
987242330695483392,6.16747663551061,321,2491,145,536,2018-04-30_22_01_27,1098,2018-04-20,987242330695483392,http://twitter.com/LilTunechi/status/987242330695483392
989953334978097154,6.041935483871463,93,1118,48,188,2018-04-30_22_00_03,328,2018-04-27,989953334978097154,http://twitter.com/LilTunechi/status/989953334978097154
990018579910352898,6.271111111111632,90,2487,67,670,2018-04-30_21_58_41,394,2018-04-27,990018579910352898,http://twitter.com/LilTunechi/status/990018579910352898
990410347063463942,6.350580912861395,241,2382,116,361,2018-04-30_21_57_20,785,2018-04-28,990410347063463942,http://twitter.com/LilTunechi/status/990410347063463942
982020977054896130,6.233239875386555,321,12854,196,2802,2018-04-30_22_22_48,982,2018-04-05,982020977054896130,http://twitter.com/LilTunechi/status/982020977054896130
982415551111802881,6.084873096444937,197,2938,84,535,2018-04-30_22_21_22,590,2018-04-06,982415551111802881,http://twitter.com/LilTunechi/status/982415551111802881
982845209351540736,6.1169014084517,142,2037,68,374,2018-04-30_22_19_58,430,2018-04-07,982845209351540736,http://twitter.com/LilTunechi/status/982845209351540736
983138644738428928,6.147559055123912,381,20593,234,4354,2018-04-30_22_18_27,1392,2018-04-08,983138644738428928,http://twitter.com/LilTunechi/status/983138644738428928
983140767534379008,6.073087719294176,285,6957,127,1293,2018-04-30_22_16_55,1000,2018-04-08,983140767534379008,http://twitter.com/LilTunechi/status/983140767534379008
983144628043112449,6.391266375545932,229,5098,140,797,2018-04-30_22_15_30,788,2018-04-08,983144628043112449,http://twitter.com/LilTunechi/status/983144628043112449
983808430006833152,6.435283018868432,106,3623,69,1272,2018-04-30_22_14_07,367,2018-04-10,983808430006833152,http://twitter.com/LilTunechi/status/983808430006833152
983844871269208064,6.105972222219084,288,13431,223,4032,2018-04-30_22_12_40,1072,2018-04-10,983844871269208064,http://twitter.com/LilTunechi/status/983844871269208064
983853532884463616,6.114661921707177,281,1330,95,332,2018-04-30_22_11_14,947,2018-04-10,983853532884463616,http://twitter.com/LilTunechi/status/983853532884463616
