,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
954801196656742400,6.3900968188199245,723,204455,34K,48490,2018-05-05_12_52_45,1982,2017-12-25,954801196656742400,http://twitter.com/MELANIATRUMP/status/954801196656742400
954801209965203457,6.269236430583953,1087,84307,6.0K,11330,2018-05-05_12_51_17,2912,2018-01-01,954801209965203457,http://twitter.com/MELANIATRUMP/status/954801209965203457
954801230169169920,6.119441260773756,698,46250,5.8K,6806,2018-05-05_12_49_56,2256,2018-01-12,954801230169169920,http://twitter.com/MELANIATRUMP/status/954801230169169920
954801245994307584,5.905308151109357,1006,83033,13K,14729,2018-05-05_12_48_35,3267,2018-01-15,954801245994307584,http://twitter.com/MELANIATRUMP/status/954801245994307584
954801265732661248,6.370821018086324,1218,78018,11K,12231,2018-05-05_12_47_12,3311,2018-01-20,954801265732661248,http://twitter.com/MELANIATRUMP/status/954801265732661248
954801116499374080,6.061104060926327,788,15566,809,2976,2018-05-05_12_59_40,2516,2017-12-13,954801116499374080,http://twitter.com/MELANIATRUMP/status/954801116499374080
954801132827742208,6.635306828072403,1157,78298,7.7K,15560,2018-05-05_12_58_12,2990,2017-12-14,954801132827742208,http://twitter.com/MELANIATRUMP/status/954801132827742208
954801151874142208,5.800441919220782,792,83103,8.5K,14902,2018-05-05_12_56_45,2737,2017-12-18,954801151874142208,http://twitter.com/MELANIATRUMP/status/954801151874142208
954801163626573826,6.365611888124918,572,52495,4.1K,7364,2018-05-05_12_55_30,1623,2017-12-24,954801163626573826,http://twitter.com/MELANIATRUMP/status/954801163626573826
954801178897993728,6.35854014600516,959,131970,15K,20595,2018-05-05_12_54_12,2510,2017-12-25,954801178897993728,http://twitter.com/MELANIATRUMP/status/954801178897993728
954801030524530688,6.404961734703883,784,35497,2.4K,6238,2018-05-05_13_05_48,2250,2017-12-10,954801030524530688,http://twitter.com/MELANIATRUMP/status/954801030524530688
954801048882950144,6.206952380963847,840,27386,1.5K,4569,2018-05-05_13_04_24,2386,2017-12-12,954801048882950144,http://twitter.com/MELANIATRUMP/status/954801048882950144
954801088976343042,6.470454545484595,902,20871,940,3030,2018-05-05_13_02_31,2345,2017-12-13,954801088976343042,http://twitter.com/MELANIATRUMP/status/954801088976343042
954801101609619457,6.405181058508955,718,23515,934,4475,2018-05-05_13_01_07,1909,2017-12-13,954801101609619457,http://twitter.com/MELANIATRUMP/status/954801101609619457
954800932734357504,6.127421383675793,1113,38031,1.9K,5933,2018-05-05_13_13_01,3330,2017-12-07,954800932734357504,http://twitter.com/MELANIATRUMP/status/954800932734357504
954800947477303296,6.4192877095128775,716,17368,973,2995,2018-05-05_13_11_35,2130,2017-12-07,954800947477303296,http://twitter.com/MELANIATRUMP/status/954800947477303296
954800965487595520,6.3711594203199375,966,38982,2.1K,6693,2018-05-05_13_10_11,2732,2017-12-08,954800965487595520,http://twitter.com/MELANIATRUMP/status/954800965487595520
954800984508846082,6.453543046364534,604,49203,2.6K,6562,2018-05-05_13_08_43,1582,2017-12-09,954800984508846082,http://twitter.com/MELANIATRUMP/status/954800984508846082
954801011117494273,6.080112888068861,1063,41818,3.4K,8656,2018-05-05_13_07_20,3483,2017-12-10,954801011117494273,http://twitter.com/MELANIATRUMP/status/954801011117494273
954800797644140544,6.05905583758489,985,41064,2.7K,6460,2018-05-05_13_20_13,3277,2017-12-05,954800797644140544,http://twitter.com/MELANIATRUMP/status/954800797644140544
954800809077821445,6.058541033462398,987,44125,1.4K,7028,2018-05-05_13_18_47,2936,2017-12-06,954800809077821445,http://twitter.com/MELANIATRUMP/status/954800809077821445
954800824852631557,6.1883723296278434,983,34814,1.6K,6128,2018-05-05_13_17_16,2811,2017-12-06,954800824852631557,http://twitter.com/MELANIATRUMP/status/954800824852631557
