,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
992811683369365505,5.4058387799743866,918,612,245,308,2018-05-06_01_15_08,3741,2018-05-05,992811683369365505,http://twitter.com/MSNBC/status/992811683369365505
992818913523240960,5.443476070559885,794,83,194,52,2018-05-06_01_13_33,2630,2018-05-05,992818913523240960,http://twitter.com/MSNBC/status/992818913523240960
992826776144547840,5.5962626262627015,99,109,25,59,2018-05-06_01_11_55,399,2018-05-05,992826776144547840,http://twitter.com/MSNBC/status/992826776144547840
992833315701952512,5.3536178861795145,246,239,57,104,2018-05-06_01_10_17,992,2018-05-05,992833315701952512,http://twitter.com/MSNBC/status/992833315701952512
992842391714435072,5.3290987124577205,466,1195,130,444,2018-05-06_01_08_36,2148,2018-05-05,992842391714435072,http://twitter.com/MSNBC/status/992842391714435072
992781606283857920,5.627142857156054,672,604,170,571,2018-05-06_01_22_37,2948,2018-05-05,992781606283857920,http://twitter.com/MSNBC/status/992781606283857920
992785474296139776,5.931454183281517,502,1042,92,351,2018-05-06_01_21_09,2000,2018-05-05,992785474296139776,http://twitter.com/MSNBC/status/992785474296139776
992792378636472321,5.889014925373293,335,407,64,92,2018-05-06_01_19_45,1154,2018-05-05,992792378636472321,http://twitter.com/MSNBC/status/992792378636472321
992795571894267904,5.6190414507814666,772,888,248,305,2018-05-06_01_18_06,3317,2018-05-05,992795571894267904,http://twitter.com/MSNBC/status/992795571894267904
992796069011468289,5.799247648902383,319,109,66,34,2018-05-06_01_16_38,999,2018-05-05,992796069011468289,http://twitter.com/MSNBC/status/992796069011468289
992721583168016384,5.475940959423081,542,704,75,232,2018-05-06_01_30_36,2067,2018-05-05,992721583168016384,http://twitter.com/MSNBC/status/992721583168016384
992735685806354432,5.6055831740036615,523,886,181,559,2018-05-06_01_29_01,2398,2018-05-05,992735685806354432,http://twitter.com/MSNBC/status/992735685806354432
992750816103682049,5.881212121212058,33,28,19,16,2018-05-06_01_27_35,130,2018-05-05,992750816103682049,http://twitter.com/MSNBC/status/992750816103682049
992766384210890758,5.544615384621098,390,65,103,38,2018-05-06_01_25_56,1665,2018-05-05,992766384210890758,http://twitter.com/MSNBC/status/992766384210890758
992781581508104194,5.720220820185827,317,543,58,244,2018-05-06_01_24_25,1056,2018-05-05,992781581508104194,http://twitter.com/MSNBC/status/992781581508104194
992652366443941890,4.856249999999868,56,257,19,90,2018-05-06_01_38_20,309,2018-05-04,992652366443941890,http://twitter.com/MSNBC/status/992652366443941890
992660199654809600,5.521794871794539,117,130,41,44,2018-05-06_01_36_42,467,2018-05-05,992660199654809600,http://twitter.com/MSNBC/status/992660199654809600
992675526568562688,5.4061386138608265,101,147,35,84,2018-05-06_01_35_15,465,2018-05-05,992675526568562688,http://twitter.com/MSNBC/status/992675526568562688
992690394977710080,5.3258536585346015,164,154,50,65,2018-05-06_01_33_45,699,2018-05-05,992690394977710080,http://twitter.com/MSNBC/status/992690394977710080
992707480739373057,5.4090559440610715,286,221,97,89,2018-05-06_01_32_10,1140,2018-05-05,992707480739373057,http://twitter.com/MSNBC/status/992707480739373057
992614908834516993,5.641405405402303,370,601,129,455,2018-05-06_01_46_24,1423,2018-05-04,992614908834516993,http://twitter.com/MSNBC/status/992614908834516993
