,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
918537336740368386,5.5372881355891534,354,1206,77,683,2018-05-06_01_17_12,1357,2017-10-12,918537336740368386,http://twitter.com/MarkWarner/status/918537336740368386
918572695427698689,5.515965417864754,347,1333,72,1097,2018-05-06_01_15_46,1429,2017-10-12,918572695427698689,http://twitter.com/MarkWarner/status/918572695427698689
918867690495922178,5.448120300756951,399,587,113,240,2018-05-06_01_14_17,1583,2017-10-13,918867690495922178,http://twitter.com/MarkWarner/status/918867690495922178
920054453809664000,5.673655589118446,331,899,79,334,2018-05-06_01_12_45,1241,2017-10-16,920054453809664000,http://twitter.com/MarkWarner/status/920054453809664000
920677893990174721,5.80233532933988,334,1344,83,506,2018-05-06_01_11_07,1407,2017-10-18,920677893990174721,http://twitter.com/MarkWarner/status/920677893990174721
921036747596804096,6.007598253273858,229,3895,71,852,2018-05-06_01_09_43,807,2017-10-18,921036747596804096,http://twitter.com/MarkWarner/status/921036747596804096
915666850910007296,5.721917040385708,892,45525,998,50207,2018-05-06_01_23_36,3566,2017-10-04,915666850910007296,http://twitter.com/MarkWarner/status/915666850910007296
915706976948162560,5.585251716288406,874,4623,367,2399,2018-05-06_01_21_51,3427,2017-10-04,915706976948162560,http://twitter.com/MarkWarner/status/915706976948162560
916370180585984001,5.805734824309425,626,2253,145,709,2018-05-06_01_20_15,2474,2017-10-06,916370180585984001,http://twitter.com/MarkWarner/status/916370180585984001
918526914704367616,5.450710479589462,563,1333,165,836,2018-05-06_01_18_40,2222,2017-10-12,918526914704367616,http://twitter.com/MarkWarner/status/918526914704367616
913525578975862784,5.681289237692847,892,3866,288,1635,2018-05-06_01_32_30,3687,2017-09-28,913525578975862784,http://twitter.com/MarkWarner/status/913525578975862784
914169402165284865,5.514258970387472,641,4126,321,1543,2018-05-06_01_30_54,2807,2017-09-30,914169402165284865,http://twitter.com/MarkWarner/status/914169402165284865
915303221383647237,5.825175718848497,313,605,79,206,2018-05-06_01_29_26,1110,2017-10-03,915303221383647237,http://twitter.com/MarkWarner/status/915303221383647237
915331588455616518,5.609270315096508,603,1811,228,1116,2018-05-06_01_27_43,2870,2017-10-03,915331588455616518,http://twitter.com/MarkWarner/status/915331588455616518
915603372841078784,5.517585551345234,526,459,122,186,2018-05-06_01_25_55,2082,2017-10-04,915603372841078784,http://twitter.com/MarkWarner/status/915603372841078784
912321484693090304,5.8244736842041736,380,2660,97,1372,2018-05-06_01_40_36,1332,2017-09-25,912321484693090304,http://twitter.com/MarkWarner/status/912321484693090304
912380461690818565,5.395090634454192,662,2694,209,2409,2018-05-06_01_39_08,2434,2017-09-25,912380461690818565,http://twitter.com/MarkWarner/status/912380461690818565
912687600900739072,5.469488721835454,665,1445,154,500,2018-05-06_01_37_32,2360,2017-09-26,912687600900739072,http://twitter.com/MarkWarner/status/912687600900739072
912742715296813056,5.525342465750714,292,1298,83,387,2018-05-06_01_35_48,1171,2017-09-26,912742715296813056,http://twitter.com/MarkWarner/status/912742715296813056
912781662227980288,6.049041394387637,918,41048,3.0K,9702,2018-05-06_01_34_14,2840,2017-09-26,912781662227980288,http://twitter.com/MarkWarner/status/912781662227980288
910921722437754882,5.437748815175376,422,1572,99,1312,2018-05-06_01_48_50,1635,2017-09-21,910921722437754882,http://twitter.com/MarkWarner/status/910921722437754882
910948367131402240,5.6667222222243465,360,938,83,322,2018-05-06_01_47_15,1544,2017-09-21,910948367131402240,http://twitter.com/MarkWarner/status/910948367131402240
911352993181847558,5.731275440990268,737,2858,196,1312,2018-05-06_01_45_32,3177,2017-09-22,911352993181847558,http://twitter.com/MarkWarner/status/911352993181847558
911581291375677441,5.441524390240875,328,1132,73,1407,2018-05-06_01_43_57,1151,2017-09-23,911581291375677441,http://twitter.com/MarkWarner/status/911581291375677441
911615667614486528,5.822510760422338,697,2905,241,4477,2018-05-06_01_42_16,2413,2017-09-21,911615667614486528,http://twitter.com/MarkWarner/status/911615667614486528
910174711648342016,5.545650684952488,584,1119,161,702,2018-05-06_01_56_57,2484,2017-09-19,910174711648342016,http://twitter.com/MarkWarner/status/910174711648342016
910247608081317889,5.661106870227325,262,1105,82,270,2018-05-06_01_55_29,955,2017-09-19,910247608081317889,http://twitter.com/MarkWarner/status/910247608081317889
910514039909965830,5.40051282052741,741,5412,193,3290,2018-05-06_01_53_51,2667,2017-09-20,910514039909965830,http://twitter.com/MarkWarner/status/910514039909965830
910575394058899456,5.31700534759436,374,2631,84,2081,2018-05-06_01_52_13,1491,2017-09-19,910575394058899456,http://twitter.com/MarkWarner/status/910575394058899456
910876816935735296,5.388319559234977,726,14594,506,27426,2018-05-06_01_50_36,2604,2017-09-20,910876816935735296,http://twitter.com/MarkWarner/status/910876816935735296
909800594948452353,5.370219478735516,729,29341,1.8K,53645,2018-05-06_02_05_30,2758,2017-09-13,909800594948452353,http://twitter.com/MarkWarner/status/909800594948452353
909865014185676802,5.59059523811314,840,4798,404,7372,2018-05-06_02_03_52,2982,2017-09-15,909865014185676802,http://twitter.com/MarkWarner/status/909865014185676802
909877685156847616,5.5086442642021165,863,6479,365,3919,2018-05-06_02_01_53,3072,2017-09-18,909877685156847616,http://twitter.com/MarkWarner/status/909877685156847616
909902743799844865,5.908536585365896,41,466,128,213,2018-05-06_02_00_21,221,2017-09-18,909902743799844865,http://twitter.com/MarkWarner/status/909902743799844865
910134465216876544,6.0729710144923175,276,1535,79,264,2018-05-06_01_58_50,833,2017-09-19,910134465216876544,http://twitter.com/MarkWarner/status/910134465216876544
908062425903230976,5.242471544736512,615,2669,148,516,2018-05-06_02_13_44,2171,2017-09-13,908062425903230976,http://twitter.com/MarkWarner/status/908062425903230976
908431496737935361,5.718262599488164,754,15610,611,9712,2018-05-06_02_11_57,3265,2017-09-14,908431496737935361,http://twitter.com/MarkWarner/status/908431496737935361
908691769898012672,5.231254180622751,598,1006,141,398,2018-05-06_02_10_17,2225,2017-09-15,908691769898012672,http://twitter.com/MarkWarner/status/908691769898012672
908757171915120640,5.765216284989086,393,1702,97,688,2018-05-06_02_08_40,1510,2017-09-15,908757171915120640,http://twitter.com/MarkWarner/status/908757171915120640
909794624360853504,5.491135265702421,414,689,90,515,2018-05-06_02_07_14,1432,2017-09-18,909794624360853504,http://twitter.com/MarkWarner/status/909794624360853504
905887396910247936,5.678006814325965,587,1353,154,360,2018-05-06_02_21_36,1989,2017-09-07,905887396910247936,http://twitter.com/MarkWarner/status/905887396910247936
906191179166994433,5.761513859289777,469,957,113,694,2018-05-06_02_20_11,1970,2017-09-08,906191179166994433,http://twitter.com/MarkWarner/status/906191179166994433
907409638685134849,5.6496031746233255,756,9344,368,2445,2018-05-06_02_18_25,2923,2017-09-11,907409638685134849,http://twitter.com/MarkWarner/status/907409638685134849
907699088006811648,5.34840455840206,351,722,90,478,2018-05-06_02_16_57,1474,2017-09-12,907699088006811648,http://twitter.com/MarkWarner/status/907699088006811648
907739671593193473,5.510177935948083,843,5980,344,2318,2018-05-06_02_15_23,3165,2017-09-12,907739671593193473,http://twitter.com/MarkWarner/status/907739671593193473
901153498930311168,6.648569767446401,860,261737,2.6K,107640,2018-05-06_02_29_45,2638,2017-08-24,901153498930311168,http://twitter.com/MarkWarner/status/901153498930311168
905120700490551299,5.448179347856337,736,1545,212,621,2018-05-06_02_28_02,2918,2017-09-05,905120700490551299,http://twitter.com/MarkWarner/status/905120700490551299
905438129364008960,5.668487804886018,410,2110,126,2450,2018-05-06_02_26_23,1584,2017-09-06,905438129364008960,http://twitter.com/MarkWarner/status/905438129364008960
905545229733953536,5.27086153845947,325,774,85,176,2018-05-06_02_24_59,1318,2017-09-06,905545229733953536,http://twitter.com/MarkWarner/status/905545229733953536
905876201939591169,5.500130890062791,764,2037,206,1059,2018-05-06_02_23_22,2787,2017-09-07,905876201939591169,http://twitter.com/MarkWarner/status/905876201939591169
897530973881028608,5.3729610829219485,591,1844,140,1292,2018-05-06_02_36_19,2298,2017-08-15,897530973881028608,http://twitter.com/MarkWarner/status/897530973881028608
897557948674789377,5.469565217426528,713,2305,625,951,2018-05-06_02_34_19,2755,2017-08-15,897557948674789377,http://twitter.com/MarkWarner/status/897557948674789377
897616604804124673,5.430329670329728,91,1502,79,457,2018-05-06_02_32_54,367,2017-08-15,897616604804124673,http://twitter.com/MarkWarner/status/897616604804124673
897826137312813062,5.550240963865316,415,3226,131,1076,2018-05-06_02_31_26,1728,2017-08-16,897826137312813062,http://twitter.com/MarkWarner/status/897826137312813062
895746057048477696,5.389378698221386,338,1392,99,612,2018-05-06_02_44_44,1313,2017-08-10,895746057048477696,http://twitter.com/MarkWarner/status/895746057048477696
896119355183841280,5.361658415844716,404,490,100,294,2018-05-06_02_43_13,1554,2017-08-11,896119355183841280,http://twitter.com/MarkWarner/status/896119355183841280
896127580369108992,5.5003477218432995,834,21684,1.2K,8354,2018-05-06_02_41_34,3178,2017-08-11,896127580369108992,http://twitter.com/MarkWarner/status/896127580369108992
896483109687963649,5.344986666667841,375,1034,84,430,2018-05-06_02_39_54,1446,2017-08-12,896483109687963649,http://twitter.com/MarkWarner/status/896483109687963649
897119740958789633,5.411276595745214,235,867,72,193,2018-05-06_02_38_25,787,2017-08-14,897119740958789633,http://twitter.com/MarkWarner/status/897119740958789633
892515379477708804,5.488358531335055,463,1735,150,941,2018-05-06_02_51_04,1905,2017-08-01,892515379477708804,http://twitter.com/MarkWarner/status/892515379477708804
893104775876751364,5.497036474182424,658,3251,243,1178,2018-05-06_02_48_37,2739,2017-08-03,893104775876751364,http://twitter.com/MarkWarner/status/893104775876751364
895377970185084929,5.455125786160608,318,732,91,179,2018-05-06_02_46_26,1291,2017-08-09,895377970185084929,http://twitter.com/MarkWarner/status/895377970185084929
890319632623710209,5.544746268653474,335,1373,70,315,2018-05-06_02_59_10,1068,2017-07-26,890319632623710209,http://twitter.com/MarkWarner/status/890319632623710209
890545769597546496,5.602765273324045,622,6614,159,4082,2018-05-06_02_57_30,2400,2017-07-27,890545769597546496,http://twitter.com/MarkWarner/status/890545769597546496
890702337853018112,5.631666666674348,384,1311,107,478,2018-05-06_02_55_53,1607,2017-07-27,890702337853018112,http://twitter.com/MarkWarner/status/890702337853018112
890762533442912256,5.467629032268153,620,4229,170,2054,2018-05-06_02_54_04,2207,2017-07-27,890762533442912256,http://twitter.com/MarkWarner/status/890762533442912256
890821466714849280,6.145468749998256,448,1322,96,236,2018-05-06_02_52_35,1332,2017-07-27,890821466714849280,http://twitter.com/MarkWarner/status/890821466714849280
888226768808751105,5.564642451772057,881,2985,261,2298,2018-05-06_03_06_54,3804,2017-07-20,888226768808751105,http://twitter.com/MarkWarner/status/888226768808751105
889863192150765572,6.066136363631856,352,851,83,161,2018-05-06_03_05_22,1016,2017-07-25,889863192150765572,http://twitter.com/MarkWarner/status/889863192150765572
889958146265022464,5.9375477706990525,314,1401,96,377,2018-05-06_03_03_53,957,2017-07-25,889958146265022464,http://twitter.com/MarkWarner/status/889958146265022464
890216069104889857,5.7518117229408166,563,2139,151,533,2018-05-06_03_02_12,1942,2017-07-26,890216069104889857,http://twitter.com/MarkWarner/status/890216069104889857
890284498935582720,5.952974910419552,558,1460,115,556,2018-05-06_03_00_36,1768,2017-07-26,890284498935582720,http://twitter.com/MarkWarner/status/890284498935582720
886654847482769408,5.480190677984117,472,2081,128,690,2018-05-06_03_15_27,2120,2017-07-16,886654847482769408,http://twitter.com/MarkWarner/status/886654847482769408
886711385597640704,5.375418060197947,299,1084,91,705,2018-05-06_03_13_52,1295,2017-07-16,886711385597640704,http://twitter.com/MarkWarner/status/886711385597640704
886723252349014016,5.623677991151382,677,1055,172,364,2018-05-06_03_12_19,2718,2017-07-16,886723252349014016,http://twitter.com/MarkWarner/status/886723252349014016
887422336600879104,5.730276338538547,579,1595,127,563,2018-05-06_03_10_30,2092,2017-07-18,887422336600879104,http://twitter.com/MarkWarner/status/887422336600879104
888065415955480576,6.025167512720578,985,183804,9.4K,28235,2018-05-06_03_08_53,2751,2017-07-20,888065415955480576,http://twitter.com/MarkWarner/status/888065415955480576
884890248014114817,5.425016286645326,307,658,82,432,2018-05-06_03_22_19,1284,2017-07-11,884890248014114817,http://twitter.com/MarkWarner/status/884890248014114817
884947680019058688,5.424268585136857,417,463,124,208,2018-05-06_03_20_48,1654,2017-07-11,884947680019058688,http://twitter.com/MarkWarner/status/884947680019058688
885625615482748928,5.580355555585606,675,391,167,73,2018-05-06_03_18_48,2759,2017-07-13,885625615482748928,http://twitter.com/MarkWarner/status/885625615482748928
886646329522487296,5.531544715455337,615,1489,401,520,2018-05-06_03_17_08,2434,2017-07-16,886646329522487296,http://twitter.com/MarkWarner/status/886646329522487296
884839039186214919,5.5976849315230535,730,30534,1.3K,14574,2018-05-06_03_26_12,3204,2017-07-11,884839039186214919,http://twitter.com/MarkWarner/status/884839039186214919
880745556745883649,5.532464183414483,1047,71364,6.6K,29898,2018-05-06_03_32_51,3812,2017-06-30,880745556745883649,http://twitter.com/MarkWarner/status/880745556745883649
883420618758254592,5.761291079818883,426,950,123,480,2018-05-06_03_30_44,1772,2017-07-07,883420618758254592,http://twitter.com/MarkWarner/status/883420618758254592
884531458102185985,5.6755389221890775,668,4986,334,2090,2018-05-06_03_29_11,2725,2017-07-10,884531458102185985,http://twitter.com/MarkWarner/status/884531458102185985
879429431294668800,5.536930983867554,681,1912,153,876,2018-05-06_03_41_12,2464,2017-06-26,879429431294668800,http://twitter.com/MarkWarner/status/879429431294668800
879761690451218432,5.779745762726152,590,1268,113,535,2018-05-06_03_39_41,2277,2017-06-27,879761690451218432,http://twitter.com/MarkWarner/status/879761690451218432
879802599381377024,5.881573604054291,394,1006,91,181,2018-05-06_03_38_08,1205,2017-06-27,879802599381377024,http://twitter.com/MarkWarner/status/879802599381377024
880196679437131776,5.560141242941041,354,679,137,331,2018-05-06_03_36_30,1584,2017-06-28,880196679437131776,http://twitter.com/MarkWarner/status/880196679437131776
880435407472734208,5.669972299187586,722,5007,251,1379,2018-05-06_03_34_51,2910,2017-06-29,880435407472734208,http://twitter.com/MarkWarner/status/880435407472734208
877174515440246784,5.940372549034874,510,2331,128,1381,2018-05-06_03_49_06,1941,2017-06-20,877174515440246784,http://twitter.com/MarkWarner/status/877174515440246784
877257799247556610,5.452557077633434,438,1243,115,513,2018-05-06_03_47_31,1541,2017-06-20,877257799247556610,http://twitter.com/MarkWarner/status/877257799247556610
877655032493088768,5.678510638316972,470,1012,129,588,2018-05-06_03_45_58,1936,2017-06-21,877655032493088768,http://twitter.com/MarkWarner/status/877655032493088768
877924281635700736,5.465135135155653,851,2535,398,1248,2018-05-06_03_44_15,2862,2017-06-22,877924281635700736,http://twitter.com/MarkWarner/status/877924281635700736
878018478971658240,5.437740384623422,832,25480,2.3K,17025,2018-05-06_03_42_43,3016,2017-06-22,878018478971658240,http://twitter.com/MarkWarner/status/878018478971658240
875703467653955584,5.563294117645677,255,618,72,328,2018-05-06_03_56_41,1033,2017-06-16,875703467653955584,http://twitter.com/MarkWarner/status/875703467653955584
875773752071647232,5.695570776260022,438,557,97,238,2018-05-06_03_55_11,1606,2017-06-16,875773752071647232,http://twitter.com/MarkWarner/status/875773752071647232
876142886617796608,5.55699453551298,366,633,85,223,2018-05-06_03_53_40,1399,2017-06-17,876142886617796608,http://twitter.com/MarkWarner/status/876142886617796608
876919694040739842,5.518775510210862,441,1143,114,678,2018-05-06_03_52_09,1606,2017-06-19,876919694040739842,http://twitter.com/MarkWarner/status/876919694040739842
876984441985536000,5.5947154471742335,492,1327,104,650,2018-05-06_03_50_39,1956,2017-06-19,876984441985536000,http://twitter.com/MarkWarner/status/876984441985536000
874698927093755906,5.532978395076031,648,151,187,53,2018-05-06_04_03_58,2630,2017-06-13,874698927093755906,http://twitter.com/MarkWarner/status/874698927093755906
875050104851484676,5.7364964539233,705,62684,774,19454,2018-05-06_04_02_31,1986,2017-06-14,875050104851484676,http://twitter.com/MarkWarner/status/875050104851484676
875069233054482433,5.181090629838232,651,2567,588,399,2018-05-06_04_01_03,2188,2017-06-14,875069233054482433,http://twitter.com/MarkWarner/status/875069233054482433
875075327957118977,5.613042328061694,756,367,283,93,2018-05-06_03_59_42,3020,2017-06-14,875075327957118977,http://twitter.com/MarkWarner/status/875075327957118977
875346967362244608,5.525308219193495,584,2328,160,617,2018-05-06_03_58_11,2200,2017-06-15,875346967362244608,http://twitter.com/MarkWarner/status/875346967362244608
872839163862757376,5.7274212598661745,508,1888,120,833,2018-05-06_04_11_18,2043,2017-06-08,872839163862757376,http://twitter.com/MarkWarner/status/872839163862757376
872922839564812288,5.4558323353705305,835,2137,926,831,2018-05-06_04_09_44,3084,2017-06-08,872922839564812288,http://twitter.com/MarkWarner/status/872922839564812288
874286772049543168,5.6375961538430035,312,376,81,164,2018-05-06_04_08_24,1183,2017-06-12,874286772049543168,http://twitter.com/MarkWarner/status/874286772049543168
874389141294903297,5.828711566660683,683,7795,309,1557,2018-05-06_04_06_59,2194,2017-06-12,874389141294903297,http://twitter.com/MarkWarner/status/874389141294903297
874674347037929472,5.764360795489194,704,3229,213,1467,2018-05-06_04_05_28,2708,2017-06-13,874674347037929472,http://twitter.com/MarkWarner/status/874674347037929472
872791086070157312,5.693101182673558,761,2605,275,820,2018-05-06_04_14_05,2747,2017-06-08,872791086070157312,http://twitter.com/MarkWarner/status/872791086070157312
872819208907878400,5.635979112268447,383,222,112,73,2018-05-06_04_12_43,1296,2017-06-08,872819208907878400,http://twitter.com/MarkWarner/status/872819208907878400
871430412362493952,5.670777777790015,450,525,124,147,2018-05-06_04_23_00,1777,2017-06-04,871430412362493952,http://twitter.com/MarkWarner/status/871430412362493952
871437944636223488,5.486127946125698,297,536,83,159,2018-05-06_04_21_35,1125,2017-06-04,871437944636223488,http://twitter.com/MarkWarner/status/871437944636223488
872183856627109888,5.768194690274902,565,701,138,145,2018-05-06_04_20_09,2049,2017-06-06,872183856627109888,http://twitter.com/MarkWarner/status/872183856627109888
872400650189107200,5.33320987653862,324,95,107,11,2018-05-06_04_18_47,1302,2017-06-07,872400650189107200,http://twitter.com/MarkWarner/status/872400650189107200
872507955886919680,5.506749226038059,646,1474,152,545,2018-05-06_04_17_17,2337,2017-06-07,872507955886919680,http://twitter.com/MarkWarner/status/872507955886919680
867808741470679041,5.531935483869335,310,2433,78,801,2018-05-06_04_30_09,1261,2017-05-25,867808741470679041,http://twitter.com/MarkWarner/status/867808741470679041
869935060983717888,5.690375335122079,373,968,83,477,2018-05-06_04_28_46,1407,2017-05-31,869935060983717888,http://twitter.com/MarkWarner/status/869935060983717888
870314215126564864,5.961254355397236,287,976,77,514,2018-05-06_04_27_24,1093,2017-06-01,870314215126564864,http://twitter.com/MarkWarner/status/870314215126564864
870363272163340288,5.72626262626598,495,1223,118,505,2018-05-06_04_25_51,1632,2017-06-01,870363272163340288,http://twitter.com/MarkWarner/status/870363272163340288
871020809531383809,5.731494082845758,676,817,203,347,2018-05-06_04_24_23,2431,2017-06-02,871020809531383809,http://twitter.com/MarkWarner/status/871020809531383809
864879195436003328,5.792156133827435,269,1655,73,736,2018-05-06_04_36_24,954,2017-05-17,864879195436003328,http://twitter.com/MarkWarner/status/864879195436003328
865702718094159873,6.1199516908211145,207,801,73,362,2018-05-06_04_34_54,786,2017-05-19,865702718094159873,http://twitter.com/MarkWarner/status/865702718094159873
866694449325330434,5.376184738954077,249,402,72,272,2018-05-06_04_33_21,977,2017-05-22,866694449325330434,http://twitter.com/MarkWarner/status/866694449325330434
867035072855199746,5.507900763358225,262,670,68,344,2018-05-06_04_32_03,898,2017-05-23,867035072855199746,http://twitter.com/MarkWarner/status/867035072855199746
864552033562619904,5.731136363633312,220,477,84,186,2018-05-06_04_39_26,1030,2017-05-16,864552033562619904,http://twitter.com/MarkWarner/status/864552033562619904
864836397584265216,5.740833333331173,348,572,82,242,2018-05-06_04_37_58,1279,2017-05-17,864836397584265216,http://twitter.com/MarkWarner/status/864836397584265216
863125697891618818,5.67138686132589,548,1371,171,508,2018-05-06_04_45_08,2447,2017-05-12,863125697891618818,http://twitter.com/MarkWarner/status/863125697891618818
862429034797555712,5.532379518072437,332,918,130,401,2018-05-06_04_51_02,1450,2017-05-10,862429034797555712,http://twitter.com/MarkWarner/status/862429034797555712
862433583872565248,6.1153398058223525,309,1234,103,763,2018-05-06_04_49_39,1178,2017-05-10,862433583872565248,http://twitter.com/MarkWarner/status/862433583872565248
862670974231212035,5.568921933105517,538,234,152,100,2018-05-06_04_48_13,2094,2017-05-11,862670974231212035,http://twitter.com/MarkWarner/status/862670974231212035
860255643051184132,5.636594663292812,787,1729,235,674,2018-05-06_04_58_29,2728,2017-05-04,860255643051184132,http://twitter.com/MarkWarner/status/860255643051184132
862080565222268931,5.908069930100132,715,1396,219,927,2018-05-06_04_56_57,2734,2017-05-09,862080565222268931,http://twitter.com/MarkWarner/status/862080565222268931
862095086770941952,5.755281501345853,373,1321,122,642,2018-05-06_04_55_33,1615,2017-05-09,862095086770941952,http://twitter.com/MarkWarner/status/862095086770941952
862108738467110913,5.770162721937273,676,3455,252,1625,2018-05-06_04_54_01,2537,2017-05-09,862108738467110913,http://twitter.com/MarkWarner/status/862108738467110913
862346967715897345,5.826650717739417,627,4102,217,2111,2018-05-06_04_52_29,2504,2017-05-10,862346967715897345,http://twitter.com/MarkWarner/status/862346967715897345
857614944610766848,5.503810810813645,370,1798,117,527,2018-05-06_05_05_07,1605,2017-04-27,857614944610766848,http://twitter.com/MarkWarner/status/857614944610766848
859886697483575296,5.798910614519683,358,503,85,185,2018-05-06_05_03_38,1220,2017-05-03,859886697483575296,http://twitter.com/MarkWarner/status/859886697483575296
860175603206586369,5.547104247117717,777,4019,221,2284,2018-05-06_05_02_01,2938,2017-05-04,860175603206586369,http://twitter.com/MarkWarner/status/860175603206586369
860187412936437760,5.3786336154853895,827,3006,200,5084,2018-05-06_05_00_02,3219,2017-05-04,860187412936437760,http://twitter.com/MarkWarner/status/860187412936437760
847154300153421824,5.878646934472829,473,224,125,96,2018-05-06_05_12_46,1840,2017-03-29,847154300153421824,http://twitter.com/MarkWarner/status/847154300153421824
847451303118684160,5.6923826714974535,554,344,150,166,2018-05-06_05_11_13,2177,2017-03-30,847451303118684160,http://twitter.com/MarkWarner/status/847451303118684160
848914399129722880,5.983868698778906,853,2918,491,989,2018-05-06_05_09_41,2831,2017-04-03,848914399129722880,http://twitter.com/MarkWarner/status/848914399129722880
852150180933718016,6.0714234875618125,562,2469,180,246,2018-05-06_05_08_07,2297,2017-04-12,852150180933718016,http://twitter.com/MarkWarner/status/852150180933718016
852574450868420609,5.678503401358517,294,446,80,230,2018-05-06_05_06_37,1138,2017-04-13,852574450868420609,http://twitter.com/MarkWarner/status/852574450868420609
842371149480763392,5.708881987575407,322,655,73,222,2018-05-06_05_20_31,1086,2017-03-16,842371149480763392,http://twitter.com/MarkWarner/status/842371149480763392
845358484447211520,5.831296829969858,347,1095,88,304,2018-05-06_05_19_04,1209,2017-03-24,845358484447211520,http://twitter.com/MarkWarner/status/845358484447211520
846067354907955201,5.682406417110583,374,1021,98,508,2018-05-06_05_17_28,1437,2017-03-26,846067354907955201,http://twitter.com/MarkWarner/status/846067354907955201
846434940950597634,5.7716041666838285,480,174,137,112,2018-05-06_05_15_56,1931,2017-03-27,846434940950597634,http://twitter.com/MarkWarner/status/846434940950597634
847125039111639040,5.868035714284602,280,235,74,142,2018-05-06_05_14_27,950,2017-03-29,847125039111639040,http://twitter.com/MarkWarner/status/847125039111639040
832677114004385792,6.0555870445346,247,629,75,199,2018-05-06_05_27_53,888,2017-02-17,832677114004385792,http://twitter.com/MarkWarner/status/832677114004385792
836782669958643715,5.653461538459236,364,446,94,210,2018-05-06_05_26_27,1359,2017-02-28,836782669958643715,http://twitter.com/MarkWarner/status/836782669958643715
838444343442751489,5.658618127805692,673,921,473,486,2018-05-06_05_24_57,2770,2017-03-05,838444343442751489,http://twitter.com/MarkWarner/status/838444343442751489
839215106428919808,5.69824675324451,308,588,86,390,2018-05-06_05_23_32,1100,2017-03-07,839215106428919808,http://twitter.com/MarkWarner/status/839215106428919808
841665126654713857,5.428511749345351,383,737,113,552,2018-05-06_05_22_01,1364,2017-03-13,841665126654713857,http://twitter.com/MarkWarner/status/841665126654713857
831205528806289408,5.9607017543862275,57,1346,103,371,2018-05-06_05_34_15,151,2017-02-13,831205528806289408,http://twitter.com/MarkWarner/status/831205528806289408
831518610753454080,6.0680195599039095,409,651,118,253,2018-05-06_05_29_15,1515,2017-02-14,831518610753454080,http://twitter.com/MarkWarner/status/831518610753454080
826149118422745090,5.899070464805321,667,1141,224,197,2018-05-07_17_02_03,1982,2017-01-30,826149118422745090,http://twitter.com/MarkWarner/status/826149118422745090
826428288654512130,6.027190542464508,719,3619,743,735,2018-05-07_17_00_38,1997,2017-01-31,826428288654512130,http://twitter.com/MarkWarner/status/826428288654512130
826505159400357888,5.752716346152978,416,1452,130,557,2018-05-07_16_59_12,1408,2017-01-31,826505159400357888,http://twitter.com/MarkWarner/status/826505159400357888
826823996834459650,5.5882831858753415,565,432,162,209,2018-05-07_16_57_46,2272,2017-02-01,826823996834459650,http://twitter.com/MarkWarner/status/826823996834459650
826896508935077888,5.752533936662219,442,1146,133,290,2018-05-07_16_56_17,1487,2017-02-01,826896508935077888,http://twitter.com/MarkWarner/status/826896508935077888
824404557593772033,6.066079779951124,727,29795,687,17137,2018-05-07_17_09_19,2345,2017-01-25,824404557593772033,http://twitter.com/MarkWarner/status/824404557593772033
824652355933245441,6.130606488062371,709,4590,521,1458,2018-05-07_17_07_48,1990,2017-01-26,824652355933245441,http://twitter.com/MarkWarner/status/824652355933245441
825144935552782340,5.856988416999674,518,1210,161,496,2018-05-07_17_06_21,1734,2017-01-27,825144935552782340,http://twitter.com/MarkWarner/status/825144935552782340
825421845528715264,5.476979166679709,480,883,126,379,2018-05-07_17_04_57,1703,2017-01-28,825421845528715264,http://twitter.com/MarkWarner/status/825421845528715264
825828187376644097,5.788286969297251,683,2147,194,1059,2018-05-07_17_03_30,2318,2017-01-29,825828187376644097,http://twitter.com/MarkWarner/status/825828187376644097
804355890862321668,5.7235047847145415,836,106233,2.2K,32178,2018-05-07_17_16_57,2714,2016-12-01,804355890862321668,http://twitter.com/MarkWarner/status/804355890862321668
817435194449952768,5.776720647770836,247,1712,92,1012,2018-05-07_17_15_33,945,2017-01-06,817435194449952768,http://twitter.com/MarkWarner/status/817435194449952768
818882452760494082,5.480057471264608,348,926,108,549,2018-05-07_17_14_01,1439,2017-01-10,818882452760494082,http://twitter.com/MarkWarner/status/818882452760494082
818909269219307524,5.645353159850334,269,403,78,162,2018-05-07_17_12_33,937,2017-01-10,818909269219307524,http://twitter.com/MarkWarner/status/818909269219307524
821816318164926465,5.506858108105264,296,549,83,263,2018-05-07_17_10_48,1068,2017-01-18,821816318164926465,http://twitter.com/MarkWarner/status/821816318164926465
745729480988098560,5.7316937354913735,431,970,141,345,2018-05-07_17_24_09,1276,2016-06-22,745729480988098560,http://twitter.com/MarkWarner/status/745729480988098560
