,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
908013723817840641,5.39303338173882,689,1708,157,787,2018-05-07_17_32_47,2462,2017-09-13,908013723817840641,http://twitter.com/MartinHeinrich/status/908013723817840641
908709077643079680,5.727396226436814,530,1502,158,1642,2018-05-07_17_31_03,2028,2017-09-14,908709077643079680,http://twitter.com/MartinHeinrich/status/908709077643079680
910510900565696513,5.6467640449805625,890,156649,7.5K,93429,2018-05-07_17_28_50,3087,2017-09-19,910510900565696513,http://twitter.com/MartinHeinrich/status/910510900565696513
910908248936583168,5.742684563754076,298,1808,79,1109,2018-05-07_17_26_42,1087,2017-09-21,910908248936583168,http://twitter.com/MartinHeinrich/status/910908248936583168
911291724684681216,5.908285052191491,863,186777,37K,55138,2018-05-07_17_24_58,2662,2017-09-22,911291724684681216,http://twitter.com/MartinHeinrich/status/911291724684681216
921102270854508544,5.203312000010118,625,4031,627,2822,2018-05-07_17_23_10,2586,2017-10-19,921102270854508544,http://twitter.com/MartinHeinrich/status/921102270854508544
905117813576224768,5.5438441890506445,783,3120,210,2476,2018-05-07_17_44_37,3027,2017-09-05,905117813576224768,http://twitter.com/MartinHeinrich/status/905117813576224768
905196908217499649,5.807879858653481,283,1279,71,479,2018-05-07_17_42_19,1032,2017-09-05,905196908217499649,http://twitter.com/MartinHeinrich/status/905196908217499649
905783807659433984,5.40104956268705,343,307,85,135,2018-05-07_17_40_19,1315,2017-09-07,905783807659433984,http://twitter.com/MartinHeinrich/status/905783807659433984
905794550681264128,5.45847631244228,781,975,192,430,2018-05-07_17_38_17,2943,2017-09-07,905794550681264128,http://twitter.com/MartinHeinrich/status/905794550681264128
907709276180942855,5.895693069308614,404,2336,91,654,2018-05-07_17_36_18,1405,2017-09-12,907709276180942855,http://twitter.com/MartinHeinrich/status/907709276180942855
907728123378237440,5.917392241382524,464,1498,99,445,2018-05-07_17_34_37,1415,2017-09-12,907728123378237440,http://twitter.com/MartinHeinrich/status/907728123378237440
889980992450158593,5.739009708748585,515,1607,150,636,2018-05-07_17_54_23,1580,2017-07-25,889980992450158593,http://twitter.com/MartinHeinrich/status/889980992450158593
892448286682075136,5.737658349356912,521,3752,506,1869,2018-05-07_17_52_24,2039,2017-08-01,892448286682075136,http://twitter.com/MartinHeinrich/status/892448286682075136
895685472139304964,5.780354906060815,958,258179,5.5K,109344,2018-05-07_17_50_03,3797,2017-08-10,895685472139304964,http://twitter.com/MartinHeinrich/status/895685472139304964
896548318817472512,5.279999999999023,205,1640,73,451,2018-05-07_17_48_29,747,2017-08-12,896548318817472512,http://twitter.com/MartinHeinrich/status/896548318817472512
901569161062637568,5.239145802679115,679,2253,199,581,2018-05-07_17_46_33,2659,2017-08-26,901569161062637568,http://twitter.com/MartinHeinrich/status/901569161062637568
879390136060006400,5.7659379616062125,677,11416,154,5659,2018-05-07_18_03_15,2331,2017-06-26,879390136060006400,http://twitter.com/MartinHeinrich/status/879390136060006400
879454654475665408,5.338818181828727,440,1937,112,2229,2018-05-07_18_01_43,1647,2017-06-26,879454654475665408,http://twitter.com/MartinHeinrich/status/879454654475665408
880887655071965184,5.719591346167255,832,9522,237,5470,2018-05-07_17_59_44,2980,2017-06-30,880887655071965184,http://twitter.com/MartinHeinrich/status/880887655071965184
883347799890423808,5.520664206640455,271,539,94,254,2018-05-07_17_58_00,1213,2017-07-07,883347799890423808,http://twitter.com/MartinHeinrich/status/883347799890423808
889948238413012993,5.611028169029553,710,2065,176,1274,2018-05-07_17_56_03,2460,2017-07-25,889948238413012993,http://twitter.com/MartinHeinrich/status/889948238413012993
