,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
798932527369060356,5.382273901808678,387,657,145,998,2018-05-04_15_34_10,1503,2016-11-15,798932527369060356,http://twitter.com/McCaskillOffice/status/798932527369060356
822180183830659072,5.429539295389678,369,465,91,297,2018-05-04_15_32_42,1183,2017-01-19,822180183830659072,http://twitter.com/McCaskillOffice/status/822180183830659072
847904905700544512,5.838637992831878,279,169,75,56,2018-05-04_15_30_39,868,2017-03-31,847904905700544512,http://twitter.com/McCaskillOffice/status/847904905700544512
865227076969918464,6.048817934784019,736,8917,316,4805,2018-05-04_15_28_56,2620,2017-05-18,865227076969918464,http://twitter.com/McCaskillOffice/status/865227076969918464
877616394141028352,5.799829059829481,234,611,77,676,2018-05-04_15_27_32,933,2017-06-21,877616394141028352,http://twitter.com/McCaskillOffice/status/877616394141028352
877899436143280129,5.799829059829481,234,611,77,676,2018-05-04_15_26_10,933,2017-06-21,877899436143280129,http://twitter.com/McCaskillOffice/status/877899436143280129
918852078612746241,6.518444444442856,495,9980,366,6129,2018-05-04_15_24_45,1521,2017-10-13,918852078612746241,http://twitter.com/McCaskillOffice/status/918852078612746241
499983130011635713,6.189622641505198,212,645,72,858,2018-05-04_15_43_59,999,2014-08-14,499983130011635713,http://twitter.com/McCaskillOffice/status/499983130011635713
513021190437634048,5.574929577463588,355,1528,133,1360,2018-05-04_15_42_19,1427,2014-09-19,513021190437634048,http://twitter.com/McCaskillOffice/status/513021190437634048
701914261975605249,6.2285806451749215,930,971,1.5K,1034,2018-05-04_15_39_37,2459,2016-02-22,701914261975605249,http://twitter.com/McCaskillOffice/status/701914261975605249
704386450024960000,6.102636534862041,531,19822,365,9948,2018-05-04_15_37_38,2006,2016-02-28,704386450024960000,http://twitter.com/McCaskillOffice/status/704386450024960000
743181833676828672,5.77789789792849,666,3532,283,1076,2018-05-04_15_35_51,1919,2016-06-15,743181833676828672,http://twitter.com/McCaskillOffice/status/743181833676828672
