,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
921015296768569345,5.305270655290578,702,276,434,70,2018-05-03_22_15_12,2118,2017-10-19,921015296768569345,http://twitter.com/McConnellPress/status/921015296768569345
921068461253648384,5.739809160303063,262,137,93,59,2018-05-03_22_13_45,880,2017-10-19,921068461253648384,http://twitter.com/McConnellPress/status/921068461253648384
921068744578883585,5.424296577963703,789,307,461,85,2018-05-03_22_12_23,2652,2017-10-19,921068744578883585,http://twitter.com/McConnellPress/status/921068744578883585
921122745601220611,5.730467706021899,449,584,112,243,2018-05-03_22_10_56,1466,2017-10-19,921122745601220611,http://twitter.com/McConnellPress/status/921122745601220611
921187900015902721,5.557477797530897,563,635,308,253,2018-05-03_22_09_27,1935,2017-10-19,921187900015902721,http://twitter.com/McConnellPress/status/921187900015902721
920386000022593536,5.524568306043337,915,184,350,78,2018-05-03_22_22_18,2931,2017-10-17,920386000022593536,http://twitter.com/McConnellPress/status/920386000022593536
920747295049740288,5.753608490572631,424,128,133,38,2018-05-03_22_20_52,1447,2017-10-18,920747295049740288,http://twitter.com/McConnellPress/status/920747295049740288
920762201052536832,5.4776737968091975,748,193,243,91,2018-05-03_22_19_27,2494,2017-10-18,920762201052536832,http://twitter.com/McConnellPress/status/920762201052536832
920819245533073408,5.2857425742766,606,771,413,205,2018-05-03_22_18_00,2138,2017-10-18,920819245533073408,http://twitter.com/McConnellPress/status/920819245533073408
920819280010272768,5.370670731734919,820,159,266,41,2018-05-03_22_16_35,2677,2017-10-18,920819280010272768,http://twitter.com/McConnellPress/status/920819280010272768
918545645119725568,5.367463026194868,879,627,1.3K,136,2018-05-03_22_29_28,3032,2017-10-12,918545645119725568,http://twitter.com/McConnellPress/status/918545645119725568
918938163795636230,5.468904991966971,621,424,658,113,2018-05-03_22_28_00,2265,2017-10-13,918938163795636230,http://twitter.com/McConnellPress/status/918938163795636230
920021839346323457,5.579638157915632,608,177,179,64,2018-05-03_22_26_33,2005,2017-10-16,920021839346323457,http://twitter.com/McConnellPress/status/920021839346323457
920026502942556160,5.71522535214069,710,6759,2.8K,1165,2018-05-03_22_25_10,2566,2017-10-16,920026502942556160,http://twitter.com/McConnellPress/status/920026502942556160
920360776673693696,5.402291970818712,685,125,295,51,2018-05-03_22_23_47,2175,2017-10-17,920360776673693696,http://twitter.com/McConnellPress/status/920360776673693696
