,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
991711397967953921,6.627427385889798,241,14166,102,1659,2018-05-05_12_52_39,611,2018-05-02,991711397967953921,http://twitter.com/MichelleObama/status/991711397967953921
991752615598936065,6.230294117646007,408,3134,78,525,2018-05-05_12_50_47,1165,2018-05-02,991752615598936065,http://twitter.com/MichelleObama/status/991752615598936065
991780808921935872,6.271013628667637,1174,34456,573,3310,2018-05-05_12_49_16,2851,2018-05-02,991780808921935872,http://twitter.com/MichelleObama/status/991780808921935872
991853868211417088,6.4137593984435854,1197,13310,364,1439,2018-05-05_12_47_53,4152,2018-05-02,991853868211417088,http://twitter.com/MichelleObama/status/991853868211417088
989576221427150848,6.3707540603430095,862,18904,260,1998,2018-05-05_12_59_28,2183,2018-04-26,989576221427150848,http://twitter.com/MichelleObama/status/989576221427150848
989886345232420865,6.297866379335319,928,43444,442,5458,2018-05-05_12_58_08,2482,2018-04-27,989886345232420865,http://twitter.com/MichelleObama/status/989886345232420865
991695530202890245,6.310714985343709,1021,55879,904,6176,2018-05-05_12_56_41,2776,2018-05-02,991695530202890245,http://twitter.com/MichelleObama/status/991695530202890245
991704680295288832,6.430619658122884,468,8987,87,837,2018-05-05_12_55_18,1309,2018-05-02,991704680295288832,http://twitter.com/MichelleObama/status/991704680295288832
991711026608558081,6.738629032258394,124,2665,39,182,2018-05-05_12_54_00,289,2018-05-01,991711026608558081,http://twitter.com/MichelleObama/status/991711026608558081
976853165680324610,6.012354430407152,790,18096,589,2314,2018-05-05_13_06_41,2464,2018-03-22,976853165680324610,http://twitter.com/MichelleObama/status/976853165680324610
977594661555638272,5.934992795267725,1388,1596310,26K,328252,2018-05-05_13_05_16,4485,2018-03-24,977594661555638272,http://twitter.com/MichelleObama/status/977594661555638272
981941062825664514,6.242517571770329,1565,40466,1.4K,5699,2018-05-05_13_03_48,4453,2018-04-05,981941062825664514,http://twitter.com/MichelleObama/status/981941062825664514
985904190718431232,6.002992831559267,558,25879,1.2K,5223,2018-05-05_13_02_24,1899,2018-04-16,985904190718431232,http://twitter.com/MichelleObama/status/985904190718431232
988527765392711680,6.106751740154317,862,360710,2.0K,35624,2018-05-05_13_01_00,2502,2018-04-23,988527765392711680,http://twitter.com/MichelleObama/status/988527765392711680
967809678578192385,6.172161172185514,819,149969,3.1K,27411,2018-05-05_13_13_40,2292,2018-02-25,967809678578192385,http://twitter.com/MichelleObama/status/967809678578192385
967850313498710017,6.001522842644304,394,64772,544,3715,2018-05-05_13_12_18,1370,2018-02-25,967850313498710017,http://twitter.com/MichelleObama/status/967850313498710017
971074369727467527,6.479536921165612,799,451105,7.3K,89452,2018-05-05_13_10_49,2028,2018-03-06,971074369727467527,http://twitter.com/MichelleObama/status/971074369727467527
971778928607145987,6.09548895901251,634,59684,1.3K,12977,2018-05-05_13_09_26,1925,2018-03-08,971778928607145987,http://twitter.com/MichelleObama/status/971778928607145987
973273455993982976,6.100012437829325,804,174006,2.9K,19683,2018-05-05_13_08_04,2384,2018-03-12,973273455993982976,http://twitter.com/MichelleObama/status/973273455993982976
963810014191411201,6.481021897820404,685,169726,3.3K,26753,2018-05-05_13_20_53,1811,2018-02-14,963810014191411201,http://twitter.com/MichelleObama/status/963810014191411201
964189017511223304,5.576658767809687,844,1325161,33K,380685,2018-05-05_13_19_29,3065,2018-02-15,964189017511223304,http://twitter.com/MichelleObama/status/964189017511223304
965641575584935936,5.9670396145571045,1868,618233,5.5K,138880,2018-05-05_13_17_59,6439,2018-02-19,965641575584935936,http://twitter.com/MichelleObama/status/965641575584935936
966483852834287621,5.803307852561133,1439,631222,6.3K,123457,2018-05-05_13_16_32,4842,2018-02-21,966483852834287621,http://twitter.com/MichelleObama/status/966483852834287621
966744182105821184,5.968976449315656,1104,1650284,34K,452656,2018-05-05_13_15_03,3551,2018-02-22,966744182105821184,http://twitter.com/MichelleObama/status/966744182105821184
959098811040845824,6.268993399358313,606,49411,472,6539,2018-05-05_13_22_49,1828,2018-02-01,959098811040845824,http://twitter.com/MichelleObama/status/959098811040845824
953757303781707776,6.506544901071623,657,11053,335,2509,2018-05-05_13_31_17,1749,2018-01-17,953757303781707776,http://twitter.com/MichelleObama/status/953757303781707776
956590991812653056,6.297216035658282,898,55788,1.5K,8811,2018-05-05_13_29_57,2507,2018-01-25,956590991812653056,http://twitter.com/MichelleObama/status/956590991812653056
958741581909184512,6.159539951586888,826,20908,532,2007,2018-05-05_13_28_27,2275,2018-01-31,958741581909184512,http://twitter.com/MichelleObama/status/958741581909184512
