,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
880496506440220672,5.514912621379762,515,114,152,32,2018-05-04_16_01_01,2049,2017-06-29,880496506440220672,http://twitter.com/MikeCrapo/status/880496506440220672
896839062924836864,5.714840425532278,376,164,138,50,2018-05-04_15_59_30,1427,2017-08-13,896839062924836864,http://twitter.com/MikeCrapo/status/896839062924836864
905162346213109761,5.437514124293363,354,26,85,9,2018-05-04_15_57_58,1323,2017-09-05,905162346213109761,http://twitter.com/MikeCrapo/status/905162346213109761
913106693009047552,5.368869565241506,690,98,262,60,2018-05-04_15_56_28,2223,2017-09-27,913106693009047552,http://twitter.com/MikeCrapo/status/913106693009047552
914897708015595520,5.465492957757434,568,36,326,14,2018-05-04_15_54_49,2038,2017-10-02,914897708015595520,http://twitter.com/MikeCrapo/status/914897708015595520
919951151629512704,5.2334493670864335,316,20,70,12,2018-05-04_15_52_46,1088,2017-10-15,919951151629512704,http://twitter.com/MikeCrapo/status/919951151629512704
784773920192798720,5.515745454576013,825,3302,1.3K,2427,2018-05-04_16_09_31,2917,2016-10-08,784773920192798720,http://twitter.com/MikeCrapo/status/784773920192798720
826168487991205888,5.5697500000092175,440,39,111,18,2018-05-04_16_07_52,1601,2017-01-30,826168487991205888,http://twitter.com/MikeCrapo/status/826168487991205888
826905877785501696,5.695446685878602,347,254,91,173,2018-05-04_16_06_12,1225,2017-02-01,826905877785501696,http://twitter.com/MikeCrapo/status/826905877785501696
839941300656959491,5.961996879892981,641,18834,2.1K,3710,2018-05-04_16_04_24,2049,2017-03-09,839941300656959491,http://twitter.com/MikeCrapo/status/839941300656959491
850400575502069760,5.657459749570647,559,1009,163,305,2018-05-04_16_02_44,1782,2017-04-07,850400575502069760,http://twitter.com/MikeCrapo/status/850400575502069760
403682344826986496,5.406618075802807,343,47,103,152,2018-05-04_16_16_54,1587,2013-11-21,403682344826986496,http://twitter.com/MikeCrapo/status/403682344826986496
432372467647410176,6.7590393013121135,229,3122,95,2557,2018-05-04_16_15_13,740,2014-02-08,432372467647410176,http://twitter.com/MikeCrapo/status/432372467647410176
710091787260588032,5.523717277498722,382,93,114,127,2018-05-04_16_13_30,1729,2016-03-16,710091787260588032,http://twitter.com/MikeCrapo/status/710091787260588032
784596990327939072,5.587583732075574,418,195,149,119,2018-05-04_16_11_52,1772,2016-10-07,784596990327939072,http://twitter.com/MikeCrapo/status/784596990327939072
