,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
988163875018231808,6.198614609572783,397,235700,1.6K,39191,2018-04-30_22_12_21,1344,2018-04-22,988163875018231808,http://twitter.com/MileyCyrus/status/988163875018231808
988825445150769152,6.521324675318589,385,31158,331,2815,2018-04-30_22_10_54,1175,2018-04-24,988825445150769152,http://twitter.com/MileyCyrus/status/988825445150769152
988825803587702785,6.174630872482406,298,9734,240,1221,2018-04-30_22_09_31,913,2018-04-24,988825803587702785,http://twitter.com/MileyCyrus/status/988825803587702785
989912841284079616,6.249517684884747,311,27559,231,2281,2018-04-30_22_08_08,1019,2018-04-27,989912841284079616,http://twitter.com/MileyCyrus/status/989912841284079616
989919122321362944,6.336430020297277,493,49001,425,3701,2018-04-30_22_06_40,1464,2018-04-27,989919122321362944,http://twitter.com/MileyCyrus/status/989919122321362944
990636142851575808,6.546837349398457,332,17313,190,1632,2018-04-30_22_05_12,823,2018-04-29,990636142851575808,http://twitter.com/MileyCyrus/status/990636142851575808
990637435649327104,6.3787869822456695,338,38905,275,5193,2018-04-30_22_03_46,988,2018-04-29,990637435649327104,http://twitter.com/MileyCyrus/status/990637435649327104
990637602184224773,6.557359735972455,303,17136,181,1599,2018-04-30_22_02_17,841,2018-04-29,990637602184224773,http://twitter.com/MileyCyrus/status/990637602184224773
990637790680399872,6.670988700560766,354,25391,270,1989,2018-04-30_22_00_50,1049,2018-04-29,990637790680399872,http://twitter.com/MileyCyrus/status/990637790680399872
990682726440226817,5.8890018832688895,1062,246970,2.4K,46690,2018-04-30_21_59_20,3706,2018-04-29,990682726440226817,http://twitter.com/MileyCyrus/status/990682726440226817
983788128954564613,6.3556716417898045,201,6299,170,1228,2018-04-30_22_26_56,661,2018-04-10,983788128954564613,http://twitter.com/MileyCyrus/status/983788128954564613
983865213563822080,6.750653594770781,153,3154,75,793,2018-04-30_22_25_29,401,2018-04-10,983865213563822080,http://twitter.com/MileyCyrus/status/983865213563822080
983875592679387136,6.465339805822881,206,4859,111,1031,2018-04-30_22_24_08,559,2018-04-10,983875592679387136,http://twitter.com/MileyCyrus/status/983875592679387136
984108478816858112,6.5102272727276755,88,4369,77,863,2018-04-30_22_22_48,283,2018-04-10,984108478816858112,http://twitter.com/MileyCyrus/status/984108478816858112
984214965622984704,6.5733098591555565,284,8211,181,1140,2018-04-30_22_21_23,747,2018-04-11,984214965622984704,http://twitter.com/MileyCyrus/status/984214965622984704
985028846150823937,6.266350974928727,359,80045,1.7K,5904,2018-04-30_22_19_53,1137,2018-04-13,985028846150823937,http://twitter.com/MileyCyrus/status/985028846150823937
985928638594822144,6.486072727271424,275,66559,548,8060,2018-04-30_22_18_25,873,2018-04-16,985928638594822144,http://twitter.com/MileyCyrus/status/985928638594822144
