,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
989526224828583936,5.7692086331144985,834,12508,539,2585,2018-04-29_21_59_57,2827,2018-04-26,989526224828583936,http://twitter.com/POTUS/status/989526224828583936
989597622443921415,5.907747163708168,617,16565,918,3206,2018-04-29_21_58_33,2009,2018-04-26,989597622443921415,http://twitter.com/POTUS/status/989597622443921415
989597660641406977,5.836520342639285,934,29810,2.1K,8304,2018-04-29_21_57_11,3440,2018-04-26,989597660641406977,http://twitter.com/POTUS/status/989597660641406977
989603964466409472,5.941192771097118,830,14824,938,4899,2018-04-29_21_55_42,3245,2018-04-26,989603964466409472,http://twitter.com/POTUS/status/989603964466409472
989629205985026048,5.9396378830260765,1077,14349,770,3728,2018-04-29_21_54_20,3748,2018-04-26,989629205985026048,http://twitter.com/POTUS/status/989629205985026048
989630703037042690,5.684477379107907,641,6782,309,1511,2018-04-29_21_52_54,2351,2018-04-26,989630703037042690,http://twitter.com/POTUS/status/989630703037042690
989879440061714432,5.84512820514097,546,3896,210,764,2018-04-29_21_51_33,2109,2018-04-27,989879440061714432,http://twitter.com/POTUS/status/989879440061714432
989958142929850369,5.850815660584207,1226,34199,2.9K,6919,2018-04-29_21_50_01,4582,2018-04-27,989958142929850369,http://twitter.com/POTUS/status/989958142929850369
989958151469518848,5.634436493712343,1118,46778,5.8K,11571,2018-04-29_21_48_29,4155,2018-04-27,989958151469518848,http://twitter.com/POTUS/status/989958151469518848
989958661207453701,5.855837512525299,997,42198,2.9K,9047,2018-04-29_21_47_00,4158,2018-04-27,989958661207453701,http://twitter.com/POTUS/status/989958661207453701
988839354620694528,5.492186915917662,1070,38863,3.7K,6985,2018-04-29_22_14_06,3836,2018-04-24,988839354620694528,http://twitter.com/POTUS/status/988839354620694528
988850687944675329,5.953441295560242,741,53809,4.3K,10618,2018-04-29_22_12_42,2370,2018-04-24,988850687944675329,http://twitter.com/POTUS/status/988850687944675329
988859921310601216,5.9748567229001655,1361,48146,5.6K,9253,2018-04-29_22_11_14,4658,2018-04-24,988859921310601216,http://twitter.com/POTUS/status/988859921310601216
988875576185368581,5.862679162095446,907,92853,15K,20411,2018-04-29_22_09_49,2981,2018-04-24,988875576185368581,http://twitter.com/POTUS/status/988875576185368581
989137883322834944,6.024050955446413,785,73149,10K,12800,2018-04-29_22_08_26,2793,2018-04-25,989137883322834944,http://twitter.com/POTUS/status/989137883322834944
989184447944814592,5.725834609418678,1306,5681,496,1352,2018-04-29_22_06_56,4610,2018-04-25,989184447944814592,http://twitter.com/POTUS/status/989184447944814592
989214731515957249,5.9714589372143685,1035,7498,511,1371,2018-04-29_22_05_31,3654,2018-04-25,989214731515957249,http://twitter.com/POTUS/status/989214731515957249
989291731735777281,5.870494905406472,687,7224,396,1362,2018-04-29_22_04_06,2886,2018-04-25,989291731735777281,http://twitter.com/POTUS/status/989291731735777281
989517059011817472,5.673938053109759,678,4172,194,930,2018-04-29_22_02_38,2739,2018-04-26,989517059011817472,http://twitter.com/POTUS/status/989517059011817472
