,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
921065897950961665,5.878990944393765,773,2886,234,858,2018-05-01_18_47_39,2631,2017-10-19,921065897950961665,http://twitter.com/RandPaul/status/921065897950961665
921123564698394626,5.545689655189679,928,5816,555,1705,2018-05-01_18_46_10,3337,2017-10-19,921123564698394626,http://twitter.com/RandPaul/status/921123564698394626
921130316093448192,5.413963414632066,328,832,84,267,2018-05-01_18_44_48,979,2017-10-19,921130316093448192,http://twitter.com/RandPaul/status/921130316093448192
921139767823208449,5.396390423580784,543,1474,131,483,2018-05-01_18_43_14,1728,2017-10-19,921139767823208449,http://twitter.com/RandPaul/status/921139767823208449
921152922028838912,5.568305519916482,779,2289,196,814,2018-05-01_18_41_49,2897,2017-10-19,921152922028838912,http://twitter.com/RandPaul/status/921152922028838912
921168908194893824,5.497045235837325,1039,5599,526,1848,2018-05-01_18_40_21,3332,2017-10-19,921168908194893824,http://twitter.com/RandPaul/status/921168908194893824
920307764609667077,5.516051502161078,699,12647,1.7K,7697,2018-05-01_18_52_52,2938,2017-10-17,920307764609667077,http://twitter.com/RandPaul/status/920307764609667077
920314007617228800,5.4523684210528325,380,476,99,179,2018-05-01_18_50_31,1320,2017-10-17,920314007617228800,http://twitter.com/RandPaul/status/920314007617228800
920629876054544384,5.347189265560191,708,1306,138,406,2018-05-01_18_49_01,2275,2017-10-17,920629876054544384,http://twitter.com/RandPaul/status/920629876054544384
918893880304717826,5.676848341246548,844,4898,530,2452,2018-05-01_19_00_14,2915,2017-10-13,918893880304717826,http://twitter.com/RandPaul/status/918893880304717826
919184413279342594,5.745608180862822,929,28702,2.2K,9662,2018-05-01_18_58_44,3093,2017-10-14,919184413279342594,http://twitter.com/RandPaul/status/919184413279342594
919665416162697217,5.795733333373827,975,16512,1.7K,4925,2018-05-01_18_57_19,3441,2017-10-15,919665416162697217,http://twitter.com/RandPaul/status/919665416162697217
919900884406063104,5.667036516868823,712,1738,162,781,2018-05-01_18_55_51,2690,2017-10-16,919900884406063104,http://twitter.com/RandPaul/status/919900884406063104
920300892871589889,5.468819444466876,720,1791,164,573,2018-05-01_18_54_23,2272,2017-10-17,920300892871589889,http://twitter.com/RandPaul/status/920300892871589889
918600878340427776,5.544553243583523,817,2819,331,1075,2018-05-01_19_35_43,2822,2017-10-12,918600878340427776,http://twitter.com/RandPaul/status/918600878340427776
918837204042043393,5.459753320692028,527,1666,139,560,2018-05-01_19_34_09,2017,2017-10-13,918837204042043393,http://twitter.com/RandPaul/status/918837204042043393
918119662159876096,5.571198156693821,434,779,122,292,2018-05-01_19_48_00,1744,2017-10-11,918119662159876096,http://twitter.com/RandPaul/status/918119662159876096
918474934468403200,5.8422285068298025,884,7432,732,3192,2018-05-01_19_45_58,3228,2017-10-12,918474934468403200,http://twitter.com/RandPaul/status/918474934468403200
918519512118562816,5.482926829271904,410,1091,95,374,2018-05-01_19_42_56,1648,2017-10-12,918519512118562816,http://twitter.com/RandPaul/status/918519512118562816
918519557391822848,5.705080346121519,809,1527,176,656,2018-05-01_19_41_00,2962,2017-10-12,918519557391822848,http://twitter.com/RandPaul/status/918519557391822848
918545476605050881,5.671862857178156,875,1571,189,284,2018-05-01_19_39_31,2878,2017-10-12,918545476605050881,http://twitter.com/RandPaul/status/918545476605050881
918558910969204737,5.860560471971366,339,1064,88,401,2018-05-01_19_38_09,1210,2017-10-12,918558910969204737,http://twitter.com/RandPaul/status/918558910969204737
915929027130601472,5.424316406269024,1024,2097,250,584,2018-05-01_19_55_03,3309,2017-10-05,915929027130601472,http://twitter.com/RandPaul/status/915929027130601472
917123643909558272,5.515880597013035,335,901,92,784,2018-05-01_19_53_43,1385,2017-10-08,917123643909558272,http://twitter.com/RandPaul/status/917123643909558272
917720153068011521,5.857485436921963,1030,25830,2.0K,10267,2018-05-01_19_52_16,3400,2017-10-10,917720153068011521,http://twitter.com/RandPaul/status/917720153068011521
917775982681083904,5.993382352960016,680,4236,400,1281,2018-05-01_19_50_50,2416,2017-10-10,917775982681083904,http://twitter.com/RandPaul/status/917775982681083904
917865118087729152,5.715320813788413,639,3332,367,899,2018-05-01_19_49_22,2221,2017-10-10,917865118087729152,http://twitter.com/RandPaul/status/917865118087729152
