,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
991864992319332352,5.6255511811021455,254,183,60,105,2018-05-07_17_31_36,1090,2018-05-02,991864992319332352,http://twitter.com/RepLukeMesser/status/991864992319332352
991983513984557057,5.706969696967624,231,25,78,8,2018-05-07_17_30_02,896,2018-05-03,991983513984557057,http://twitter.com/RepLukeMesser/status/991983513984557057
991987481837961216,5.8357383966336585,474,627,129,182,2018-05-07_17_28_02,1942,2018-05-03,991987481837961216,http://twitter.com/RepLukeMesser/status/991987481837961216
992023456769331200,5.820186246436468,698,732,162,202,2018-05-07_17_26_09,2849,2018-05-03,992023456769331200,http://twitter.com/RepLukeMesser/status/992023456769331200
992046526154395648,5.7818734177331566,395,468,105,135,2018-05-07_17_24_21,1600,2018-05-03,992046526154395648,http://twitter.com/RepLukeMesser/status/992046526154395648
991731558364131328,5.847365709977603,1359,1867,509,816,2018-05-07_17_41_24,5188,2018-05-02,991731558364131328,http://twitter.com/RepLukeMesser/status/991731558364131328
991775230833184770,5.9194444444443945,36,13,11,7,2018-05-07_17_39_47,130,2018-05-02,991775230833184770,http://twitter.com/RepLukeMesser/status/991775230833184770
991793853178044417,5.758391248403794,777,587,946,273,2018-05-07_17_37_21,2962,2018-05-02,991793853178044417,http://twitter.com/RepLukeMesser/status/991793853178044417
991808340455051264,5.629593220342157,295,304,92,112,2018-05-07_17_35_34,1183,2018-05-02,991808340455051264,http://twitter.com/RepLukeMesser/status/991808340455051264
991864907401449472,6.0040164778411205,971,8330,431,2189,2018-05-07_17_33_27,3331,2018-05-02,991864907401449472,http://twitter.com/RepLukeMesser/status/991864907401449472
990048250588815365,5.7309589041068625,219,42,64,17,2018-05-07_17_51_11,809,2018-04-27,990048250588815365,http://twitter.com/RepLukeMesser/status/990048250588815365
990645867618164736,5.9946938775505485,98,33,27,22,2018-05-07_17_49_26,370,2018-04-29,990645867618164736,http://twitter.com/RepLukeMesser/status/990645867618164736
990944365316108288,5.883492063491544,252,42,73,19,2018-05-07_17_47_53,851,2018-04-30,990944365316108288,http://twitter.com/RepLukeMesser/status/990944365316108288
991725868941824000,5.7685610640983525,827,8655,8.6K,3602,2018-05-07_17_45_34,3291,2018-05-02,991725868941824000,http://twitter.com/RepLukeMesser/status/991725868941824000
991727816411680769,5.71004854369937,412,435,102,150,2018-05-07_17_43_31,1690,2018-05-02,991727816411680769,http://twitter.com/RepLukeMesser/status/991727816411680769
989893936239075334,5.922400000000078,25,11,10,10,2018-05-07_17_57_38,171,2018-04-27,989893936239075334,http://twitter.com/RepLukeMesser/status/989893936239075334
989894025481158656,5.950900900911157,444,351,585,155,2018-05-07_17_55_38,1934,2018-04-27,989894025481158656,http://twitter.com/RepLukeMesser/status/989894025481158656
989899267023228928,5.8238260869242255,1035,770,797,384,2018-05-07_17_53_25,4004,2018-04-27,989899267023228928,http://twitter.com/RepLukeMesser/status/989899267023228928
987694186429329408,5.9744000000000135,25,18,11,7,2018-05-07_18_04_19,91,2018-04-21,987694186429329408,http://twitter.com/RepLukeMesser/status/987694186429329408
987694711673643010,5.554153846153906,65,16,13,7,2018-05-07_18_02_51,278,2018-04-21,987694711673643010,http://twitter.com/RepLukeMesser/status/987694711673643010
988478559688814592,5.701971830986036,71,18,20,7,2018-05-07_18_01_22,224,2018-04-23,988478559688814592,http://twitter.com/RepLukeMesser/status/988478559688814592
986258980409348096,5.713561643834063,146,13,26,3,2018-05-08_10_03_56,604,2018-04-17,986258980409348096,http://twitter.com/RepLukeMesser/status/986258980409348096
984017870681268224,5.7061194029843705,134,278,35,75,2018-05-08_10_09_43,566,2018-04-11,984017870681268224,http://twitter.com/RepLukeMesser/status/984017870681268224
984137264421892115,5.634292452828512,212,433,46,156,2018-05-08_10_07_59,757,2018-04-11,984137264421892115,http://twitter.com/RepLukeMesser/status/984137264421892115
984165646471753729,5.602999999999938,20,152,10,50,2018-05-08_10_06_30,124,2018-04-11,984165646471753729,http://twitter.com/RepLukeMesser/status/984165646471753729
982035649845977088,5.694248366011642,153,19,29,11,2018-05-08_10_12_17,592,2018-04-05,982035649845977088,http://twitter.com/RepLukeMesser/status/982035649845977088
978719397778001925,5.659051724136906,116,17,21,6,2018-05-08_10_17_46,475,2018-03-27,978719397778001925,http://twitter.com/RepLukeMesser/status/978719397778001925
979345494001573888,5.285043478261208,115,20,13,9,2018-05-08_10_16_25,359,2018-03-29,979345494001573888,http://twitter.com/RepLukeMesser/status/979345494001573888
978360625201065985,5.657476635513705,107,16,20,6,2018-05-08_10_20_16,430,2018-03-26,978360625201065985,http://twitter.com/RepLukeMesser/status/978360625201065985
974398298676256771,6.010357142857562,84,101,17,56,2018-05-08_10_28_02,332,2018-03-15,974398298676256771,http://twitter.com/RepLukeMesser/status/974398298676256771
974045415808098305,5.4640476190185305,1260,93016,19K,20013,2018-05-08_10_29_59,4302,2018-03-14,974045415808098305,http://twitter.com/RepLukeMesser/status/974045415808098305
971889001006235649,6.006896551724207,29,31,15,16,2018-05-08_10_39_03,145,2018-03-08,971889001006235649,http://twitter.com/RepLukeMesser/status/971889001006235649
971924500454477827,5.989032258064593,93,24,16,8,2018-05-08_10_37_33,338,2018-03-08,971924500454477827,http://twitter.com/RepLukeMesser/status/971924500454477827
971814020360663041,5.769663865549727,357,62,109,23,2018-05-08_10_41_55,1335,2018-03-08,971814020360663041,http://twitter.com/RepLukeMesser/status/971814020360663041
971888393666924544,5.7009523809518665,105,21,27,12,2018-05-08_10_40_32,418,2018-03-08,971888393666924544,http://twitter.com/RepLukeMesser/status/971888393666924544
969323403781066754,5.365263157894653,133,17,19,8,2018-05-08_10_47_05,411,2018-03-01,969323403781066754,http://twitter.com/RepLukeMesser/status/969323403781066754
967134372305530881,5.81384615384609,26,12,11,9,2018-05-08_10_52_05,90,2018-02-23,967134372305530881,http://twitter.com/RepLukeMesser/status/967134372305530881
