,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
918550024795164672,5.787262247834662,347,98,81,34,2018-05-07_17_33_22,1189,2017-10-12,918550024795164672,http://twitter.com/RoyBlunt/status/918550024795164672
918937660093272069,5.5219395866668615,629,91,129,55,2018-05-07_17_31_24,2252,2017-10-13,918937660093272069,http://twitter.com/RoyBlunt/status/918937660093272069
919991951449083906,5.3487185354710505,437,32,82,12,2018-05-07_17_29_54,1341,2017-10-16,919991951449083906,http://twitter.com/RoyBlunt/status/919991951449083906
920361319722864640,5.426489675514845,339,16,73,9,2018-05-07_17_28_01,1210,2017-10-17,920361319722864640,http://twitter.com/RoyBlunt/status/920361319722864640
920743523590328320,5.4479807692298685,416,20,80,6,2018-05-07_17_25_25,1307,2017-10-18,920743523590328320,http://twitter.com/RoyBlunt/status/920743523590328320
916351714093096961,5.763196405675912,779,55,163,21,2018-05-07_17_43_03,2673,2017-10-06,916351714093096961,http://twitter.com/RoyBlunt/status/916351714093096961
916388901509574663,5.435384615379999,403,27,82,9,2018-05-07_17_40_46,1297,2017-10-06,916388901509574663,http://twitter.com/RoyBlunt/status/916388901509574663
917471324519452672,5.652117962465741,373,24,71,10,2018-05-07_17_39_06,1217,2017-10-09,917471324519452672,http://twitter.com/RoyBlunt/status/917471324519452672
917491106756968448,5.76637450200037,753,36,146,13,2018-05-07_17_37_08,2367,2017-10-09,917491106756968448,http://twitter.com/RoyBlunt/status/917491106756968448
917853496984027136,5.464337539445414,634,41,129,10,2018-05-07_17_35_23,1940,2017-10-10,917853496984027136,http://twitter.com/RoyBlunt/status/917853496984027136
914853420061904896,5.415850785376196,764,182,2.8K,45,2018-05-07_17_52_11,2672,2017-10-02,914853420061904896,http://twitter.com/RoyBlunt/status/914853420061904896
915329752713564165,5.350391389441424,511,44,92,14,2018-05-07_17_49_45,1597,2017-10-03,915329752713564165,http://twitter.com/RoyBlunt/status/915329752713564165
916048877828169729,5.576753926732483,764,41,145,17,2018-05-07_17_48_00,2299,2017-10-05,916048877828169729,http://twitter.com/RoyBlunt/status/916048877828169729
916058141317582849,5.506107954543672,352,28,69,17,2018-05-07_17_45_23,1041,2017-10-05,916058141317582849,http://twitter.com/RoyBlunt/status/916058141317582849
910224413659947009,5.490492610834353,406,58,73,28,2018-05-07_18_00_52,1387,2017-09-19,910224413659947009,http://twitter.com/RoyBlunt/status/910224413659947009
910626712601419777,5.408937644336826,433,31,74,8,2018-05-07_17_59_10,1367,2017-09-20,910626712601419777,http://twitter.com/RoyBlunt/status/910626712601419777
913125770528247813,5.547806788514688,383,26,90,2,2018-05-07_17_57_31,1480,2017-09-27,913125770528247813,http://twitter.com/RoyBlunt/status/913125770528247813
913147765491978241,5.497993421068183,608,121,135,29,2018-05-07_17_55_52,1920,2017-09-27,913147765491978241,http://twitter.com/RoyBlunt/status/913147765491978241
913799860712824832,5.395114503836586,655,45,123,16,2018-05-07_17_54_01,2062,2017-09-29,913799860712824832,http://twitter.com/RoyBlunt/status/913799860712824832
908397742682263552,5.409402390446992,502,36,98,20,2018-05-07_18_07_26,1496,2017-09-14,908397742682263552,http://twitter.com/RoyBlunt/status/908397742682263552
908398100586344455,5.448294797685665,346,35,88,16,2018-05-07_18_05_34,1094,2017-09-14,908398100586344455,http://twitter.com/RoyBlunt/status/908398100586344455
909499962446143489,5.5031972789321735,588,131,102,36,2018-05-07_18_04_12,1906,2017-09-17,909499962446143489,http://twitter.com/RoyBlunt/status/909499962446143489
910133567568703489,5.344005449588169,367,41,74,12,2018-05-07_18_02_33,1217,2017-09-19,910133567568703489,http://twitter.com/RoyBlunt/status/910133567568703489
904752645843378176,5.634666666664659,375,27,71,16,2018-05-08_10_56_44,1245,2017-09-04,904752645843378176,http://twitter.com/RoyBlunt/status/904752645843378176
904825022027624450,5.703300970883932,515,34,101,10,2018-05-08_10_55_22,1660,2017-09-04,904825022027624450,http://twitter.com/RoyBlunt/status/904825022027624450
905060641832132611,5.461620111729907,358,18,69,11,2018-05-08_10_53_55,1216,2017-09-05,905060641832132611,http://twitter.com/RoyBlunt/status/905060641832132611
905188283969396736,5.644450194073386,773,63,165,33,2018-05-08_10_52_18,3031,2017-09-05,905188283969396736,http://twitter.com/RoyBlunt/status/905188283969396736
905497857867776001,5.347243816252292,283,69,83,38,2018-05-08_10_50_55,963,2017-09-06,905497857867776001,http://twitter.com/RoyBlunt/status/905497857867776001
902675423494107136,5.55891618499358,692,133,154,35,2018-05-08_11_03_05,2426,2017-08-29,902675423494107136,http://twitter.com/RoyBlunt/status/902675423494107136
902975628273647616,5.4215329341581295,835,117,160,38,2018-05-08_11_01_30,2803,2017-08-30,902975628273647616,http://twitter.com/RoyBlunt/status/902975628273647616
904407157801533440,5.456167048089423,874,84,145,31,2018-05-08_10_59_52,2737,2017-09-03,904407157801533440,http://twitter.com/RoyBlunt/status/904407157801533440
904422712344551429,5.661342857142472,350,60,84,25,2018-05-08_10_58_13,1233,2017-09-03,904422712344551429,http://twitter.com/RoyBlunt/status/904422712344551429
890224990167216128,5.84910233395806,557,49,133,24,2018-05-08_11_11_20,2086,2017-07-26,890224990167216128,http://twitter.com/RoyBlunt/status/890224990167216128
890669522956337152,5.568654708527677,446,31,90,13,2018-05-08_11_09_52,1567,2017-07-27,890669522956337152,http://twitter.com/RoyBlunt/status/890669522956337152
890696771302821889,5.808241525430335,472,24,106,6,2018-05-08_11_08_27,1493,2017-07-27,890696771302821889,http://twitter.com/RoyBlunt/status/890696771302821889
892123542107586560,5.607030033401312,899,29,185,13,2018-05-08_11_06_47,3541,2017-07-31,892123542107586560,http://twitter.com/RoyBlunt/status/892123542107586560
896494044318191616,5.318803894333202,719,383,470,82,2018-05-08_11_05_23,2718,2017-08-12,896494044318191616,http://twitter.com/RoyBlunt/status/896494044318191616
887759634655825922,5.737516960686082,737,164,383,67,2018-05-08_11_18_53,2964,2017-07-19,887759634655825922,http://twitter.com/RoyBlunt/status/887759634655825922
888507954735050752,5.805709779176077,317,26,72,5,2018-05-08_11_17_29,1306,2017-07-21,888507954735050752,http://twitter.com/RoyBlunt/status/888507954735050752
889501788180811776,5.602070063691706,314,6,82,5,2018-05-08_11_16_03,1172,2017-07-24,889501788180811776,http://twitter.com/RoyBlunt/status/889501788180811776
889557500432977920,5.746448202967521,473,21,91,6,2018-05-08_11_14_29,1458,2017-07-24,889557500432977920,http://twitter.com/RoyBlunt/status/889557500432977920
