,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
991477624898637824,5.957163461537273,208,474,52,93,2018-05-05_12_54_55,796,2018-05-01,991477624898637824,http://twitter.com/SecondLady/status/991477624898637824
991777040708841472,5.760937500000027,64,423,32,72,2018-05-05_12_53_33,275,2018-05-02,991777040708841472,http://twitter.com/SecondLady/status/991777040708841472
991815136942927872,5.883419618544079,734,5345,205,1239,2018-05-05_12_52_09,2438,2018-05-02,991815136942927872,http://twitter.com/SecondLady/status/991815136942927872
992040323546312705,5.946242821949017,1219,15670,2.0K,3915,2018-05-05_12_50_39,4002,2018-05-03,992040323546312705,http://twitter.com/SecondLady/status/992040323546312705
992083748274495489,5.986015473900489,1034,10316,1.2K,2224,2018-05-05_12_49_14,3208,2018-05-03,992083748274495489,http://twitter.com/SecondLady/status/992083748274495489
991034618286563329,6.337391304347775,69,638,16,107,2018-05-05_13_01_45,213,2018-04-30,991034618286563329,http://twitter.com/SecondLady/status/991034618286563329
991109189320687616,6.230930232556866,301,2793,94,421,2018-05-05_13_00_21,949,2018-04-30,991109189320687616,http://twitter.com/SecondLady/status/991109189320687616
991129854627135488,5.937625329820997,379,2159,110,333,2018-05-05_12_58_58,1435,2018-04-30,991129854627135488,http://twitter.com/SecondLady/status/991129854627135488
991458183653740544,5.916030368781367,461,2144,120,319,2018-05-05_12_57_36,1642,2018-05-01,991458183653740544,http://twitter.com/SecondLady/status/991458183653740544
991474632216604672,6.065476190476687,84,374,22,79,2018-05-05_12_56_16,302,2018-05-01,991474632216604672,http://twitter.com/SecondLady/status/991474632216604672
989943386760245248,6.442717948717258,195,1347,51,151,2018-05-05_13_08_55,534,2018-04-27,989943386760245248,http://twitter.com/SecondLady/status/989943386760245248
990294196090261505,5.90102508180369,917,17488,645,2970,2018-05-05_13_07_27,2818,2018-04-28,990294196090261505,http://twitter.com/SecondLady/status/990294196090261505
990296109015760898,5.565517633691443,879,5012,369,1244,2018-05-05_13_06_02,3392,2018-04-28,990296109015760898,http://twitter.com/SecondLady/status/990296109015760898
990323323287547904,6.074049930671976,721,5684,485,859,2018-05-05_13_04_35,2319,2018-04-28,990323323287547904,http://twitter.com/SecondLady/status/990323323287547904
990447908964139008,5.964457364370537,774,5132,540,867,2018-05-05_13_03_05,2707,2018-04-28,990447908964139008,http://twitter.com/SecondLady/status/990447908964139008
989593903350370304,6.634473684210468,76,638,24,102,2018-05-05_13_14_58,219,2018-04-26,989593903350370304,http://twitter.com/SecondLady/status/989593903350370304
989622930542940160,6.613365500616197,829,16492,482,2245,2018-05-05_13_13_34,2195,2018-04-26,989622930542940160,http://twitter.com/SecondLady/status/989622930542940160
989622970120318981,5.781081967211976,305,2434,74,444,2018-05-05_13_12_12,1068,2018-04-26,989622970120318981,http://twitter.com/SecondLady/status/989622970120318981
989924854408282112,5.920918727914104,283,3234,82,487,2018-05-05_13_10_21,976,2018-04-27,989924854408282112,http://twitter.com/SecondLady/status/989924854408282112
988598985853165570,6.470511247472036,978,82551,1.8K,10568,2018-05-05_13_22_02,2572,2018-04-23,988598985853165570,http://twitter.com/SecondLady/status/988598985853165570
988896031340363777,5.961708860772591,632,5011,260,952,2018-05-05_13_20_36,2332,2018-04-24,988896031340363777,http://twitter.com/SecondLady/status/988896031340363777
989209008983732224,6.0680774193712805,775,4819,199,780,2018-05-05_13_19_11,2613,2018-04-25,989209008983732224,http://twitter.com/SecondLady/status/989209008983732224
989242296838361089,5.6217070063845895,785,3345,302,576,2018-05-05_13_17_48,2576,2018-04-25,989242296838361089,http://twitter.com/SecondLady/status/989242296838361089
989313562072973314,6.418224299059872,428,2770,135,211,2018-05-05_13_16_21,1185,2018-04-25,989313562072973314,http://twitter.com/SecondLady/status/989313562072973314
986796146843668481,5.8795431472109625,394,3695,117,478,2018-05-05_13_29_12,1351,2018-04-18,986796146843668481,http://twitter.com/SecondLady/status/986796146843668481
986814391877357568,6.034144893136008,842,13442,935,2502,2018-05-05_13_27_43,3018,2018-04-18,986814391877357568,http://twitter.com/SecondLady/status/986814391877357568
987421900702978049,6.600933333333428,75,825,34,143,2018-05-05_13_26_24,269,2018-04-20,987421900702978049,http://twitter.com/SecondLady/status/987421900702978049
987673151793491968,6.071352785164808,1131,13659,446,1579,2018-05-05_13_24_56,3491,2018-04-21,987673151793491968,http://twitter.com/SecondLady/status/987673151793491968
988545372908867584,6.251626016258771,738,4200,218,520,2018-05-05_13_23_34,2233,2018-04-23,988545372908867584,http://twitter.com/SecondLady/status/988545372908867584
986354369829527553,6.167132867132863,143,1497,40,265,2018-05-05_13_35_21,400,2018-04-17,986354369829527553,http://twitter.com/SecondLady/status/986354369829527553
986356301340008450,6.509371069180928,159,1778,45,277,2018-05-05_13_33_59,517,2018-04-17,986356301340008450,http://twitter.com/SecondLady/status/986356301340008450
986412228344721408,6.218722334009103,994,10139,233,1202,2018-05-05_13_31_59,2897,2018-04-17,986412228344721408,http://twitter.com/SecondLady/status/986412228344721408
986645214172499968,6.099500674778509,741,4177,291,762,2018-05-05_13_30_39,2405,2018-04-18,986645214172499968,http://twitter.com/SecondLady/status/986645214172499968
985159525647994880,6.305922330095768,206,896,36,154,2018-05-05_13_42_16,602,2018-04-14,985159525647994880,http://twitter.com/SecondLady/status/985159525647994880
985684098730602497,6.1108488063658175,377,1813,82,263,2018-05-05_13_40_53,1181,2018-04-15,985684098730602497,http://twitter.com/SecondLady/status/985684098730602497
985684773656985601,6.101994497955159,727,17055,497,1879,2018-05-05_13_39_31,2274,2018-04-15,985684773656985601,http://twitter.com/SecondLady/status/985684773656985601
985688666847760385,6.505172413793195,58,332,24,52,2018-05-05_13_38_11,154,2018-04-15,985688666847760385,http://twitter.com/SecondLady/status/985688666847760385
986029944848486403,6.235791907531168,865,3841,288,467,2018-05-05_13_36_45,2583,2018-04-16,986029944848486403,http://twitter.com/SecondLady/status/986029944848486403
980457808469602304,6.2300252738345225,1187,64425,4.9K,11100,2018-05-05_13_49_20,3179,2018-04-01,980457808469602304,http://twitter.com/SecondLady/status/980457808469602304
980832891558088706,5.9488656716553745,1005,4610,415,1325,2018-05-05_13_47_57,3689,2018-04-02,980832891558088706,http://twitter.com/SecondLady/status/980832891558088706
980977755453120512,6.1908925318860595,549,55753,6.1K,10323,2018-05-05_13_46_37,1578,2018-04-02,980977755453120512,http://twitter.com/SecondLady/status/980977755453120512
981529239097937920,5.751941097741272,747,15287,4.7K,3384,2018-05-05_13_45_10,2637,2018-04-04,981529239097937920,http://twitter.com/SecondLady/status/981529239097937920
984903956685119490,6.186461232638477,1006,14887,752,1255,2018-05-05_13_43_42,2820,2018-04-13,984903956685119490,http://twitter.com/SecondLady/status/984903956685119490
