,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
910261175006453762,5.526237721062075,1018,30,412,19,2018-05-03_22_16_36,3416,2017-09-19,910261175006453762,http://twitter.com/SenAlexander/status/910261175006453762
913884215531442176,5.80839228295822,311,102,86,18,2018-05-03_22_15_12,1055,2017-09-29,913884215531442176,http://twitter.com/SenAlexander/status/913884215531442176
914873370306580480,5.327345029267248,855,175,239,32,2018-05-03_22_13_41,2634,2017-10-02,914873370306580480,http://twitter.com/SenAlexander/status/914873370306580480
914926555268308994,5.323003300337418,606,100,144,42,2018-05-03_22_12_11,1937,2017-10-02,914926555268308994,http://twitter.com/SenAlexander/status/914926555268308994
920380397866897408,5.68472934472717,351,137,71,36,2018-05-03_22_10_50,1258,2017-10-17,920380397866897408,http://twitter.com/SenAlexander/status/920380397866897408
920664193879236608,5.751761006287942,318,64,78,38,2018-05-03_22_09_31,991,2017-10-18,920664193879236608,http://twitter.com/SenAlexander/status/920664193879236608
890308992882311168,5.636572935006747,1138,336,1.1K,73,2018-05-03_22_24_17,3859,2017-07-26,890308992882311168,http://twitter.com/SenAlexander/status/890308992882311168
890832127234895872,5.6355019305304905,1036,47,275,18,2018-05-03_22_22_45,3618,2017-07-28,890832127234895872,http://twitter.com/SenAlexander/status/890832127234895872
892461291201323008,5.827477341419518,662,122,134,53,2018-05-03_22_21_22,2379,2017-08-01,892461291201323008,http://twitter.com/SenAlexander/status/892461291201323008
896498305982758913,5.420930232595782,688,316,275,81,2018-05-03_22_19_53,2820,2017-08-12,896498305982758913,http://twitter.com/SenAlexander/status/896498305982758913
897914647772319744,5.7196698113290925,424,81,86,43,2018-05-03_22_18_00,1605,2017-08-16,897914647772319744,http://twitter.com/SenAlexander/status/897914647772319744
878003437841010692,5.353993871320457,979,21,268,18,2018-05-03_22_32_52,3031,2017-06-22,878003437841010692,http://twitter.com/SenAlexander/status/878003437841010692
