,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
913439687079063552,5.6210635538522125,771,1048,182,530,2018-05-04_08_34_00,3097,2017-09-28,913439687079063552,http://twitter.com/SenBillNelson/status/913439687079063552
914926145409355778,5.237456724386059,751,703,163,152,2018-05-04_08_32_30,2593,2017-10-02,914926145409355778,http://twitter.com/SenBillNelson/status/914926145409355778
918868832478953472,5.609758551322483,497,446,123,193,2018-05-04_08_31_02,1816,2017-10-13,918868832478953472,http://twitter.com/SenBillNelson/status/918868832478953472
919668862047670278,6.281037037036759,270,800,72,287,2018-05-04_08_29_37,799,2017-10-15,919668862047670278,http://twitter.com/SenBillNelson/status/919668862047670278
920072305312706560,6.013018181844437,550,1433,134,635,2018-05-04_08_28_10,1778,2017-10-16,920072305312706560,http://twitter.com/SenBillNelson/status/920072305312706560
921130579613151232,5.712967244716843,519,854,115,244,2018-05-04_08_26_43,1739,2017-10-19,921130579613151232,http://twitter.com/SenBillNelson/status/921130579613151232
900097823466803201,5.590581583221981,619,698,139,176,2018-05-04_08_42_37,2233,2017-08-22,900097823466803201,http://twitter.com/SenBillNelson/status/900097823466803201
905106788776849410,5.656826923099527,520,756,126,253,2018-05-04_08_41_14,2255,2017-09-05,905106788776849410,http://twitter.com/SenBillNelson/status/905106788776849410
907317322582577154,5.4278864734720935,828,369,299,253,2018-05-04_08_39_47,2828,2017-09-11,907317322582577154,http://twitter.com/SenBillNelson/status/907317322582577154
911249765962326024,5.5851151315962815,608,384,139,203,2018-05-04_08_38_23,1957,2017-09-22,911249765962326024,http://twitter.com/SenBillNelson/status/911249765962326024
912335697679437824,5.9417405063637165,632,2683,175,1100,2018-05-04_08_36_51,2073,2017-09-25,912335697679437824,http://twitter.com/SenBillNelson/status/912335697679437824
912465644616060928,5.827969924806068,399,653,81,157,2018-05-04_08_35_33,1233,2017-09-25,912465644616060928,http://twitter.com/SenBillNelson/status/912465644616060928
884518859377713152,5.895873015867642,441,879,113,242,2018-05-04_08_51_11,1274,2017-07-10,884518859377713152,http://twitter.com/SenBillNelson/status/884518859377713152
885599803161399298,5.647953995181293,826,1363,400,385,2018-05-04_08_49_43,2805,2017-07-13,885599803161399298,http://twitter.com/SenBillNelson/status/885599803161399298
891469661937815552,5.713414179108387,536,539,127,158,2018-05-04_08_48_16,1705,2017-07-29,891469661937815552,http://twitter.com/SenBillNelson/status/891469661937815552
896486464925683716,5.420000000022575,575,763,137,164,2018-05-04_08_46_50,2103,2017-08-12,896486464925683716,http://twitter.com/SenBillNelson/status/896486464925683716
897577659936407552,5.2930886850458645,654,1495,241,465,2018-05-04_08_45_27,2639,2017-08-15,897577659936407552,http://twitter.com/SenBillNelson/status/897577659936407552
898602891371347968,5.668022388082732,536,546,162,86,2018-05-04_08_44_00,2243,2017-08-18,898602891371347968,http://twitter.com/SenBillNelson/status/898602891371347968
864984703807442946,5.794383561639648,365,905,104,244,2018-05-04_08_59_45,1311,2017-05-17,864984703807442946,http://twitter.com/SenBillNelson/status/864984703807442946
867506757203001345,5.644625176820103,707,810,158,278,2018-05-04_08_58_18,2254,2017-05-24,867506757203001345,http://twitter.com/SenBillNelson/status/867506757203001345
870371261427453952,5.795247844838574,928,1240,212,583,2018-05-04_08_56_50,3085,2017-06-01,870371261427453952,http://twitter.com/SenBillNelson/status/870371261427453952
872475127992242177,5.613568773230761,269,473,78,125,2018-05-04_08_55_24,1153,2017-06-07,872475127992242177,http://twitter.com/SenBillNelson/status/872475127992242177
874989039279120384,5.4082685512456985,566,1084,131,358,2018-05-04_08_54_09,1856,2017-06-14,874989039279120384,http://twitter.com/SenBillNelson/status/874989039279120384
877938861514657793,5.471710887515049,1093,960,261,317,2018-05-04_08_52_40,3658,2017-06-22,877938861514657793,http://twitter.com/SenBillNelson/status/877938861514657793
841401208397004800,5.5678159757636,989,995,414,320,2018-05-04_09_06_48,3234,2017-03-13,841401208397004800,http://twitter.com/SenBillNelson/status/841401208397004800
850169405107523584,5.239092872602755,926,607,285,280,2018-05-04_09_05_23,3252,2017-04-06,850169405107523584,http://twitter.com/SenBillNelson/status/850169405107523584
860232208862326785,5.896935300847473,881,1397,361,425,2018-05-04_09_03_59,2525,2017-05-04,860232208862326785,http://twitter.com/SenBillNelson/status/860232208862326785
862072357782990849,5.828260292203554,753,2225,390,1118,2018-05-04_09_02_31,2624,2017-05-09,862072357782990849,http://twitter.com/SenBillNelson/status/862072357782990849
864607804572786688,5.573880000015179,500,313,116,99,2018-05-04_09_01_11,1940,2017-05-16,864607804572786688,http://twitter.com/SenBillNelson/status/864607804572786688
817146913090924544,5.6803311258232645,302,474,86,105,2018-05-04_10_52_26,1014,2017-01-05,817146913090924544,http://twitter.com/SenBillNelson/status/817146913090924544
823294474642145281,5.782078853083481,837,576,676,94,2018-05-04_10_50_57,2866,2017-01-22,823294474642145281,http://twitter.com/SenBillNelson/status/823294474642145281
827610667393941504,5.695131195330489,343,341,96,64,2018-05-04_10_49_21,1190,2017-02-03,827610667393941504,http://twitter.com/SenBillNelson/status/827610667393941504
832363682940219393,5.984926900615252,684,1518,384,416,2018-05-04_10_47_54,1974,2017-02-16,832363682940219393,http://twitter.com/SenBillNelson/status/832363682940219393
837343611863855105,5.516462480889005,653,902,264,249,2018-05-04_10_46_11,2362,2017-03-02,837343611863855105,http://twitter.com/SenBillNelson/status/837343611863855105
319949088755945472,6.006736842093765,380,60,88,98,2018-05-04_10_59_49,1145,2013-04-04,319949088755945472,http://twitter.com/SenBillNelson/status/319949088755945472
372369965632196609,5.1553932584274,534,8,115,41,2018-05-04_10_58_15,1889,2013-08-27,372369965632196609,http://twitter.com/SenBillNelson/status/372369965632196609
736005135697076224,5.611767068270301,249,238,89,156,2018-05-04_10_56_46,916,2016-05-26,736005135697076224,http://twitter.com/SenBillNelson/status/736005135697076224
743081278321381377,5.305166666706662,780,1414,204,659,2018-05-04_10_55_11,2847,2016-06-15,743081278321381377,http://twitter.com/SenBillNelson/status/743081278321381377
