,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
920002579383443456,5.376112804894892,656,2350,130,1204,2018-05-04_08_31_00,2337,2017-10-16,920002579383443456,http://twitter.com/SenBlumenthal/status/920002579383443456
920650578950262785,5.71346578368442,453,652,138,157,2018-05-04_08_29_35,1750,2017-10-18,920650578950262785,http://twitter.com/SenBlumenthal/status/920650578950262785
920744493267279873,5.5924447717464565,679,1057,212,597,2018-05-04_08_28_10,2841,2017-10-18,920744493267279873,http://twitter.com/SenBlumenthal/status/920744493267279873
921179092220809216,5.462256214171559,523,1441,156,679,2018-05-04_08_25_40,2188,2017-10-19,921179092220809216,http://twitter.com/SenBlumenthal/status/921179092220809216
918488674102337536,5.364943052400728,439,588,136,390,2018-05-04_08_38_07,1738,2017-10-12,918488674102337536,http://twitter.com/SenBlumenthal/status/918488674102337536
918578162623229952,5.528487654318678,324,1713,81,1310,2018-05-04_08_36_38,1311,2017-10-12,918578162623229952,http://twitter.com/SenBlumenthal/status/918578162623229952
918805327482621952,5.514096045196687,354,897,87,348,2018-05-04_08_35_15,1417,2017-10-13,918805327482621952,http://twitter.com/SenBlumenthal/status/918805327482621952
918809241577754624,5.359041095887764,292,449,73,172,2018-05-04_08_33_50,1191,2017-10-13,918809241577754624,http://twitter.com/SenBlumenthal/status/918809241577754624
918873883373113344,5.578544891642705,323,863,101,275,2018-05-04_08_32_26,1526,2017-10-13,918873883373113344,http://twitter.com/SenBlumenthal/status/918873883373113344
917511928477618176,5.5288023952075145,334,1206,90,837,2018-05-04_08_43_43,1416,2017-10-09,917511928477618176,http://twitter.com/SenBlumenthal/status/917511928477618176
917525146868568064,5.641005291027148,567,756,125,278,2018-05-04_08_42_18,2040,2017-10-09,917525146868568064,http://twitter.com/SenBlumenthal/status/917525146868568064
918150345427177472,5.753081232492239,357,542,76,317,2018-05-04_08_40_54,1330,2017-10-11,918150345427177472,http://twitter.com/SenBlumenthal/status/918150345427177472
918168839170469890,5.734151436035633,383,421,96,145,2018-05-04_08_39_31,1457,2017-10-11,918168839170469890,http://twitter.com/SenBlumenthal/status/918168839170469890
916000020469489664,5.102200489036141,818,1319,187,629,2018-05-04_08_50_17,3138,2017-10-05,916000020469489664,http://twitter.com/SenBlumenthal/status/916000020469489664
916087760708087810,5.213924843431367,479,730,109,251,2018-05-04_08_48_30,1657,2017-10-05,916087760708087810,http://twitter.com/SenBlumenthal/status/916087760708087810
916371716787580929,5.184916666664371,360,408,83,118,2018-05-04_08_47_03,1151,2017-10-06,916371716787580929,http://twitter.com/SenBlumenthal/status/916371716787580929
916445895138381824,5.9955282555730545,814,1606,192,329,2018-05-04_08_45_40,2653,2017-10-06,916445895138381824,http://twitter.com/SenBlumenthal/status/916445895138381824
915287397641981952,5.4637019790665375,859,3758,214,1478,2018-05-04_08_57_20,3386,2017-10-03,915287397641981952,http://twitter.com/SenBlumenthal/status/915287397641981952
915333165580943360,5.327223502333781,868,1835,200,973,2018-05-04_08_55_53,3182,2017-10-03,915333165580943360,http://twitter.com/SenBlumenthal/status/915333165580943360
915333391364567040,5.2428571428570105,364,818,85,278,2018-05-04_08_54_34,1325,2017-10-03,915333391364567040,http://twitter.com/SenBlumenthal/status/915333391364567040
915338620160155648,5.080306748505217,815,1381,207,335,2018-05-04_08_53_06,2613,2017-10-03,915338620160155648,http://twitter.com/SenBlumenthal/status/915338620160155648
915677823796436994,5.210204918032319,244,906,76,279,2018-05-04_08_51_43,811,2017-10-04,915677823796436994,http://twitter.com/SenBlumenthal/status/915677823796436994
914495454435569664,5.881464088394532,362,903,100,254,2018-05-04_09_03_36,1198,2017-10-01,914495454435569664,http://twitter.com/SenBlumenthal/status/914495454435569664
914532888191930370,5.475249110341054,562,1909,144,618,2018-05-04_09_02_09,2091,2017-10-01,914532888191930370,http://twitter.com/SenBlumenthal/status/914532888191930370
914820832681226240,4.919213250516965,483,832,88,186,2018-05-04_09_00_14,1511,2017-10-02,914820832681226240,http://twitter.com/SenBlumenthal/status/914820832681226240
914966315437367299,5.2803962264192,530,1969,123,396,2018-05-04_08_58_49,1858,2017-10-02,914966315437367299,http://twitter.com/SenBlumenthal/status/914966315437367299
910297489680617473,5.31711229946495,187,741,74,365,2018-05-04_09_10_38,904,2017-09-19,910297489680617473,http://twitter.com/SenBlumenthal/status/910297489680617473
910514474528002049,5.427205240196625,687,1900,170,737,2018-05-04_09_09_08,2425,2017-09-20,910514474528002049,http://twitter.com/SenBlumenthal/status/910514474528002049
911011318370586624,5.973895348850584,688,3142,262,3149,2018-05-04_09_07_45,2284,2017-09-21,911011318370586624,http://twitter.com/SenBlumenthal/status/911011318370586624
912394146475921410,5.514776699038186,515,3187,134,1052,2018-05-04_09_06_20,1688,2017-09-25,912394146475921410,http://twitter.com/SenBlumenthal/status/912394146475921410
912813240614375424,5.648293216637964,457,1438,121,433,2018-05-04_09_04_59,1547,2017-09-26,912813240614375424,http://twitter.com/SenBlumenthal/status/912813240614375424
908112159338573824,5.454673913037392,368,328,80,106,2018-05-04_10_51_28,1328,2017-09-13,908112159338573824,http://twitter.com/SenBlumenthal/status/908112159338573824
908327510894661633,5.341563786007018,243,464,77,232,2018-05-04_10_49_52,951,2017-09-14,908327510894661633,http://twitter.com/SenBlumenthal/status/908327510894661633
908402516739723265,5.743835978833916,378,316,92,96,2018-05-04_10_48_20,1250,2017-09-14,908402516739723265,http://twitter.com/SenBlumenthal/status/908402516739723265
909475201838047233,5.703257731977493,485,634,110,173,2018-05-04_10_46_02,1715,2017-09-17,909475201838047233,http://twitter.com/SenBlumenthal/status/909475201838047233
908016996008296450,5.787634660429263,427,591,87,194,2018-05-04_10_57_44,1474,2017-09-13,908016996008296450,http://twitter.com/SenBlumenthal/status/908016996008296450
908022603226460163,5.700342131031929,1023,435,230,115,2018-05-04_10_56_16,3390,2017-09-13,908022603226460163,http://twitter.com/SenBlumenthal/status/908022603226460163
908029979312754689,5.769248120294291,399,1284,75,359,2018-05-04_10_54_52,1313,2017-09-13,908029979312754689,http://twitter.com/SenBlumenthal/status/908029979312754689
908108626480517120,5.701544401541669,259,299,70,72,2018-05-04_10_52_50,925,2017-09-13,908108626480517120,http://twitter.com/SenBlumenthal/status/908108626480517120
905456258089615361,5.691833590163357,649,1065,149,355,2018-05-04_11_05_13,2177,2017-09-06,905456258089615361,http://twitter.com/SenBlumenthal/status/905456258089615361
905854050050170881,5.3774168797962165,391,1261,117,613,2018-05-04_11_03_52,1443,2017-09-07,905854050050170881,http://twitter.com/SenBlumenthal/status/905854050050170881
907337535210356736,5.621302083334084,384,370,88,235,2018-05-04_11_02_26,1377,2017-09-11,907337535210356736,http://twitter.com/SenBlumenthal/status/907337535210356736
907423726559526912,5.41652234638334,716,1799,220,825,2018-05-04_11_00_54,2722,2017-09-11,907423726559526912,http://twitter.com/SenBlumenthal/status/907423726559526912
907633045003481088,5.925189075671022,952,11228,465,2841,2018-05-04_10_59_15,3031,2017-09-12,907633045003481088,http://twitter.com/SenBlumenthal/status/907633045003481088
904763844433731584,5.770025252542608,792,962,274,271,2018-05-04_11_09_57,3009,2017-09-04,904763844433731584,http://twitter.com/SenBlumenthal/status/904763844433731584
905105010144550912,5.534993103472482,725,4588,351,2388,2018-05-04_11_08_03,2981,2017-09-05,905105010144550912,http://twitter.com/SenBlumenthal/status/905105010144550912
