,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
919983713500516353,5.670243902439167,82,1893,146,944,2018-05-03_17_43_49,326,2017-10-16,919983713500516353,http://twitter.com/SenBobCasey/status/919983713500516353
920739495712055296,5.837556675057924,397,409,71,166,2018-05-03_17_42_26,1261,2017-10-18,920739495712055296,http://twitter.com/SenBobCasey/status/920739495712055296
921068864640815110,6.144659090904592,440,2104,117,517,2018-05-03_17_41_02,1224,2017-10-19,921068864640815110,http://twitter.com/SenBobCasey/status/921068864640815110
921129434551287809,5.418191747593951,824,3320,190,2443,2018-05-03_17_39_35,2849,2017-10-19,921129434551287809,http://twitter.com/SenBobCasey/status/921129434551287809
921191475605630977,5.4864794007474025,267,4197,324,2273,2018-05-03_17_38_12,883,2017-10-19,921191475605630977,http://twitter.com/SenBobCasey/status/921191475605630977
918503530079707136,5.53965014578178,686,4737,552,3184,2018-05-03_17_50_39,2707,2017-10-12,918503530079707136,http://twitter.com/SenBobCasey/status/918503530079707136
918649005462163457,5.5585583941770444,548,1152,121,655,2018-05-03_17_49_19,2068,2017-10-12,918649005462163457,http://twitter.com/SenBobCasey/status/918649005462163457
918680099213463552,5.509195849561029,771,1355,160,1053,2018-05-03_17_47_55,2864,2017-10-12,918680099213463552,http://twitter.com/SenBobCasey/status/918680099213463552
918840545992167425,5.3934389857407545,631,1253,145,860,2018-05-03_17_46_32,2415,2017-10-13,918840545992167425,http://twitter.com/SenBobCasey/status/918840545992167425
919981353537540096,5.485193482708675,491,1087,108,737,2018-05-03_17_45_09,2034,2017-10-16,919981353537540096,http://twitter.com/SenBobCasey/status/919981353537540096
916332673882345472,5.611568047370279,676,641,122,326,2018-05-03_17_55_49,2451,2017-10-06,916332673882345472,http://twitter.com/SenBobCasey/status/916332673882345472
918134248216907776,5.402301480502112,743,5199,399,3459,2018-05-03_17_53_54,2702,2017-10-11,918134248216907776,http://twitter.com/SenBobCasey/status/918134248216907776
918236148140474368,5.556003956498543,1011,2175,190,2713,2018-05-03_17_52_29,3535,2017-10-11,918236148140474368,http://twitter.com/SenBobCasey/status/918236148140474368
915287454554497025,5.2144970414179435,338,1542,76,720,2018-05-03_18_00_03,1143,2017-10-03,915287454554497025,http://twitter.com/SenBobCasey/status/915287454554497025
915598555418677248,5.464766899811077,858,3110,283,800,2018-05-03_17_58_39,2798,2017-10-04,915598555418677248,http://twitter.com/SenBobCasey/status/915598555418677248
916331468569432064,5.42779969651775,659,1776,167,1253,2018-05-03_17_57_16,2557,2017-10-06,916331468569432064,http://twitter.com/SenBobCasey/status/916331468569432064
913455856808861696,5.408211180155134,805,5935,1.0K,5220,2018-05-03_18_05_59,2623,2017-09-28,913455856808861696,http://twitter.com/SenBobCasey/status/913455856808861696
913833780552626177,5.553052631579313,95,1122,76,729,2018-05-03_18_03_41,302,2017-09-29,913833780552626177,http://twitter.com/SenBobCasey/status/913833780552626177
914819433461374978,5.2313122171926985,221,973,125,134,2018-05-03_18_02_20,769,2017-10-02,914819433461374978,http://twitter.com/SenBobCasey/status/914819433461374978
912143308071342081,5.513093434363466,792,1253,203,1602,2018-05-03_18_11_54,2876,2017-09-24,912143308071342081,http://twitter.com/SenBobCasey/status/912143308071342081
913107548299042826,5.209556786704028,361,764,98,524,2018-05-03_18_10_34,1189,2017-09-27,913107548299042826,http://twitter.com/SenBobCasey/status/913107548299042826
913129515773284354,5.616124137951528,725,1063,179,1435,2018-05-03_18_08_40,2571,2017-09-27,913129515773284354,http://twitter.com/SenBobCasey/status/913129515773284354
913406263211565058,5.2929940119746055,167,603,79,656,2018-05-03_18_07_19,673,2017-09-28,913406263211565058,http://twitter.com/SenBobCasey/status/913406263211565058
910888252411908096,5.6022413793229875,638,996,179,617,2018-05-03_18_18_01,2312,2017-09-21,910888252411908096,http://twitter.com/SenBobCasey/status/910888252411908096
911213718524121093,5.619545454543196,264,1912,78,905,2018-05-03_18_16_30,1063,2017-09-22,911213718524121093,http://twitter.com/SenBobCasey/status/911213718524121093
911246679181062144,5.964392156876032,510,1622,120,502,2018-05-03_18_15_10,1627,2017-09-22,911246679181062144,http://twitter.com/SenBobCasey/status/911246679181062144
911264037236871168,5.325340501791224,279,784,85,432,2018-05-03_18_13_47,1020,2017-09-22,911264037236871168,http://twitter.com/SenBobCasey/status/911264037236871168
910511040613543937,5.729550898198654,334,818,72,334,2018-05-03_18_25_07,1214,2017-09-20,910511040613543937,http://twitter.com/SenBobCasey/status/910511040613543937
910534559267196930,5.467483974365442,624,3056,145,4571,2018-05-03_18_23_43,2402,2017-09-20,910534559267196930,http://twitter.com/SenBobCasey/status/910534559267196930
910599765129355264,5.541065989849134,394,2285,89,1457,2018-05-03_18_22_17,1461,2017-09-20,910599765129355264,http://twitter.com/SenBobCasey/status/910599765129355264
910623458547191810,5.42896103896977,462,1302,129,651,2018-05-03_18_20_50,1786,2017-09-20,910623458547191810,http://twitter.com/SenBobCasey/status/910623458547191810
910841410445873153,5.614112709857673,834,8375,213,5368,2018-05-03_18_19_26,2917,2017-09-21,910841410445873153,http://twitter.com/SenBobCasey/status/910841410445873153
