,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
915206344784965632,5.387608142521357,786,9997,158,2770,2018-05-08_12_35_24,2526,2017-10-03,915206344784965632,http://twitter.com/SenBooker/status/915206344784965632
915234905562533888,5.435359589050544,584,9273,891,2301,2018-05-08_12_33_36,1912,2017-10-03,915234905562533888,http://twitter.com/SenBooker/status/915234905562533888
915576235702571008,5.8872637795488085,508,6859,114,9698,2018-05-08_12_32_02,1947,2017-10-04,915576235702571008,http://twitter.com/SenBooker/status/915576235702571008
918504393351290880,5.490381679402013,786,29366,1.7K,14507,2018-05-08_12_30_17,3335,2017-10-12,918504393351290880,http://twitter.com/SenBooker/status/918504393351290880
918841579321905152,5.6538536585450885,410,1275,117,612,2018-05-08_12_28_51,1595,2017-10-13,918841579321905152,http://twitter.com/SenBooker/status/918841579321905152
911231073589301250,5.4172423398340985,718,10425,300,4865,2018-05-08_12_43_00,2611,2017-09-21,911231073589301250,http://twitter.com/SenBooker/status/911231073589301250
912442151337955328,5.857601246114402,642,7340,177,1149,2018-05-08_12_41_21,1965,2017-09-25,912442151337955328,http://twitter.com/SenBooker/status/912442151337955328
912788040938147840,5.9495956873247735,371,1578,96,574,2018-05-08_12_39_52,1283,2017-09-26,912788040938147840,http://twitter.com/SenBooker/status/912788040938147840
913873626117570560,5.564111498254653,287,1472,80,445,2018-05-08_12_38_17,1117,2017-09-29,913873626117570560,http://twitter.com/SenBooker/status/913873626117570560
914844658865405953,5.235762987023009,616,3071,129,582,2018-05-08_12_36_47,2005,2017-10-02,914844658865405953,http://twitter.com/SenBooker/status/914844658865405953
910510166881263618,5.599450830155373,783,12343,665,24984,2018-05-08_12_50_43,2880,2017-09-19,910510166881263618,http://twitter.com/SenBooker/status/910510166881263618
910560401741549574,5.3245454545528865,1045,6064,420,9033,2018-05-08_12_49_09,3622,2017-09-20,910560401741549574,http://twitter.com/SenBooker/status/910560401741549574
910585356755591168,5.7617460317480145,378,1358,96,312,2018-05-08_12_47_41,1175,2017-09-20,910585356755591168,http://twitter.com/SenBooker/status/910585356755591168
910960526649421829,5.701181619292124,914,5278,185,4217,2018-05-08_12_46_10,3492,2017-09-21,910960526649421829,http://twitter.com/SenBooker/status/910960526649421829
910964057380933637,5.6432367972878925,587,7985,534,6835,2018-05-08_12_44_33,2403,2017-09-21,910964057380933637,http://twitter.com/SenBooker/status/910964057380933637
909782585345282049,5.262246376807687,414,1087,71,1397,2018-05-08_12_58_37,1364,2017-09-18,909782585345282049,http://twitter.com/SenBooker/status/909782585345282049
909800961056665600,5.795572289151621,332,2566,92,1231,2018-05-08_12_57_08,1081,2017-09-18,909800961056665600,http://twitter.com/SenBooker/status/909800961056665600
