,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
855560817793683460,5.69333808844794,701,1802,314,653,2018-05-04_16_01_28,2798,2017-04-21,855560817793683460,http://twitter.com/SenBrianSchatz/status/855560817793683460
864664747270172672,5.989999999999322,251,1095,69,571,2018-05-04_15_59_52,783,2017-05-16,864664747270172672,http://twitter.com/SenBrianSchatz/status/864664747270172672
865198089191264256,5.989999999999322,251,1095,69,571,2018-05-04_15_58_20,783,2017-05-16,865198089191264256,http://twitter.com/SenBrianSchatz/status/865198089191264256
890627484114313216,5.734233333327782,300,841,108,356,2018-05-04_15_56_43,1131,2017-07-27,890627484114313216,http://twitter.com/SenBrianSchatz/status/890627484114313216
890763729490644992,5.734233333327782,300,841,108,356,2018-05-04_15_55_17,1131,2017-07-27,890763729490644992,http://twitter.com/SenBrianSchatz/status/890763729490644992
898662950008913924,5.387410423461968,614,626,192,236,2018-05-04_15_53_27,2407,2017-08-18,898662950008913924,http://twitter.com/SenBrianSchatz/status/898662950008913924
832637585361035266,5.910418250950077,263,2362,90,1317,2018-05-04_16_09_34,903,2017-02-16,832637585361035266,http://twitter.com/SenBrianSchatz/status/832637585361035266
837715478395162627,5.608553113572996,546,47631,784,17586,2018-05-04_16_07_54,2235,2017-03-03,837715478395162627,http://twitter.com/SenBrianSchatz/status/837715478395162627
841423515794440196,5.428511749345351,383,737,113,552,2018-05-04_16_06_20,1364,2017-03-13,841423515794440196,http://twitter.com/SenBrianSchatz/status/841423515794440196
849781898062831617,5.535367965367507,231,739,77,279,2018-05-04_16_04_49,906,2017-04-05,849781898062831617,http://twitter.com/SenBrianSchatz/status/849781898062831617
850196630666002439,5.361988130560745,337,781,85,420,2018-05-04_16_03_17,1342,2017-04-06,850196630666002439,http://twitter.com/SenBrianSchatz/status/850196630666002439
710146887676985344,5.6579481132238945,424,6794,472,4864,2018-05-04_16_19_51,1840,2016-03-16,710146887676985344,http://twitter.com/SenBrianSchatz/status/710146887676985344
727593754257985538,5.884066390062486,723,1957,172,1212,2018-05-04_16_18_20,2797,2016-05-02,727593754257985538,http://twitter.com/SenBrianSchatz/status/727593754257985538
770748551999750144,6.266514161231807,459,6334,187,2021,2018-05-04_16_16_50,1607,2016-08-30,770748551999750144,http://twitter.com/SenBrianSchatz/status/770748551999750144
798642331301724160,5.698040345833322,694,54840,705,25479,2018-05-04_16_14_56,2646,2016-11-14,798642331301724160,http://twitter.com/SenBrianSchatz/status/798642331301724160
821507581420113920,5.568992805774618,695,8221,782,14840,2018-05-04_16_13_15,2886,2017-01-17,821507581420113920,http://twitter.com/SenBrianSchatz/status/821507581420113920
821748077161775104,5.616904761904106,252,1657,92,974,2018-05-04_16_11_32,909,2017-01-18,821748077161775104,http://twitter.com/SenBrianSchatz/status/821748077161775104
348532869506932737,5.8154545454755056,946,392,320,1553,2018-05-04_16_28_53,3484,2013-06-22,348532869506932737,http://twitter.com/SenBrianSchatz/status/348532869506932737
636208638282072064,5.823255813951221,172,123,86,126,2018-05-04_16_27_27,880,2015-08-25,636208638282072064,http://twitter.com/SenBrianSchatz/status/636208638282072064
656863962114338816,5.798515625000543,256,772,102,574,2018-05-04_16_25_57,967,2015-10-19,656863962114338816,http://twitter.com/SenBrianSchatz/status/656863962114338816
661225995052187649,5.738377192994283,684,5409,1.4K,2849,2018-05-04_16_24_26,2552,2015-11-01,661225995052187649,http://twitter.com/SenBrianSchatz/status/661225995052187649
702245227105533957,5.7563894967364275,457,8020,483,4061,2018-05-04_16_22_57,1941,2016-02-22,702245227105533957,http://twitter.com/SenBrianSchatz/status/702245227105533957
704754371180032005,5.877992278022553,518,8684,607,4390,2018-05-04_16_21_29,2185,2016-02-29,704754371180032005,http://twitter.com/SenBrianSchatz/status/704754371180032005
