,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
911984075660959744,5.2382731958698034,388,35,82,7,2018-05-05_16_54_40,1330,2017-09-24,911984075660959744,http://twitter.com/SenCapito/status/911984075660959744
912302166852952065,5.508399999998543,275,28,70,11,2018-05-05_16_53_09,1021,2017-09-25,912302166852952065,http://twitter.com/SenCapito/status/912302166852952065
914856866332790787,5.299209756153142,1025,76,258,23,2018-05-05_16_51_11,3232,2017-10-02,914856866332790787,http://twitter.com/SenCapito/status/914856866332790787
917800154291494912,5.740975609754735,369,24,84,8,2018-05-05_16_49_45,1110,2017-10-10,917800154291494912,http://twitter.com/SenCapito/status/917800154291494912
918215390282559490,5.423308270676439,399,29,85,15,2018-05-05_16_48_08,1221,2017-10-11,918215390282559490,http://twitter.com/SenCapito/status/918215390282559490
918586654864142336,5.458791079833999,852,101,298,18,2018-05-05_16_46_39,2653,2017-10-12,918586654864142336,http://twitter.com/SenCapito/status/918586654864142336
903055888336003072,5.625691699602189,253,123,76,33,2018-05-05_17_04_07,856,2017-08-30,903055888336003072,http://twitter.com/SenCapito/status/903055888336003072
909817297837027333,5.315668016198459,494,35,91,11,2018-05-05_17_02_26,1515,2017-09-18,909817297837027333,http://twitter.com/SenCapito/status/909817297837027333
910243811036733440,5.227359999995847,375,10,71,5,2018-05-05_17_00_47,1259,2017-09-19,910243811036733440,http://twitter.com/SenCapito/status/910243811036733440
910520483686309889,5.559408983448443,423,14,88,9,2018-05-05_16_59_06,1216,2017-09-20,910520483686309889,http://twitter.com/SenCapito/status/910520483686309889
911232874266759168,5.389854014596204,274,15,113,4,2018-05-05_16_57_35,866,2017-09-22,911232874266759168,http://twitter.com/SenCapito/status/911232874266759168
911732733646340098,5.38584795323991,684,52,144,11,2018-05-05_16_56_10,2196,2017-09-23,911732733646340098,http://twitter.com/SenCapito/status/911732733646340098
890828796953341952,5.621567080074726,887,58,620,25,2018-05-05_17_13_39,2800,2017-07-27,890828796953341952,http://twitter.com/SenCapito/status/890828796953341952
891658388748120064,5.628269581080092,549,20,81,3,2018-05-05_17_12_01,1835,2017-07-30,891658388748120064,http://twitter.com/SenCapito/status/891658388748120064
895729984035319809,5.502999999996411,400,259,91,75,2018-05-05_17_10_32,1338,2017-08-10,895729984035319809,http://twitter.com/SenCapito/status/895729984035319809
896022355880935425,5.5844172932478235,532,114,130,24,2018-05-05_17_08_58,1753,2017-08-11,896022355880935425,http://twitter.com/SenCapito/status/896022355880935425
896459053899161601,5.304805194806347,385,225,109,62,2018-05-05_17_07_33,1463,2017-08-12,896459053899161601,http://twitter.com/SenCapito/status/896459053899161601
897119909825703936,5.334282560716952,453,208,101,39,2018-05-05_17_05_55,1897,2017-08-14,897119909825703936,http://twitter.com/SenCapito/status/897119909825703936
890262350267383809,5.688848484870107,660,42,149,5,2018-05-05_17_22_32,2145,2017-07-26,890262350267383809,http://twitter.com/SenCapito/status/890262350267383809
890354782262743041,5.377150943411879,530,31,116,3,2018-05-05_17_21_05,1692,2017-07-26,890354782262743041,http://twitter.com/SenCapito/status/890354782262743041
890615247219945472,5.604754672915219,856,190,210,28,2018-05-05_17_19_36,2838,2017-07-27,890615247219945472,http://twitter.com/SenCapito/status/890615247219945472
890615586673246208,5.536966292133207,356,8,93,1,2018-05-05_17_18_11,1195,2017-07-27,890615586673246208,http://twitter.com/SenCapito/status/890615586673246208
890731495656181760,5.555572649590694,585,82,119,20,2018-05-05_17_16_46,1875,2017-07-27,890731495656181760,http://twitter.com/SenCapito/status/890731495656181760
890740573723918337,5.416643564384767,1010,41,200,8,2018-05-05_17_15_19,3012,2017-07-27,890740573723918337,http://twitter.com/SenCapito/status/890740573723918337
889851368005042176,5.386249999997706,256,16,81,5,2018-05-05_17_29_52,804,2017-07-25,889851368005042176,http://twitter.com/SenCapito/status/889851368005042176
889888214244368385,5.493576923090322,520,18,127,3,2018-05-05_17_28_19,1592,2017-07-25,889888214244368385,http://twitter.com/SenCapito/status/889888214244368385
889912726146908161,5.4843968095904385,1003,506,5.2K,352,2018-05-05_17_26_45,3048,2017-07-25,889912726146908161,http://twitter.com/SenCapito/status/889912726146908161
890208096534089728,5.510736842118397,475,27,98,8,2018-05-05_17_25_26,1521,2017-07-26,890208096534089728,http://twitter.com/SenCapito/status/890208096534089728
890251211068383232,5.593016688078772,779,70,165,14,2018-05-05_17_24_04,2649,2017-07-26,890251211068383232,http://twitter.com/SenCapito/status/890251211068383232
888823893020094465,5.4869918699340055,1107,91,658,36,2018-05-05_19_35_13,3494,2017-07-22,888823893020094465,http://twitter.com/SenCapito/status/888823893020094465
889134355674693632,5.3222608695652704,115,108,1.4K,83,2018-05-05_19_33_43,375,2017-07-23,889134355674693632,http://twitter.com/SenCapito/status/889134355674693632
889162442189701120,5.667943661965972,355,33,77,5,2018-05-05_17_34_11,1195,2017-07-23,889162442189701120,http://twitter.com/SenCapito/status/889162442189701120
889472232942120961,5.630000000001407,434,207,295,35,2018-05-05_17_32_47,1383,2017-07-24,889472232942120961,http://twitter.com/SenCapito/status/889472232942120961
889835345617059840,5.74800690253903,1159,100,230,28,2018-05-05_17_31_13,3493,2017-07-25,889835345617059840,http://twitter.com/SenCapito/status/889835345617059840
887724335418548224,5.674463562772081,988,478,424,118,2018-05-05_19_43_18,3580,2017-07-19,887724335418548224,http://twitter.com/SenCapito/status/887724335418548224
887784112173580288,5.576590509681207,569,29,105,6,2018-05-05_19_41_38,2001,2017-07-19,887784112173580288,http://twitter.com/SenCapito/status/887784112173580288
888459007463223296,5.565063045608801,1031,95,310,30,2018-05-05_19_39_55,3491,2017-07-21,888459007463223296,http://twitter.com/SenCapito/status/888459007463223296
888539173199659008,5.760306748490452,978,257,297,95,2018-05-05_19_38_15,3388,2017-07-21,888539173199659008,http://twitter.com/SenCapito/status/888539173199659008
888746702768939008,5.5774733096055344,281,62,73,13,2018-05-05_19_36_41,1075,2017-07-22,888746702768939008,http://twitter.com/SenCapito/status/888746702768939008
887319867208204292,5.68963402575196,1011,8950,2.0K,2841,2018-05-05_19_51_11,3146,2017-07-18,887319867208204292,http://twitter.com/SenCapito/status/887319867208204292
887329090147147776,5.567690607752856,905,2151,3.9K,817,2018-05-05_19_49_32,2782,2017-07-18,887329090147147776,http://twitter.com/SenCapito/status/887329090147147776
887335925667287040,5.7628721174185165,477,173,123,16,2018-05-05_19_47_59,1734,2017-07-18,887335925667287040,http://twitter.com/SenCapito/status/887335925667287040
887447392903188480,5.603066666670358,450,26,101,2,2018-05-05_19_46_37,1448,2017-07-18,887447392903188480,http://twitter.com/SenCapito/status/887447392903188480
887449720578355204,5.550664556958611,316,54,89,9,2018-05-05_19_45_08,1131,2017-07-18,887449720578355204,http://twitter.com/SenCapito/status/887449720578355204
885570471751757826,5.442639405203688,269,325,325,169,2018-05-05_19_57_10,794,2017-07-13,885570471751757826,http://twitter.com/SenCapito/status/885570471751757826
