,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
915031804956078081,5.959457994577862,369,6173,107,9013,2018-05-05_16_53_49,1083,2017-10-02,915031804956078081,http://twitter.com/SenCortezMasto/status/915031804956078081
915760262115930119,5.941548821546968,297,6574,89,567,2018-05-05_16_52_21,927,2017-10-04,915760262115930119,http://twitter.com/SenCortezMasto/status/915760262115930119
916075929520177152,5.9377514792895045,169,12830,75,3700,2018-05-05_16_50_47,605,2017-10-05,916075929520177152,http://twitter.com/SenCortezMasto/status/916075929520177152
916128710545289221,6.347397260273511,292,3359,78,962,2018-05-05_16_49_10,732,2017-10-05,916128710545289221,http://twitter.com/SenCortezMasto/status/916128710545289221
917144023852253192,5.814336283185292,113,4286,71,1544,2018-05-05_16_47_37,381,2017-10-08,917144023852253192,http://twitter.com/SenCortezMasto/status/917144023852253192
910676191039905792,5.601792260729213,982,12280,337,20842,2018-05-05_17_01_38,3478,2017-09-20,910676191039905792,http://twitter.com/SenCortezMasto/status/910676191039905792
913857128196173824,5.7016906474792295,278,964,81,377,2018-05-05_17_00_00,926,2017-09-29,913857128196173824,http://twitter.com/SenCortezMasto/status/913857128196173824
914815782240096256,5.681277139238938,783,48055,281,36930,2018-05-05_16_58_13,2650,2017-10-02,914815782240096256,http://twitter.com/SenCortezMasto/status/914815782240096256
914876303949606912,5.635359281435858,334,35855,429,35265,2018-05-05_16_56_53,971,2017-10-02,914876303949606912,http://twitter.com/SenCortezMasto/status/914876303949606912
914883068439273473,5.674079254078183,429,2738,95,2501,2018-05-05_16_55_20,1331,2017-10-02,914883068439273473,http://twitter.com/SenCortezMasto/status/914883068439273473
901903273241837573,6.077180616753751,454,2362,78,3189,2018-05-05_17_09_12,1557,2017-08-25,901903273241837573,http://twitter.com/SenCortezMasto/status/901903273241837573
906274296380706817,5.6756476683923225,193,48933,802,58887,2018-05-05_17_07_45,664,2017-09-08,906274296380706817,http://twitter.com/SenCortezMasto/status/906274296380706817
906276759607357440,5.800078651707298,890,4471,213,2620,2018-05-05_17_05_51,3613,2017-09-08,906276759607357440,http://twitter.com/SenCortezMasto/status/906276759607357440
910675143407448064,5.521353846149847,325,1513,114,2917,2018-05-05_17_03_22,1189,2017-09-20,910675143407448064,http://twitter.com/SenCortezMasto/status/910675143407448064
889904496431779842,5.553720238116174,672,2473,202,1938,2018-05-05_17_17_05,2602,2017-07-25,889904496431779842,http://twitter.com/SenCortezMasto/status/889904496431779842
897560487264739328,5.3501428571482155,420,1974,117,755,2018-05-05_17_15_37,1578,2017-08-15,897560487264739328,http://twitter.com/SenCortezMasto/status/897560487264739328
898628069740630017,5.273811320753193,265,46130,5.1K,15798,2018-05-05_17_14_06,1086,2017-08-18,898628069740630017,http://twitter.com/SenCortezMasto/status/898628069740630017
901257733051207680,5.264589041104661,438,999,168,504,2018-05-05_17_12_18,1781,2017-08-25,901257733051207680,http://twitter.com/SenCortezMasto/status/901257733051207680
901903066554929152,5.809559999997053,250,6321,134,6334,2018-05-05_17_10_40,949,2017-08-25,901903066554929152,http://twitter.com/SenCortezMasto/status/901903066554929152
851854116955582464,6.109251700679214,147,1001645,38K,3647234,2018-05-05_17_24_29,795,2017-04-05,851854116955582464,http://twitter.com/SenCortezMasto/status/851854116955582464
860559187495055361,5.594855491339688,519,1968,146,1465,2018-05-05_17_22_57,1523,2017-05-04,860559187495055361,http://twitter.com/SenCortezMasto/status/860559187495055361
867835670412316673,5.310684454780059,862,55470,1.2K,14750,2018-05-05_17_21_27,2951,2017-05-25,867835670412316673,http://twitter.com/SenCortezMasto/status/867835670412316673
875067004360806400,5.8561842105482675,760,5795,167,2591,2018-05-05_17_19_57,2175,2017-06-14,875067004360806400,http://twitter.com/SenCortezMasto/status/875067004360806400
875755861154594816,5.683208556148872,374,1988,98,1597,2018-05-05_17_18_36,1307,2017-06-16,875755861154594816,http://twitter.com/SenCortezMasto/status/875755861154594816
835278157724987396,5.177518796989431,266,348,96,170,2018-05-05_17_30_48,1055,2017-02-24,835278157724987396,http://twitter.com/SenCortezMasto/status/835278157724987396
836792323619110913,5.740967741935058,279,782,88,304,2018-05-05_17_29_25,993,2017-02-28,836792323619110913,http://twitter.com/SenCortezMasto/status/836792323619110913
837414285085143040,5.339673913038828,276,1259,93,608,2018-05-05_17_28_01,1091,2017-03-02,837414285085143040,http://twitter.com/SenCortezMasto/status/837414285085143040
849781200482742272,5.836617647065599,408,2894,121,1312,2018-05-05_17_26_05,1883,2017-04-05,849781200482742272,http://twitter.com/SenCortezMasto/status/849781200482742272
825810909759152128,5.741934984544753,646,8192,267,2632,2018-05-05_19_36_10,2040,2017-01-29,825810909759152128,http://twitter.com/SenCortezMasto/status/825810909759152128
826185043878039553,5.5155445544714246,505,1458,189,589,2018-05-05_19_34_46,1761,2017-01-30,826185043878039553,http://twitter.com/SenCortezMasto/status/826185043878039553
829167544938414081,5.641611721608917,273,3135,138,3019,2018-05-05_17_34_58,1191,2017-02-07,829167544938414081,http://twitter.com/SenCortezMasto/status/829167544938414081
832377632939470849,5.669098039212111,255,1746,92,443,2018-05-05_17_33_36,835,2017-02-16,832377632939470849,http://twitter.com/SenCortezMasto/status/832377632939470849
834088708781518849,5.5654416961110185,283,705,71,423,2018-05-05_17_32_10,1097,2017-02-21,834088708781518849,http://twitter.com/SenCortezMasto/status/834088708781518849
817434304494137344,6.139767184058896,902,22089,254,8199,2018-05-05_19_44_01,2391,2017-01-06,817434304494137344,http://twitter.com/SenCortezMasto/status/817434304494137344
817438460692877312,5.439333333348683,495,860,165,516,2018-05-05_19_42_19,1745,2017-01-06,817438460692877312,http://twitter.com/SenCortezMasto/status/817438460692877312
820023441726246914,5.948749999994684,320,1739,98,1017,2018-05-05_19_40_47,1039,2017-01-13,820023441726246914,http://twitter.com/SenCortezMasto/status/820023441726246914
824382963282493441,5.7179919678698035,249,516,86,372,2018-05-05_19_39_08,922,2017-01-25,824382963282493441,http://twitter.com/SenCortezMasto/status/824382963282493441
824654069495062529,5.660920398021288,402,8504,122,7890,2018-05-05_19_37_39,1783,2017-01-26,824654069495062529,http://twitter.com/SenCortezMasto/status/824654069495062529
