,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
917797947575640064,5.940175000008211,400,46,84,15,2018-05-03_22_18_15,1500,2017-10-10,917797947575640064,http://twitter.com/SenCoryGardner/status/917797947575640064
920334601213669386,5.458481797022187,1291,31,233,28,2018-05-03_22_16_45,4099,2017-10-17,920334601213669386,http://twitter.com/SenCoryGardner/status/920334601213669386
920689855604187136,5.508279883408233,686,26,115,15,2018-05-03_22_15_18,2206,2017-10-18,920689855604187136,http://twitter.com/SenCoryGardner/status/920689855604187136
920993940928696320,5.571778350521411,388,11,75,17,2018-05-03_22_13_54,1474,2017-10-19,920993940928696320,http://twitter.com/SenCoryGardner/status/920993940928696320
921095241838551040,5.374775641041429,624,30,112,13,2018-05-03_22_12_24,1957,2017-10-19,921095241838551040,http://twitter.com/SenCoryGardner/status/921095241838551040
921193395120459777,5.450680970175153,1072,132,459,28,2018-05-03_22_11_00,3373,2017-10-19,921193395120459777,http://twitter.com/SenCoryGardner/status/921193395120459777
915334965956669440,5.886101694913652,236,224,71,31,2018-05-03_22_26_52,726,2017-10-03,915334965956669440,http://twitter.com/SenCoryGardner/status/915334965956669440
915574835148984322,5.364570502439831,617,31,113,13,2018-05-03_22_25_26,1964,2017-10-04,915574835148984322,http://twitter.com/SenCoryGardner/status/915574835148984322
915586014328041473,5.667988904333264,721,36,161,41,2018-05-03_22_23_53,2716,2017-10-04,915586014328041473,http://twitter.com/SenCoryGardner/status/915586014328041473
915990823275257856,5.7085964912254115,342,13,93,15,2018-05-03_22_22_26,1233,2017-10-05,915990823275257856,http://twitter.com/SenCoryGardner/status/915990823275257856
916367970737168384,5.7244668587838605,347,44,99,7,2018-05-03_22_21_06,1423,2017-10-06,916367970737168384,http://twitter.com/SenCoryGardner/status/916367970737168384
916726931390791681,5.8617958412359625,529,277,126,77,2018-05-03_22_19_39,1950,2017-10-07,916726931390791681,http://twitter.com/SenCoryGardner/status/916726931390791681
912756245165232128,5.554988344997527,429,40,106,27,2018-05-03_22_35_51,1684,2017-09-26,912756245165232128,http://twitter.com/SenCoryGardner/status/912756245165232128
