,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
877995826081144832,5.4204958677652195,363,19,75,12,2018-05-04_17_46_39,1061,2017-06-22,877995826081144832,http://twitter.com/SenDanSullivan/status/877995826081144832
895061002173259776,5.311244239636314,651,608,174,231,2018-05-04_17_44_44,2261,2017-08-08,895061002173259776,http://twitter.com/SenDanSullivan/status/895061002173259776
895073957761744897,5.371076923075164,195,102,73,57,2018-05-04_17_43_01,822,2017-08-08,895073957761744897,http://twitter.com/SenDanSullivan/status/895073957761744897
898243926301093889,5.695277435297783,811,1764,285,594,2018-05-04_17_41_15,3175,2017-08-17,898243926301093889,http://twitter.com/SenDanSullivan/status/898243926301093889
910584692763656192,5.516780383806807,469,13,74,8,2018-05-04_17_39_29,1646,2017-09-20,910584692763656192,http://twitter.com/SenDanSullivan/status/910584692763656192
672229103450370048,5.360203160271184,443,8,111,6,2018-05-04_17_54_44,1482,2015-12-02,672229103450370048,http://twitter.com/SenDanSullivan/status/672229103450370048
784821049628196864,5.600714285743861,756,888,499,670,2018-05-04_17_53_10,2658,2016-10-08,784821049628196864,http://twitter.com/SenDanSullivan/status/784821049628196864
826840736289128449,5.516780575569829,556,48,207,27,2018-05-04_17_51_35,2382,2017-02-01,826840736289128449,http://twitter.com/SenDanSullivan/status/826840736289128449
826841798328844291,5.706995305202015,639,44,168,15,2018-05-04_17_49_58,2250,2017-02-01,826841798328844291,http://twitter.com/SenDanSullivan/status/826841798328844291
850451553492271105,5.116252045842321,611,865,173,202,2018-05-04_17_48_17,2359,2017-04-07,850451553492271105,http://twitter.com/SenDanSullivan/status/850451553492271105
