,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
916069068146438145,5.9377514792895045,169,12833,75,3700,2018-05-03_22_28_57,605,2017-10-05,916069068146438145,http://twitter.com/SenDeanHeller/status/916069068146438145
916409428756389893,5.250678233463568,634,67,152,32,2018-05-03_22_27_29,2410,2017-10-06,916409428756389893,http://twitter.com/SenDeanHeller/status/916409428756389893
916785468087390213,5.307907542577784,411,73,79,22,2018-05-03_22_26_01,1281,2017-10-07,916785468087390213,http://twitter.com/SenDeanHeller/status/916785468087390213
916821331886399494,5.472810650886191,338,130,86,24,2018-05-03_22_24_33,1105,2017-10-07,916821331886399494,http://twitter.com/SenDeanHeller/status/916821331886399494
918520148251770882,5.4464406779875185,885,120,373,28,2018-05-03_22_23_04,2980,2017-10-12,918520148251770882,http://twitter.com/SenDeanHeller/status/918520148251770882
921189838392643584,5.572013793129576,725,57,145,18,2018-05-03_22_21_35,2201,2017-10-19,921189838392643584,http://twitter.com/SenDeanHeller/status/921189838392643584
914980566948352000,5.176152019003643,421,175,100,58,2018-05-03_22_37_35,1404,2017-10-02,914980566948352000,http://twitter.com/SenDeanHeller/status/914980566948352000
915021187679440896,5.951045576405326,373,6175,107,9022,2018-05-03_22_36_08,1095,2017-10-02,915021187679440896,http://twitter.com/SenDeanHeller/status/915021187679440896
915228846240264198,5.510024449875819,409,99,82,30,2018-05-03_22_34_48,1311,2017-10-03,915228846240264198,http://twitter.com/SenDeanHeller/status/915228846240264198
915657010166853633,5.52353174604578,504,161,140,39,2018-05-03_22_33_22,1916,2017-10-04,915657010166853633,http://twitter.com/SenDeanHeller/status/915657010166853633
915688291986558977,5.5590849673388245,765,182,221,53,2018-05-03_22_31_55,2550,2017-10-04,915688291986558977,http://twitter.com/SenDeanHeller/status/915688291986558977
915775340747853824,5.660641221398143,655,1814,678,598,2018-05-03_22_30_28,2149,2017-10-04,915775340747853824,http://twitter.com/SenDeanHeller/status/915775340747853824
914884115450728449,5.3065257596122635,757,225,417,38,2018-05-03_22_44_24,2508,2017-10-02,914884115450728449,http://twitter.com/SenDeanHeller/status/914884115450728449
914938536515850242,5.005065789472794,304,61,77,21,2018-05-03_22_42_59,1079,2017-10-02,914938536515850242,http://twitter.com/SenDeanHeller/status/914938536515850242
914944820686278657,5.3397678571547615,560,79,148,17,2018-05-03_22_41_36,1936,2017-10-02,914944820686278657,http://twitter.com/SenDeanHeller/status/914944820686278657
914950851067867136,5.407511415527148,438,1148,82,280,2018-05-03_22_40_11,1394,2017-10-02,914950851067867136,http://twitter.com/SenDeanHeller/status/914950851067867136
914976237604483072,5.3390068493130585,292,40,67,37,2018-05-03_22_38_52,901,2017-10-02,914976237604483072,http://twitter.com/SenDeanHeller/status/914976237604483072
912446305645072387,5.395339925859723,809,51,536,18,2018-05-03_22_51_26,2713,2017-09-25,912446305645072387,http://twitter.com/SenDeanHeller/status/912446305645072387
913093765342138369,5.492569558121039,611,24,121,7,2018-05-03_22_50_06,1935,2017-09-27,913093765342138369,http://twitter.com/SenDeanHeller/status/913093765342138369
914800113624784897,5.194431946044147,889,450,248,194,2018-05-03_22_48_41,2788,2017-10-02,914800113624784897,http://twitter.com/SenDeanHeller/status/914800113624784897
914852508425703424,5.2231669535369045,581,923,133,452,2018-05-03_22_47_16,1838,2017-10-02,914852508425703424,http://twitter.com/SenDeanHeller/status/914852508425703424
914854704861077504,5.8031674208287205,663,35854,429,35277,2018-05-03_22_45_50,1863,2017-10-02,914854704861077504,http://twitter.com/SenDeanHeller/status/914854704861077504
910588106734211072,5.6614646464657925,396,21,97,7,2018-05-03_22_58_33,1417,2017-09-20,910588106734211072,http://twitter.com/SenDeanHeller/status/910588106734211072
910629415176097793,5.1719872814258725,629,23,138,8,2018-05-03_22_57_10,2051,2017-09-20,910629415176097793,http://twitter.com/SenDeanHeller/status/910629415176097793
910639216631205888,5.3968437500367425,960,46,330,17,2018-05-03_22_55_44,3141,2017-09-20,910639216631205888,http://twitter.com/SenDeanHeller/status/910639216631205888
910878853983240192,5.424291666680281,720,50,175,14,2018-05-03_22_54_16,2298,2017-09-21,910878853983240192,http://twitter.com/SenDeanHeller/status/910878853983240192
911723266816999425,5.5095772357921415,615,60,177,13,2018-05-03_22_52_52,2232,2017-09-23,911723266816999425,http://twitter.com/SenDeanHeller/status/911723266816999425
910259349641203713,5.429392624744176,922,90,1.1K,43,2018-05-03_23_05_19,2922,2017-09-19,910259349641203713,http://twitter.com/SenDeanHeller/status/910259349641203713
910271565044035585,5.280613839303286,896,32,502,18,2018-05-03_23_03_50,3077,2017-09-19,910271565044035585,http://twitter.com/SenDeanHeller/status/910271565044035585
910293898022539265,5.4959947643908675,382,17,86,7,2018-05-03_23_02_31,1195,2017-09-19,910293898022539265,http://twitter.com/SenDeanHeller/status/910293898022539265
910297247224614912,5.587174603171476,315,40,80,15,2018-05-03_23_01_11,1092,2017-09-19,910297247224614912,http://twitter.com/SenDeanHeller/status/910297247224614912
910536139429355520,5.542224669601426,454,52,109,10,2018-05-03_22_59_53,1322,2017-09-20,910536139429355520,http://twitter.com/SenDeanHeller/status/910536139429355520
908835838691364864,5.337978339348092,277,20,76,5,2018-05-03_23_10_56,981,2017-09-15,908835838691364864,http://twitter.com/SenDeanHeller/status/908835838691364864
909783962440077314,5.487828162292288,419,11,80,6,2018-05-03_23_09_32,1427,2017-09-18,909783962440077314,http://twitter.com/SenDeanHeller/status/909783962440077314
909907262835224577,5.48331384016934,513,76,123,26,2018-05-03_23_08_08,1717,2017-09-18,909907262835224577,http://twitter.com/SenDeanHeller/status/909907262835224577
910190955537551360,5.235892420535733,409,17,72,4,2018-05-03_23_06_44,1421,2017-09-19,910190955537551360,http://twitter.com/SenDeanHeller/status/910190955537551360
902992131614281728,5.289417989411668,378,23,80,6,2018-05-03_23_18_19,1250,2017-08-30,902992131614281728,http://twitter.com/SenDeanHeller/status/902992131614281728
902992378990034944,5.36032203391648,590,52,117,23,2018-05-03_23_16_53,1905,2017-08-30,902992378990034944,http://twitter.com/SenDeanHeller/status/902992378990034944
903383195143548929,5.608225563935431,665,33,156,12,2018-05-03_23_15_30,2574,2017-08-31,903383195143548929,http://twitter.com/SenDeanHeller/status/903383195143548929
907793245861761029,5.566089552236239,335,23,69,3,2018-05-03_23_14_08,1265,2017-09-12,907793245861761029,http://twitter.com/SenDeanHeller/status/907793245861761029
908036871695020034,5.501143552310055,411,21,87,17,2018-05-03_23_12_46,1409,2017-09-13,908036871695020034,http://twitter.com/SenDeanHeller/status/908036871695020034
