,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
897612068261593088,5.786909090907671,275,560,99,148,2018-05-05_15_50_21,1216,2017-08-15,897612068261593088,http://twitter.com/SenDonnelly/status/897612068261593088
904766362513498116,5.721777777779457,405,404,93,154,2018-05-05_15_48_59,1475,2017-09-04,904766362513498116,http://twitter.com/SenDonnelly/status/904766362513498116
912786951757025281,5.495156249996348,384,59,89,24,2018-05-05_15_47_37,1316,2017-09-26,912786951757025281,http://twitter.com/SenDonnelly/status/912786951757025281
913146899229749249,5.662881355939094,472,285,107,101,2018-05-05_15_46_16,1490,2017-09-27,913146899229749249,http://twitter.com/SenDonnelly/status/913146899229749249
914843327207440385,5.516759259257723,324,102,70,28,2018-05-05_15_44_59,1070,2017-10-02,914843327207440385,http://twitter.com/SenDonnelly/status/914843327207440385
848589059253563392,5.587626918560712,847,857,2.3K,471,2018-05-05_15_57_10,2892,2017-04-02,848589059253563392,http://twitter.com/SenDonnelly/status/848589059253563392
862083104072232964,6.132190812717138,283,661,113,349,2018-05-05_15_55_50,1032,2017-05-09,862083104072232964,http://twitter.com/SenDonnelly/status/862083104072232964
878031360887103489,5.481072796933037,261,226,71,84,2018-05-05_15_54_31,913,2017-06-22,878031360887103489,http://twitter.com/SenDonnelly/status/878031360887103489
889939530379395072,5.845412262156673,473,298,101,62,2018-05-05_15_53_09,1369,2017-07-25,889939530379395072,http://twitter.com/SenDonnelly/status/889939530379395072
890822493128097792,6.045904255311783,376,278,101,70,2018-05-05_15_51_47,1122,2017-07-27,890822493128097792,http://twitter.com/SenDonnelly/status/890822493128097792
826917454865645576,6.0738961038899975,385,474,114,87,2018-05-05_16_03_13,1071,2017-02-01,826917454865645576,http://twitter.com/SenDonnelly/status/826917454865645576
827229671720902659,6.008216318802033,527,566,158,135,2018-05-05_16_01_44,1670,2017-02-02,827229671720902659,http://twitter.com/SenDonnelly/status/827229671720902659
829090375499390976,6.103595284875086,509,504,125,60,2018-05-05_15_59_57,1397,2017-02-07,829090375499390976,http://twitter.com/SenDonnelly/status/829090375499390976
837392559282536448,5.5799999999972725,226,260,75,49,2018-05-05_15_58_36,875,2017-03-02,837392559282536448,http://twitter.com/SenDonnelly/status/837392559282536448
634075981909753856,5.790775193803069,516,305,157,268,2018-05-05_16_10_00,1809,2015-08-19,634075981909753856,http://twitter.com/SenDonnelly/status/634075981909753856
824264211866025985,6.1922983871370665,744,1248,246,351,2018-05-05_16_08_36,1945,2017-01-25,824264211866025985,http://twitter.com/SenDonnelly/status/824264211866025985
825162411221123074,6.143400000034103,700,29813,687,17144,2018-05-05_16_07_11,2277,2017-01-25,825162411221123074,http://twitter.com/SenDonnelly/status/825162411221123074
825391567099850752,5.747006369424612,314,655,93,204,2018-05-05_16_05_54,968,2017-01-28,825391567099850752,http://twitter.com/SenDonnelly/status/825391567099850752
825391613023223809,5.806464000029647,625,690,165,190,2018-05-05_16_04_33,2026,2017-01-28,825391613023223809,http://twitter.com/SenDonnelly/status/825391613023223809
