,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
920839422760882179,5.458544776133858,536,1733,136,383,2018-05-08_12_39_29,1914,2017-10-18,920839422760882179,http://twitter.com/SenFeinstein/status/920839422760882179
921133271756562432,5.203717105282725,608,1215,115,636,2018-05-08_12_37_54,1985,2017-10-19,921133271756562432,http://twitter.com/SenFeinstein/status/921133271756562432
921145588107837441,5.4917520215804885,742,26665,1.2K,11324,2018-05-08_12_36_19,3200,2017-10-19,921145588107837441,http://twitter.com/SenFeinstein/status/921145588107837441
921154991334789121,5.481028037384744,1070,1938,1.4K,762,2018-05-08_12_34_25,3506,2017-10-19,921154991334789121,http://twitter.com/SenFeinstein/status/921154991334789121
921170604597768192,5.618300653615913,765,3193,248,1666,2018-05-08_12_32_29,3259,2017-10-19,921170604597768192,http://twitter.com/SenFeinstein/status/921170604597768192
921187904088616961,5.407404162137522,913,1407,179,954,2018-05-08_12_30_49,2959,2017-10-19,921187904088616961,http://twitter.com/SenFeinstein/status/921187904088616961
920693839677022209,5.672781065118565,676,775,150,221,2018-05-08_12_47_55,2269,2017-10-18,920693839677022209,http://twitter.com/SenFeinstein/status/920693839677022209
920711319883567107,5.4715874730074034,926,2555,553,1019,2018-05-08_12_46_21,3469,2017-10-18,920711319883567107,http://twitter.com/SenFeinstein/status/920711319883567107
920765669959962624,5.421271551736068,464,755,112,202,2018-05-08_12_44_29,1608,2017-10-18,920765669959962624,http://twitter.com/SenFeinstein/status/920765669959962624
920809222744498177,5.680812807888197,406,2728,97,656,2018-05-08_12_42_53,1487,2017-10-18,920809222744498177,http://twitter.com/SenFeinstein/status/920809222744498177
920824326039003138,5.455796943260676,916,3655,254,988,2018-05-08_12_41_06,3081,2017-10-18,920824326039003138,http://twitter.com/SenFeinstein/status/920824326039003138
920041214782726144,5.7259333333582045,900,4911,198,1402,2018-05-08_12_55_24,3097,2017-10-16,920041214782726144,http://twitter.com/SenFeinstein/status/920041214782726144
920076897190662144,5.628045602604297,307,443,81,172,2018-05-08_12_53_52,1068,2017-10-16,920076897190662144,http://twitter.com/SenFeinstein/status/920076897190662144
920374181988007942,5.5448632812671335,512,1226,104,926,2018-05-08_12_52_23,1831,2017-10-17,920374181988007942,http://twitter.com/SenFeinstein/status/920374181988007942
920409110646001666,5.094333694520722,923,14516,509,4550,2018-05-08_12_50_48,3217,2017-10-17,920409110646001666,http://twitter.com/SenFeinstein/status/920409110646001666
920651762654175233,5.325483870977037,403,137,99,50,2018-05-08_12_49_23,1736,2017-10-18,920651762654175233,http://twitter.com/SenFeinstein/status/920651762654175233
919321919928680448,5.455390070939301,564,1563,363,1704,2018-05-08_13_04_11,2539,2017-10-14,919321919928680448,http://twitter.com/SenFeinstein/status/919321919928680448
919373330217603072,5.6839411764679495,340,1527,84,367,2018-05-08_13_02_06,1147,2017-10-14,919373330217603072,http://twitter.com/SenFeinstein/status/919373330217603072
919639024108822528,5.474890109914846,546,1571,167,811,2018-05-08_13_00_31,2289,2017-10-15,919639024108822528,http://twitter.com/SenFeinstein/status/919639024108822528
920016484231008256,5.596701298701421,385,524,82,168,2018-05-08_12_58_58,1345,2017-10-16,920016484231008256,http://twitter.com/SenFeinstein/status/920016484231008256
920023090008133633,5.484041958056023,715,1605,153,555,2018-05-08_12_57_25,2494,2017-10-16,920023090008133633,http://twitter.com/SenFeinstein/status/920023090008133633
918944444300382209,5.4269230769378565,572,799,149,276,2018-05-08_13_11_51,2234,2017-10-13,918944444300382209,http://twitter.com/SenFeinstein/status/918944444300382209
918951984299773952,5.5189409985006534,661,2536,157,1786,2018-05-08_13_10_19,2519,2017-10-13,918951984299773952,http://twitter.com/SenFeinstein/status/918951984299773952
918955903214391297,5.828461538487883,702,18354,794,5498,2018-05-08_13_08_43,2186,2017-10-12,918955903214391297,http://twitter.com/SenFeinstein/status/918955903214391297
918967084360523776,5.586352824607319,1009,1535,236,1024,2018-05-08_13_07_13,3623,2017-10-13,918967084360523776,http://twitter.com/SenFeinstein/status/918967084360523776
918989730397806592,5.74277777777593,306,254,76,157,2018-05-08_13_05_45,1224,2017-10-13,918989730397806592,http://twitter.com/SenFeinstein/status/918989730397806592
918484527533748224,5.702483574265663,761,9796,336,3449,2018-05-08_13_19_28,2791,2017-10-12,918484527533748224,http://twitter.com/SenFeinstein/status/918484527533748224
918517665123241989,5.402527075829308,554,2977,135,686,2018-05-08_13_18_02,2067,2017-10-12,918517665123241989,http://twitter.com/SenFeinstein/status/918517665123241989
918590988293230598,5.554667774100748,602,759,133,331,2018-05-08_13_16_38,2217,2017-10-12,918590988293230598,http://twitter.com/SenFeinstein/status/918590988293230598
918651848621461504,5.425543735243777,846,5516,587,3245,2018-05-08_13_14_55,3343,2017-10-12,918651848621461504,http://twitter.com/SenFeinstein/status/918651848621461504
918907835936919552,5.592138728332045,519,957,127,488,2018-05-08_13_13_26,1811,2017-10-13,918907835936919552,http://twitter.com/SenFeinstein/status/918907835936919552
917940318804291584,5.377938144326893,291,547,80,147,2018-05-08_13_27_02,1028,2017-10-10,917940318804291584,http://twitter.com/SenFeinstein/status/917940318804291584
918196053593214976,5.086627218936546,338,1449,98,524,2018-05-08_13_25_32,1334,2017-10-11,918196053593214976,http://twitter.com/SenFeinstein/status/918196053593214976
918241361677217794,5.988877551018647,294,1909,74,480,2018-05-08_13_24_04,992,2017-10-11,918241361677217794,http://twitter.com/SenFeinstein/status/918241361677217794
918252876203520005,5.542162790724047,860,1112,165,521,2018-05-08_13_22_28,2624,2017-10-11,918252876203520005,http://twitter.com/SenFeinstein/status/918252876203520005
918264963151654912,5.2652263374562445,486,3071,129,567,2018-05-08_13_21_01,1658,2017-10-11,918264963151654912,http://twitter.com/SenFeinstein/status/918264963151654912
917555783377784833,5.620663265332892,784,1079,165,439,2018-05-08_13_34_46,2952,2017-10-09,917555783377784833,http://twitter.com/SenFeinstein/status/917555783377784833
917850924990726145,5.726604166682622,480,1191,119,406,2018-05-08_13_33_22,1786,2017-10-10,917850924990726145,http://twitter.com/SenFeinstein/status/917850924990726145
917896778950647808,5.6742899408294285,338,630,91,230,2018-05-08_13_31_47,1331,2017-10-10,917896778950647808,http://twitter.com/SenFeinstein/status/917896778950647808
917910117454155777,5.126388115183975,1077,2415,231,584,2018-05-08_13_30_01,3721,2017-10-10,917910117454155777,http://twitter.com/SenFeinstein/status/917910117454155777
917925219884511232,5.388277680167527,569,1207,156,491,2018-05-08_13_28_30,2106,2017-10-10,917925219884511232,http://twitter.com/SenFeinstein/status/917925219884511232
917419385958096897,5.227780040785984,982,2059,328,502,2018-05-08_13_42_33,3374,2017-10-09,917419385958096897,http://twitter.com/SenFeinstein/status/917419385958096897
917434497649451009,5.211155660383475,424,396,101,358,2018-05-08_13_41_08,1654,2017-10-09,917434497649451009,http://twitter.com/SenFeinstein/status/917434497649451009
917449590160334848,5.18076064913315,986,2265,236,493,2018-05-08_13_39_32,3526,2017-10-09,917449590160334848,http://twitter.com/SenFeinstein/status/917449590160334848
917464684260843521,5.232920143058932,839,1689,165,453,2018-05-08_13_38_01,2871,2017-10-09,917464684260843521,http://twitter.com/SenFeinstein/status/917464684260843521
917479785516826624,5.173597359770076,606,1284,141,476,2018-05-08_13_36_24,2408,2017-10-09,917479785516826624,http://twitter.com/SenFeinstein/status/917479785516826624
917155142612410368,5.431025056950428,439,681,75,275,2018-05-08_13_50_46,1541,2017-10-08,917155142612410368,http://twitter.com/SenFeinstein/status/917155142612410368
917162700974600193,5.199971319370063,1046,7522,316,2385,2018-05-08_13_49_03,3687,2017-10-08,917162700974600193,http://twitter.com/SenFeinstein/status/917162700974600193
917170242152914944,5.323909090944488,770,1465,273,339,2018-05-08_13_47_31,3121,2017-10-08,917170242152914944,http://twitter.com/SenFeinstein/status/917170242152914944
917177794550833154,5.171221198159127,434,801,89,282,2018-05-08_13_46_05,1541,2017-10-08,917177794550833154,http://twitter.com/SenFeinstein/status/917177794550833154
917192894578126849,5.205262645979008,1028,4856,374,1339,2018-05-08_13_44_18,3545,2017-10-08,917192894578126849,http://twitter.com/SenFeinstein/status/917192894578126849
917109846926864387,4.9217235495037945,586,518,130,183,2018-05-08_13_58_23,2206,2017-10-08,917109846926864387,http://twitter.com/SenFeinstein/status/917109846926864387
917117402323619840,5.1695634920726565,504,285,84,150,2018-05-08_13_56_44,1890,2017-10-08,917117402323619840,http://twitter.com/SenFeinstein/status/917117402323619840
