,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
919627048733302784,5.318169761271598,377,5763,119,2874,2018-05-08_21_02_51,1393,2017-10-15,919627048733302784,http://twitter.com/SenFranken/status/919627048733302784
920401436164481026,5.864788732392548,213,658,82,92,2018-05-08_21_00_46,940,2017-10-17,920401436164481026,http://twitter.com/SenFranken/status/920401436164481026
920695013817888769,5.976881720425849,279,1238,74,139,2018-05-08_20_59_21,975,2017-10-18,920695013817888769,http://twitter.com/SenFranken/status/920695013817888769
920810017938325504,5.8453786906619,779,6687,474,1154,2018-05-08_20_57_42,2699,2017-10-18,920810017938325504,http://twitter.com/SenFranken/status/920810017938325504
921120291497136128,5.947383821015222,581,5110,395,467,2018-05-08_20_56_15,2127,2017-10-19,921120291497136128,http://twitter.com/SenFranken/status/921120291497136128
917477665065635841,5.753040540553028,740,7712,246,2013,2018-05-08_21_10_39,2728,2017-10-09,917477665065635841,http://twitter.com/SenFranken/status/917477665065635841
918231357658140675,5.827459807092625,622,9784,647,2235,2018-05-08_21_08_40,2443,2017-10-11,918231357658140675,http://twitter.com/SenFranken/status/918231357658140675
918520653095096321,6.040500000021804,640,1857,137,410,2018-05-08_21_07_14,2333,2017-10-12,918520653095096321,http://twitter.com/SenFranken/status/918520653095096321
918581413510832128,5.4732779456280705,662,2932,313,1407,2018-05-08_21_05_49,2661,2017-10-12,918581413510832128,http://twitter.com/SenFranken/status/918581413510832128
918883166567399424,5.567806301061858,857,11515,657,3210,2018-05-08_21_04_18,3230,2017-10-13,918883166567399424,http://twitter.com/SenFranken/status/918883166567399424
915282434895351815,5.731609686615273,702,6130,219,1272,2018-05-08_21_19_27,2477,2017-10-03,915282434895351815,http://twitter.com/SenFranken/status/915282434895351815
915645612942643200,5.88768115942227,345,2315,119,442,2018-05-08_21_17_48,1474,2017-10-04,915645612942643200,http://twitter.com/SenFranken/status/915645612942643200
915976146189193216,5.948660714282062,336,1576,86,379,2018-05-08_21_16_19,1031,2017-10-05,915976146189193216,http://twitter.com/SenFranken/status/915976146189193216
916055780801024000,5.542005277042969,379,3528,72,1364,2018-05-08_21_14_32,1190,2017-10-05,916055780801024000,http://twitter.com/SenFranken/status/916055780801024000
916348350726885378,5.799704984760537,983,43486,835,13961,2018-05-08_21_12_53,3679,2017-10-06,916348350726885378,http://twitter.com/SenFranken/status/916348350726885378
913834929003393024,6.0614558472727404,838,2402,186,617,2018-05-08_21_27_41,3188,2017-09-29,913834929003393024,http://twitter.com/SenFranken/status/913834929003393024
914520307326750722,5.776671087542407,754,6397,198,6502,2018-05-08_21_25_57,2846,2017-10-01,914520307326750722,http://twitter.com/SenFranken/status/914520307326750722
914520823167422464,6.000837563453922,394,4736,77,2164,2018-05-08_21_24_28,1471,2017-10-01,914520823167422464,http://twitter.com/SenFranken/status/914520823167422464
914819504550621184,5.131626297578125,578,4880,145,743,2018-05-08_21_22_51,1949,2017-10-02,914819504550621184,http://twitter.com/SenFranken/status/914819504550621184
915005399820009472,5.557787723819669,782,12267,519,3645,2018-05-08_21_21_06,2872,2017-10-02,915005399820009472,http://twitter.com/SenFranken/status/915005399820009472
910950080517197827,5.897736486481885,296,3264,80,1473,2018-05-08_21_36_17,1098,2017-09-21,910950080517197827,http://twitter.com/SenFranken/status/910950080517197827
911256175869644801,5.516088328073077,317,1285,80,578,2018-05-08_21_34_37,1084,2017-09-22,911256175869644801,http://twitter.com/SenFranken/status/911256175869644801
911315621513695232,5.565758793986607,995,13312,405,4626,2018-05-08_21_32_46,3340,2017-09-22,911315621513695232,http://twitter.com/SenFranken/status/911315621513695232
912740502382026752,5.725819861437095,433,2463,119,1155,2018-05-08_21_30_54,1640,2017-09-26,912740502382026752,http://twitter.com/SenFranken/status/912740502382026752
913166246950195201,6.1575540386928616,879,6992,186,1649,2018-05-08_21_29_18,2751,2017-09-27,913166246950195201,http://twitter.com/SenFranken/status/913166246950195201
910180107616227328,5.599832635982481,239,3133,72,1300,2018-05-08_21_42_12,782,2017-09-19,910180107616227328,http://twitter.com/SenFranken/status/910180107616227328
910523876114878464,6.541608910891775,404,5453,154,1153,2018-05-08_21_40_11,1260,2017-09-20,910523876114878464,http://twitter.com/SenFranken/status/910523876114878464
910937256885653506,5.782762430934228,362,2019,88,325,2018-05-08_21_38_01,1332,2017-09-21,910937256885653506,http://twitter.com/SenFranken/status/910937256885653506
908448780600709120,6.112846054351345,773,5111,173,1224,2018-05-08_21_49_58,2446,2017-09-14,908448780600709120,http://twitter.com/SenFranken/status/908448780600709120
908768189852635136,6.065949367085014,316,2218,85,621,2018-05-08_21_48_35,1111,2017-09-15,908768189852635136,http://twitter.com/SenFranken/status/908768189852635136
909214838768971776,5.4419878296403645,986,23593,2.0K,25018,2018-05-08_21_46_54,3498,2017-09-16,909214838768971776,http://twitter.com/SenFranken/status/909214838768971776
909216491723264000,5.467868338553896,319,2833,96,2789,2018-05-08_21_45_20,1179,2017-09-16,909216491723264000,http://twitter.com/SenFranken/status/909216491723264000
909921011411378176,5.368945616011568,901,11391,352,8791,2018-05-08_21_43_39,3327,2017-09-18,909921011411378176,http://twitter.com/SenFranken/status/909921011411378176
905869317153153029,5.5003498190673605,829,27727,1.2K,10834,2018-05-08_21_56_50,2785,2017-09-07,905869317153153029,http://twitter.com/SenFranken/status/905869317153153029
907703084469637120,5.771098779170134,901,1762,485,322,2018-05-08_21_54_46,2900,2017-09-12,907703084469637120,http://twitter.com/SenFranken/status/907703084469637120
907733017376018438,5.924271844694946,824,17406,790,4510,2018-05-08_21_53_06,2667,2017-09-12,907733017376018438,http://twitter.com/SenFranken/status/907733017376018438
908135250047508480,5.991658536589855,410,2499,109,469,2018-05-08_21_51_30,1491,2017-09-13,908135250047508480,http://twitter.com/SenFranken/status/908135250047508480
905138946937643008,5.948090277809763,576,3639,159,1211,2018-05-08_22_04_36,2052,2017-09-05,905138946937643008,http://twitter.com/SenFranken/status/905138946937643008
