,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
862396382514171907,5.761868131863679,364,1051,110,323,2018-05-04_16_39_55,1195,2017-05-10,862396382514171907,http://twitter.com/SenGaryPeters/status/862396382514171907
890020999269429248,5.616496598639821,294,245,71,102,2018-05-04_16_38_14,874,2017-07-25,890020999269429248,http://twitter.com/SenGaryPeters/status/890020999269429248
890970622590713856,6.132525667353683,487,670,115,65,2018-05-04_16_36_28,1398,2017-07-28,890970622590713856,http://twitter.com/SenGaryPeters/status/890970622590713856
897593794610245632,5.204236760123716,321,648,76,166,2018-05-04_16_34_46,1191,2017-08-15,897593794610245632,http://twitter.com/SenGaryPeters/status/897593794610245632
911254149928509440,5.988832487309669,197,433,72,88,2018-05-04_16_33_07,518,2017-09-22,911254149928509440,http://twitter.com/SenGaryPeters/status/911254149928509440
912415161591455745,6.143043478260359,299,865,111,191,2018-05-04_16_31_29,764,2017-09-25,912415161591455745,http://twitter.com/SenGaryPeters/status/912415161591455745
846476591974797315,6.132530120483266,415,2042,154,937,2018-05-04_16_48_05,1448,2017-03-27,846476591974797315,http://twitter.com/SenGaryPeters/status/846476591974797315
846757848868667397,5.994000000000219,435,728,133,118,2018-05-04_16_46_33,1365,2017-03-28,846757848868667397,http://twitter.com/SenGaryPeters/status/846757848868667397
852283539290718208,5.568160583959322,685,810,221,460,2018-05-04_16_44_57,2729,2017-04-12,852283539290718208,http://twitter.com/SenGaryPeters/status/852283539290718208
860190437092585472,5.573533123024732,317,489,75,248,2018-05-04_16_43_25,1065,2017-05-04,860190437092585472,http://twitter.com/SenGaryPeters/status/860190437092585472
862075676257660928,5.804170040484826,247,803,84,369,2018-05-04_16_41_37,1005,2017-05-09,862075676257660928,http://twitter.com/SenGaryPeters/status/862075676257660928
827612260684201984,6.0015985130112375,269,1192,78,339,2018-05-04_16_55_52,841,2017-02-03,827612260684201984,http://twitter.com/SenGaryPeters/status/827612260684201984
828743001119846400,6.152627345836978,373,726,113,196,2018-05-04_16_54_22,1086,2017-02-06,828743001119846400,http://twitter.com/SenGaryPeters/status/828743001119846400
829042722120036353,6.189060665358992,511,1160,137,164,2018-05-04_16_52_48,1341,2017-02-07,829042722120036353,http://twitter.com/SenGaryPeters/status/829042722120036353
839205628082016257,6.047598039207168,408,114,85,68,2018-05-04_16_51_08,1310,2017-03-07,839205628082016257,http://twitter.com/SenGaryPeters/status/839205628082016257
839242531074375681,5.787892976588081,299,325,72,406,2018-05-04_16_49_34,1061,2017-03-07,839242531074375681,http://twitter.com/SenGaryPeters/status/839242531074375681
824028655328358401,6.373541666668314,288,1270,101,561,2018-05-04_17_03_53,777,2017-01-24,824028655328358401,http://twitter.com/SenGaryPeters/status/824028655328358401
825407369563799554,5.821964285714049,280,389,68,140,2018-05-04_17_02_16,887,2017-01-28,825407369563799554,http://twitter.com/SenGaryPeters/status/825407369563799554
825408603150499841,5.739791376950107,719,2531,203,960,2018-05-04_17_00_31,2450,2017-01-28,825408603150499841,http://twitter.com/SenGaryPeters/status/825408603150499841
826234875707609088,5.621689655170405,290,417,82,94,2018-05-04_16_58_56,935,2017-01-30,826234875707609088,http://twitter.com/SenGaryPeters/status/826234875707609088
826860677587427332,6.0856967213111846,244,493,73,94,2018-05-04_16_57_22,622,2017-02-01,826860677587427332,http://twitter.com/SenGaryPeters/status/826860677587427332
624274819962552320,6.164328018227497,439,13160,485,18856,2018-05-04_17_11_03,2000,2015-07-23,624274819962552320,http://twitter.com/SenGaryPeters/status/624274819962552320
641266775468994560,5.726942675165299,471,66,86,104,2018-05-04_17_09_32,1513,2015-09-08,641266775468994560,http://twitter.com/SenGaryPeters/status/641266775468994560
819622050486779906,5.897495069039248,507,1198,125,510,2018-05-04_17_07_15,1472,2017-01-12,819622050486779906,http://twitter.com/SenGaryPeters/status/819622050486779906
821760093414891520,6.062434456928596,267,742,82,234,2018-05-04_17_05_15,677,2017-01-18,821760093414891520,http://twitter.com/SenGaryPeters/status/821760093414891520
