,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
919587484467679232,5.813888888895768,432,4872,111,2093,2018-05-06_12_39_37,1458,2017-10-15,919587484467679232,http://twitter.com/SenGillibrand/status/919587484467679232
920292782102728704,5.5256771799854025,539,12233,291,3285,2018-05-06_12_38_05,2335,2017-10-17,920292782102728704,http://twitter.com/SenGillibrand/status/920292782102728704
920430070870761474,5.682413793124487,638,2381,134,1020,2018-05-06_12_36_42,2189,2017-10-17,920430070870761474,http://twitter.com/SenGillibrand/status/920430070870761474
920662007313027073,5.558146067413646,356,25543,675,9693,2018-05-06_12_35_14,1288,2017-10-18,920662007313027073,http://twitter.com/SenGillibrand/status/920662007313027073
921040592016158722,5.346259904921687,631,2325,240,964,2018-05-06_12_33_30,2483,2017-10-19,921040592016158722,http://twitter.com/SenGillibrand/status/921040592016158722
917503184331067392,5.7145259391754095,559,1526,141,605,2018-05-06_12_49_03,2093,2017-10-09,917503184331067392,http://twitter.com/SenGillibrand/status/917503184331067392
917895085345394688,5.730985221690422,609,3170,166,586,2018-05-06_12_47_30,2451,2017-10-10,917895085345394688,http://twitter.com/SenGillibrand/status/917895085345394688
918145479401263105,5.748906455887322,759,11091,305,2967,2018-05-06_12_46_01,2789,2017-10-11,918145479401263105,http://twitter.com/SenGillibrand/status/918145479401263105
918469571773894657,5.511415929231265,678,6352,201,2093,2018-05-06_12_44_27,2721,2017-10-12,918469571773894657,http://twitter.com/SenGillibrand/status/918469571773894657
918509618996932609,5.590849673210398,459,1799,157,1028,2018-05-06_12_43_00,1630,2017-10-12,918509618996932609,http://twitter.com/SenGillibrand/status/918509618996932609
918940636262338560,5.494244080159247,549,3095,132,738,2018-05-06_12_41_33,2181,2017-10-13,918940636262338560,http://twitter.com/SenGillibrand/status/918940636262338560
916329651861114880,5.557003367020229,594,6615,330,2841,2018-05-06_12_56_47,2106,2017-10-06,916329651861114880,http://twitter.com/SenGillibrand/status/916329651861114880
916362758240817153,5.771378026093307,537,8626,212,2537,2018-05-06_12_55_20,2045,2017-10-06,916362758240817153,http://twitter.com/SenGillibrand/status/916362758240817153
916400259756101632,5.933924646803473,637,10245,427,4319,2018-05-06_12_53_39,2169,2017-10-06,916400259756101632,http://twitter.com/SenGillibrand/status/916400259756101632
916425354553774080,6.021848013847017,579,2673,163,410,2018-05-06_12_52_11,1936,2017-10-06,916425354553774080,http://twitter.com/SenGillibrand/status/916425354553774080
917060138246254592,5.904693069323938,505,2169,119,625,2018-05-06_12_50_37,1791,2017-10-08,917060138246254592,http://twitter.com/SenGillibrand/status/917060138246254592
914505453823983621,5.4049261992773925,542,1154,97,621,2018-05-06_13_05_34,1771,2017-10-01,914505453823983621,http://twitter.com/SenGillibrand/status/914505453823983621
915273487056556032,5.041712707215862,724,3495,168,866,2018-05-06_13_03_30,2288,2017-10-03,915273487056556032,http://twitter.com/SenGillibrand/status/915273487056556032
