,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
897562640964255744,5.473131991058153,447,1256,149,390,2018-05-05_16_40_32,1822,2017-08-15,897562640964255744,http://twitter.com/SenJackReed/status/897562640964255744
901259836792254464,5.212403314917577,362,939,133,263,2018-05-05_16_38_57,1485,2017-08-25,901259836792254464,http://twitter.com/SenJackReed/status/901259836792254464
902986066805784577,5.774686648497214,367,678,136,159,2018-05-05_16_36_58,1271,2017-08-30,902986066805784577,http://twitter.com/SenJackReed/status/902986066805784577
910597741486727168,6.026282420744371,347,2021,74,581,2018-05-05_16_35_21,1181,2017-09-20,910597741486727168,http://twitter.com/SenJackReed/status/910597741486727168
911063823431413760,5.337598039214465,204,42355,855,31941,2018-05-05_16_33_50,770,2017-09-21,911063823431413760,http://twitter.com/SenJackReed/status/911063823431413760
915308022007726081,5.75196467991702,453,1234,116,574,2018-05-05_16_32_24,1483,2017-09-28,915308022007726081,http://twitter.com/SenJackReed/status/915308022007726081
874698449798782976,6.07222222222162,207,73,83,16,2018-05-05_16_47_24,713,2017-06-13,874698449798782976,http://twitter.com/SenJackReed/status/874698449798782976
884482361848680449,5.2876895306856495,277,647,86,286,2018-05-05_16_45_19,1240,2017-07-10,884482361848680449,http://twitter.com/SenJackReed/status/884482361848680449
889923625591205889,5.812828947364634,304,385,86,78,2018-05-05_16_43_51,1024,2017-07-25,889923625591205889,http://twitter.com/SenJackReed/status/889923625591205889
890773965635026944,5.676930946284799,391,4190,209,5312,2018-05-05_16_42_23,1369,2017-07-27,890773965635026944,http://twitter.com/SenJackReed/status/890773965635026944
862777954396516352,5.5890213523405645,562,3910,565,1059,2018-05-05_16_55_00,2248,2017-05-11,862777954396516352,http://twitter.com/SenJackReed/status/862777954396516352
870655382519197696,4.92667515925795,785,1861,141,1495,2018-05-05_16_53_28,2475,2017-06-02,870655382519197696,http://twitter.com/SenJackReed/status/870655382519197696
873256446024183811,5.1491340782108495,358,115,124,76,2018-05-05_16_51_55,1479,2017-06-09,873256446024183811,http://twitter.com/SenJackReed/status/873256446024183811
873886804784672768,5.392537313455343,603,49,146,5,2018-05-05_16_50_31,2401,2017-06-11,873886804784672768,http://twitter.com/SenJackReed/status/873886804784672768
874315592039354370,5.73523584905308,424,21572,119,17582,2018-05-05_16_48_49,1269,2017-06-12,874315592039354370,http://twitter.com/SenJackReed/status/874315592039354370
829167117345947648,5.918946015418385,389,3971,139,1366,2018-05-05_17_02_58,1287,2017-02-07,829167117345947648,http://twitter.com/SenJackReed/status/829167117345947648
832406260851101696,6.054668989546532,287,2012,101,829,2018-05-05_17_01_09,906,2017-02-16,832406260851101696,http://twitter.com/SenJackReed/status/832406260851101696
837024537573265410,5.8514893616995804,282,2459,92,665,2018-05-05_16_59_34,1014,2017-03-01,837024537573265410,http://twitter.com/SenJackReed/status/837024537573265410
839235503404744704,5.618928571422008,336,1377,114,934,2018-05-05_16_57_54,1384,2017-03-07,839235503404744704,http://twitter.com/SenJackReed/status/839235503404744704
862084992935104512,5.820691003945204,767,28861,8.3K,15490,2018-05-05_16_56_26,2860,2017-05-09,862084992935104512,http://twitter.com/SenJackReed/status/862084992935104512
807956125102592000,5.931095890409732,146,1780,149,706,2018-05-05_17_10_58,594,2016-12-11,807956125102592000,http://twitter.com/SenJackReed/status/807956125102592000
