,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
918641998348865536,5.580542452841587,424,1567,157,819,2018-05-08_14_15_07,1845,2017-10-12,918641998348865536,http://twitter.com/SenJeffMerkley/status/918641998348865536
918675065503408128,5.54357894738177,570,1624,162,826,2018-05-08_14_13_33,2172,2017-10-12,918675065503408128,http://twitter.com/SenJeffMerkley/status/918675065503408128
918950808342933514,5.246051948056484,385,1754,106,875,2018-05-08_14_12_06,1573,2017-10-13,918950808342933514,http://twitter.com/SenJeffMerkley/status/918950808342933514
920762200410742785,5.617011995662148,917,5765,191,2654,2018-05-08_14_09_54,3246,2017-10-18,920762200410742785,http://twitter.com/SenJeffMerkley/status/920762200410742785
921189571978825728,5.328994152052519,855,8040,447,8020,2018-05-08_14_08_12,3081,2017-10-19,921189571978825728,http://twitter.com/SenJeffMerkley/status/921189571978825728
916334276278411265,5.69031189080272,1026,4788,204,1491,2018-05-08_14_22_36,3941,2017-10-06,916334276278411265,http://twitter.com/SenJeffMerkley/status/916334276278411265
918180909563764737,5.89309904152908,313,1608,94,537,2018-05-08_14_21_09,1204,2017-10-11,918180909563764737,http://twitter.com/SenJeffMerkley/status/918180909563764737
918269410061713408,5.270933977478537,621,2908,134,852,2018-05-08_14_19_41,2581,2017-10-11,918269410061713408,http://twitter.com/SenJeffMerkley/status/918269410061713408
918490719064649728,5.4766925064637135,387,1415,120,472,2018-05-08_14_18_16,1650,2017-10-12,918490719064649728,http://twitter.com/SenJeffMerkley/status/918490719064649728
918544992041361408,5.655527426187158,711,56693,6.7K,23995,2018-05-08_14_16_43,3121,2017-10-11,918544992041361408,http://twitter.com/SenJeffMerkley/status/918544992041361408
913908483690569729,5.702436363633745,275,964,81,377,2018-05-08_14_31_42,907,2017-09-29,913908483690569729,http://twitter.com/SenJeffMerkley/status/913908483690569729
914281367864844288,5.60173976610568,684,3709,408,1464,2018-05-08_14_30_12,2824,2017-09-30,914281367864844288,http://twitter.com/SenJeffMerkley/status/914281367864844288
914883780556533760,5.246910688159149,683,2503,159,945,2018-05-08_14_28_45,2354,2017-10-02,914883780556533760,http://twitter.com/SenJeffMerkley/status/914883780556533760
915704243335700481,5.824043645725408,779,23028,1.1K,11417,2018-05-08_14_26_33,3051,2017-10-04,915704243335700481,http://twitter.com/SenJeffMerkley/status/915704243335700481
916065984678629376,5.690745856370494,724,3153,228,2450,2018-05-08_14_24_53,2645,2017-10-05,916065984678629376,http://twitter.com/SenJeffMerkley/status/916065984678629376
912430507182428160,5.488017241378407,348,3845,100,1464,2018-05-08_14_38_39,1308,2017-09-25,912430507182428160,http://twitter.com/SenJeffMerkley/status/912430507182428160
913143051626958848,5.185555555553647,297,685,72,642,2018-05-08_14_36_57,1063,2017-09-27,913143051626958848,http://twitter.com/SenJeffMerkley/status/913143051626958848
913167243437068288,5.6429850746479415,469,5762,130,2911,2018-05-08_14_35_18,1951,2017-09-27,913167243437068288,http://twitter.com/SenJeffMerkley/status/913167243437068288
913420589829967872,5.567730496472846,564,69510,882,24088,2018-05-08_14_33_05,2216,2017-09-28,913420589829967872,http://twitter.com/SenJeffMerkley/status/913420589829967872
