,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
908419451518939137,5.362027027033722,444,93,104,37,2018-05-05_16_41_09,1607,2017-09-14,908419451518939137,http://twitter.com/SenJohnBarrasso/status/908419451518939137
908419661049548813,5.565804661514398,901,52,259,25,2018-05-05_16_39_30,2854,2017-09-14,908419661049548813,http://twitter.com/SenJohnBarrasso/status/908419661049548813
909885068751114240,5.795263157894776,38,18,243,10,2018-05-05_16_38_09,128,2017-09-18,909885068751114240,http://twitter.com/SenJohnBarrasso/status/909885068751114240
913080412192243713,5.564509202450537,326,108,86,38,2018-05-05_16_36_41,1037,2017-09-27,913080412192243713,http://twitter.com/SenJohnBarrasso/status/913080412192243713
914844086716321792,5.118544776119063,268,48,69,7,2018-05-05_16_35_09,879,2017-10-02,914844086716321792,http://twitter.com/SenJohnBarrasso/status/914844086716321792
921065845828308993,5.745849056601603,265,137,93,59,2018-05-05_16_33_38,893,2017-10-19,921065845828308993,http://twitter.com/SenJohnBarrasso/status/921065845828308993
889173031834329089,5.621715817690432,373,23,117,10,2018-05-05_16_50_02,1333,2017-07-23,889173031834329089,http://twitter.com/SenJohnBarrasso/status/889173031834329089
896548214702301188,5.349266666664807,300,73,105,24,2018-05-05_16_48_44,1132,2017-08-12,896548214702301188,http://twitter.com/SenJohnBarrasso/status/896548214702301188
899714247202004992,6.1378999999984885,200,19508,236,10398,2018-05-05_16_47_12,875,2017-08-21,899714247202004992,http://twitter.com/SenJohnBarrasso/status/899714247202004992
902243704244752387,6.087692307691167,156,2532,129,2981,2018-05-05_16_45_32,532,2017-08-28,902243704244752387,http://twitter.com/SenJohnBarrasso/status/902243704244752387
908068764150837248,5.537323232342571,594,67,120,38,2018-05-05_16_44_07,1993,2017-09-13,908068764150837248,http://twitter.com/SenJohnBarrasso/status/908068764150837248
908326758092623874,5.8601851851850935,216,41,102,14,2018-05-05_16_42_37,695,2017-09-13,908326758092623874,http://twitter.com/SenJohnBarrasso/status/908326758092623874
