,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
896498747869245440,5.382127659574404,329,39,70,13,2018-05-04_15_37_22,1227,2017-08-12,896498747869245440,http://twitter.com/SenJohnKennedy/status/896498747869245440
907324994467889152,5.401839323490616,946,1428,206,527,2018-05-04_15_35_29,2931,2017-09-11,907324994467889152,http://twitter.com/SenJohnKennedy/status/907324994467889152
910941171677061120,5.5632423208172535,293,52,74,18,2018-05-04_15_33_44,958,2017-09-21,910941171677061120,http://twitter.com/SenJohnKennedy/status/910941171677061120
913861860465750016,5.386153846151979,299,83,96,26,2018-05-04_15_31_55,966,2017-09-29,913861860465750016,http://twitter.com/SenJohnKennedy/status/913861860465750016
914839679203233792,5.465584843508355,607,40,317,7,2018-05-04_15_30_23,1953,2017-10-02,914839679203233792,http://twitter.com/SenJohnKennedy/status/914839679203233792
916068654181179392,5.647514619884473,342,63,74,17,2018-05-04_15_28_29,1097,2017-10-05,916068654181179392,http://twitter.com/SenJohnKennedy/status/916068654181179392
877944344489189377,5.411811111127537,900,96,248,35,2018-05-04_15_46_52,2859,2017-06-22,877944344489189377,http://twitter.com/SenJohnKennedy/status/877944344489189377
887692054800871424,5.668669833729918,421,50,84,39,2018-05-04_15_45_21,1329,2017-07-19,887692054800871424,http://twitter.com/SenJohnKennedy/status/887692054800871424
889959091342323713,5.8403353057437135,507,74,106,20,2018-05-04_15_43_45,1671,2017-07-25,889959091342323713,http://twitter.com/SenJohnKennedy/status/889959091342323713
890697036961546242,5.776101694910832,354,31,73,5,2018-05-04_15_42_06,1031,2017-07-27,890697036961546242,http://twitter.com/SenJohnKennedy/status/890697036961546242
890941830187110400,5.660174603195622,630,70,106,27,2018-05-04_15_40_27,2101,2017-07-28,890941830187110400,http://twitter.com/SenJohnKennedy/status/890941830187110400
896361027306213376,5.440090909090165,330,65,95,20,2018-05-04_15_38_53,1329,2017-08-12,896361027306213376,http://twitter.com/SenJohnKennedy/status/896361027306213376
816751322426994688,5.773540372686563,805,74,604,42,2018-05-04_15_55_38,2659,2017-01-04,816751322426994688,http://twitter.com/SenJohnKennedy/status/816751322426994688
829333504173469696,5.7600689655419135,725,52330,3.3K,8873,2018-05-04_15_53_50,2182,2017-02-07,829333504173469696,http://twitter.com/SenJohnKennedy/status/829333504173469696
861673252367859715,5.578999999998696,250,20,71,9,2018-05-04_15_51_36,1057,2017-05-08,861673252367859715,http://twitter.com/SenJohnKennedy/status/861673252367859715
861681698513309696,5.696336633705151,808,51,707,12,2018-05-04_15_50_03,3028,2017-05-08,861681698513309696,http://twitter.com/SenJohnKennedy/status/861681698513309696
861951929102028800,5.975814696482233,313,32,102,17,2018-05-04_15_48_28,1235,2017-05-09,861951929102028800,http://twitter.com/SenJohnKennedy/status/861951929102028800
