,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
910560283319562242,5.572993827157828,324,166,126,48,2018-05-05_16_25_26,1023,2017-09-20,910560283319562242,http://twitter.com/SenJohnThune/status/910560283319562242
913105542561886208,5.506183206123944,655,413,473,166,2018-05-05_16_23_53,2125,2017-09-27,913105542561886208,http://twitter.com/SenJohnThune/status/913105542561886208
913143865653198849,5.34531578949108,570,192,124,45,2018-05-05_16_22_30,1799,2017-09-27,913143865653198849,http://twitter.com/SenJohnThune/status/913143865653198849
914831647308173313,5.426998880215275,893,235,1.3K,29,2018-05-05_16_21_06,3073,2017-10-02,914831647308173313,http://twitter.com/SenJohnThune/status/914831647308173313
921043856954621952,5.5201636661385525,611,131,153,53,2018-05-05_16_19_42,1906,2017-10-19,921043856954621952,http://twitter.com/SenJohnThune/status/921043856954621952
921092442304196608,5.43613309353991,556,135,151,50,2018-05-05_16_18_14,1845,2017-10-18,921092442304196608,http://twitter.com/SenJohnThune/status/921092442304196608
896436353768017920,5.486718750032307,832,3382,5.7K,1169,2018-05-05_16_34_15,3096,2017-08-12,896436353768017920,http://twitter.com/SenJohnThune/status/896436353768017920
896449990264074242,5.455341506153495,571,1020,490,293,2018-05-05_16_32_38,2361,2017-08-12,896449990264074242,http://twitter.com/SenJohnThune/status/896449990264074242
902520854923415552,5.540159999998237,250,136,69,50,2018-05-05_16_31_11,871,2017-08-28,902520854923415552,http://twitter.com/SenJohnThune/status/902520854923415552
902904674617094144,5.445830815708852,331,86,72,31,2018-05-05_16_29_47,1071,2017-08-30,902904674617094144,http://twitter.com/SenJohnThune/status/902904674617094144
902987891458150401,5.4278551532275054,718,305,169,85,2018-05-05_16_28_16,2320,2017-08-30,902987891458150401,http://twitter.com/SenJohnThune/status/902987891458150401
905784433101459456,5.506881720436763,465,93,94,39,2018-05-05_16_26_54,1588,2017-09-06,905784433101459456,http://twitter.com/SenJohnThune/status/905784433101459456
874757859694825472,5.477629108009518,852,110,227,36,2018-05-05_16_43_36,3087,2017-06-13,874757859694825472,http://twitter.com/SenJohnThune/status/874757859694825472
877555039841259520,5.676365795728994,421,45,83,12,2018-05-05_16_42_15,1498,2017-06-21,877555039841259520,http://twitter.com/SenJohnThune/status/877555039841259520
877968672073162752,5.522298288526215,818,73,163,21,2018-05-05_16_40_48,2469,2017-06-22,877968672073162752,http://twitter.com/SenJohnThune/status/877968672073162752
879463474816049153,5.484164759730411,874,159,289,92,2018-05-05_16_39_00,2741,2017-06-26,879463474816049153,http://twitter.com/SenJohnThune/status/879463474816049153
880566745991434240,5.448564102584047,585,79,137,27,2018-05-05_16_37_28,1970,2017-06-29,880566745991434240,http://twitter.com/SenJohnThune/status/880566745991434240
889954968035307520,5.53076049945125,881,233,294,87,2018-05-05_16_35_48,2833,2017-07-25,889954968035307520,http://twitter.com/SenJohnThune/status/889954968035307520
836778522215649280,5.599419525062583,379,1987,113,488,2018-05-05_16_51_01,1393,2017-02-28,836778522215649280,http://twitter.com/SenJohnThune/status/836778522215649280
849720054396719104,5.409051383396928,253,54,85,24,2018-05-05_16_49_31,1080,2017-04-05,849720054396719104,http://twitter.com/SenJohnThune/status/849720054396719104
850097261128372231,5.609078341012677,217,125,85,26,2018-05-05_16_47_58,885,2017-04-06,850097261128372231,http://twitter.com/SenJohnThune/status/850097261128372231
862060629812760577,5.4081269841254604,315,20,81,13,2018-05-05_16_46_29,1035,2017-05-09,862060629812760577,http://twitter.com/SenJohnThune/status/862060629812760577
862430442548588548,5.661588785046263,214,94,89,94,2018-05-05_16_45_04,935,2017-05-10,862430442548588548,http://twitter.com/SenJohnThune/status/862430442548588548
