,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
896500115107717120,5.421364985161526,337,196,88,61,2018-05-04_17_30_16,1247,2017-08-12,896500115107717120,http://twitter.com/SenJoniErnst/status/896500115107717120
896500376517525505,5.585923566915097,628,852,191,256,2018-05-04_17_27_59,2414,2017-08-12,896500376517525505,http://twitter.com/SenJoniErnst/status/896500376517525505
905128776564137984,5.751599999998653,350,59,68,26,2018-05-04_17_26_21,1265,2017-09-05,905128776564137984,http://twitter.com/SenJoniErnst/status/905128776564137984
910572862746087429,5.247060606057613,330,27,72,6,2018-05-04_17_24_35,1103,2017-09-20,910572862746087429,http://twitter.com/SenJoniErnst/status/910572862746087429
913144630421671936,5.424874551967454,279,94,81,38,2018-05-04_17_22_57,949,2017-09-27,913144630421671936,http://twitter.com/SenJoniErnst/status/913144630421671936
914859313503588352,5.632255154663942,776,179,2.2K,42,2018-05-04_17_21_08,2489,2017-10-02,914859313503588352,http://twitter.com/SenJoniErnst/status/914859313503588352
826848086387519488,5.7078928571385665,280,51,88,23,2018-05-04_17_40_16,1176,2017-02-01,826848086387519488,http://twitter.com/SenJoniErnst/status/826848086387519488
826848137868431363,5.708511235957857,356,47,116,28,2018-05-04_17_38_41,1452,2017-02-01,826848137868431363,http://twitter.com/SenJoniErnst/status/826848137868431363
878307281946910721,5.68439678283807,373,279,97,128,2018-05-04_17_37_04,1134,2017-06-23,878307281946910721,http://twitter.com/SenJoniErnst/status/878307281946910721
884869011334418432,5.563853503182132,314,50,87,15,2018-05-04_17_35_25,1162,2017-07-11,884869011334418432,http://twitter.com/SenJoniErnst/status/884869011334418432
889939128279863297,5.560135338369519,665,77,134,11,2018-05-04_17_33_49,2214,2017-07-25,889939128279863297,http://twitter.com/SenJoniErnst/status/889939128279863297
890626946266091520,5.5542553191477175,282,453,82,87,2018-05-04_17_32_01,1021,2017-07-27,890626946266091520,http://twitter.com/SenJoniErnst/status/890626946266091520
555830014143635456,5.934380165293629,363,142,96,119,2018-05-04_17_50_51,1434,2015-01-15,555830014143635456,http://twitter.com/SenJoniErnst/status/555830014143635456
557351435038650368,5.882267441856853,344,143,87,98,2018-05-04_17_49_12,1174,2015-01-19,557351435038650368,http://twitter.com/SenJoniErnst/status/557351435038650368
673382413993705472,5.41962382444963,319,86,134,83,2018-05-04_17_47_27,1385,2015-12-05,673382413993705472,http://twitter.com/SenJoniErnst/status/673382413993705472
742019995748556801,5.3867268041211895,388,41,93,20,2018-05-04_17_45_51,1242,2016-06-12,742019995748556801,http://twitter.com/SenJoniErnst/status/742019995748556801
742403803530579968,5.12697270471443,403,24,107,7,2018-05-04_17_44_06,1319,2016-06-13,742403803530579968,http://twitter.com/SenJoniErnst/status/742403803530579968
826605996483178496,5.689341317364154,334,154,85,49,2018-05-04_17_42_17,1301,2017-01-31,826605996483178496,http://twitter.com/SenJoniErnst/status/826605996483178496
