,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
910180520738398209,5.6110416666641,288,683,87,157,2018-05-08_13_52_21,1124,2017-09-19,910180520738398209,http://twitter.com/SenMikeLee/status/910180520738398209
912690701229608961,5.580673652711073,668,585,226,170,2018-05-08_13_50_32,2311,2017-09-26,912690701229608961,http://twitter.com/SenMikeLee/status/912690701229608961
913128035242713090,5.498020618562295,485,585,88,165,2018-05-08_13_48_59,1431,2017-09-27,913128035242713090,http://twitter.com/SenMikeLee/status/913128035242713090
915215462631378944,5.319576837421904,449,254,96,88,2018-05-08_13_47_10,1488,2017-10-03,915215462631378944,http://twitter.com/SenMikeLee/status/915215462631378944
920685940435234816,5.6054054054085505,444,141,83,69,2018-05-08_13_45_31,1411,2017-10-18,920685940435234816,http://twitter.com/SenMikeLee/status/920685940435234816
903287022512680965,5.583649484546014,485,166,124,70,2018-05-08_13_59_52,1838,2017-08-31,903287022512680965,http://twitter.com/SenMikeLee/status/903287022512680965
905442839974346754,5.807019133952885,993,10117,2.6K,1412,2018-05-08_13_57_26,3121,2017-09-06,905442839974346754,http://twitter.com/SenMikeLee/status/905442839974346754
905890403051859968,5.6364985590990315,694,1158,151,425,2018-05-08_13_55_45,2450,2017-09-07,905890403051859968,http://twitter.com/SenMikeLee/status/905890403051859968
907938734879985664,5.707956204400631,685,2847,175,1373,2018-05-08_13_54_00,2320,2017-09-12,907938734879985664,http://twitter.com/SenMikeLee/status/907938734879985664
890257554118512640,5.379533607706487,729,589,196,175,2018-05-08_14_07_03,3091,2017-07-26,890257554118512640,http://twitter.com/SenMikeLee/status/890257554118512640
891005446659727364,5.599264705910713,884,1047,264,214,2018-05-08_14_05_33,3029,2017-07-28,891005446659727364,http://twitter.com/SenMikeLee/status/891005446659727364
891005739824795649,5.580722543385447,1038,3307,893,1199,2018-05-08_14_04_00,3709,2017-07-28,891005739824795649,http://twitter.com/SenMikeLee/status/891005739824795649
893475711926796288,5.557473958357902,768,1774,316,655,2018-05-08_14_01_29,2972,2017-08-04,893475711926796288,http://twitter.com/SenMikeLee/status/893475711926796288
