,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
890993932989026304,5.521765463943861,776,20,153,11,2018-05-05_16_26_21,2618,2017-07-28,890993932989026304,http://twitter.com/SenPatRoberts/status/890993932989026304
896476932363214848,5.418611987379081,317,177,136,71,2018-05-05_16_24_55,1193,2017-08-12,896476932363214848,http://twitter.com/SenPatRoberts/status/896476932363214848
908044259600760832,5.850916334672866,502,41,102,14,2018-05-05_16_23_27,1691,2017-09-13,908044259600760832,http://twitter.com/SenPatRoberts/status/908044259600760832
908083130275430405,5.783795761099047,519,87,127,25,2018-05-05_16_21_59,1837,2017-09-13,908083130275430405,http://twitter.com/SenPatRoberts/status/908083130275430405
908850969013837824,5.821033557078209,745,1148,242,238,2018-05-05_16_20_27,2489,2017-09-15,908850969013837824,http://twitter.com/SenPatRoberts/status/908850969013837824
914808576224497666,5.144981949458955,277,55,484,17,2018-05-05_16_19_09,756,2017-10-02,914808576224497666,http://twitter.com/SenPatRoberts/status/914808576224497666
879824635860312064,5.527831325300604,166,7,92,8,2018-05-05_16_33_54,557,2017-06-27,879824635860312064,http://twitter.com/SenPatRoberts/status/879824635860312064
885600758896439296,5.416168478257709,368,14,79,4,2018-05-05_16_32_27,1283,2017-07-13,885600758896439296,http://twitter.com/SenPatRoberts/status/885600758896439296
885621706429276160,5.524478527605988,326,10,81,6,2018-05-05_16_30_56,1055,2017-07-13,885621706429276160,http://twitter.com/SenPatRoberts/status/885621706429276160
887837299173715968,5.919595141699707,247,13146,74,2151,2018-05-05_16_29_36,834,2017-07-19,887837299173715968,http://twitter.com/SenPatRoberts/status/887837299173715968
890382903611469824,5.4576288659790055,194,78,120,25,2018-05-05_16_27_45,759,2017-07-26,890382903611469824,http://twitter.com/SenPatRoberts/status/890382903611469824
844251506215927808,5.854049930663445,721,64602,11K,14259,2018-05-05_16_43_03,2391,2017-03-21,844251506215927808,http://twitter.com/SenPatRoberts/status/844251506215927808
844282695341527043,6.009009584664228,313,5199,377,1018,2018-05-05_16_41_36,966,2017-03-21,844282695341527043,http://twitter.com/SenPatRoberts/status/844282695341527043
844969099067318272,5.5651254089666775,917,1066,8.1K,684,2018-05-05_16_39_58,2768,2017-03-23,844969099067318272,http://twitter.com/SenPatRoberts/status/844969099067318272
846832404807454726,5.450683229812545,161,166,97,48,2018-05-05_16_38_35,679,2017-03-28,846832404807454726,http://twitter.com/SenPatRoberts/status/846832404807454726
862318369688702979,5.808000000003947,395,10,125,17,2018-05-05_16_37_10,1462,2017-05-10,862318369688702979,http://twitter.com/SenPatRoberts/status/862318369688702979
877953142050226176,5.385367816111042,870,30,162,26,2018-05-05_16_35_22,2846,2017-06-22,877953142050226176,http://twitter.com/SenPatRoberts/status/877953142050226176
823246100438118400,5.579792592602064,675,45074,437,33557,2018-05-05_16_50_44,1838,2017-01-22,823246100438118400,http://twitter.com/SenPatRoberts/status/823246100438118400
826120582538358785,5.4981944444407365,360,12,106,18,2018-05-05_16_49_08,1335,2017-01-30,826120582538358785,http://twitter.com/SenPatRoberts/status/826120582538358785
826457127212482560,5.692756756754701,185,78,93,57,2018-05-05_16_47_37,756,2017-01-31,826457127212482560,http://twitter.com/SenPatRoberts/status/826457127212482560
826482799335055360,5.635518591006763,511,11,119,4,2018-05-05_16_46_05,1593,2017-01-31,826482799335055360,http://twitter.com/SenPatRoberts/status/826482799335055360
829490530639831041,5.697204610948999,347,31,97,7,2018-05-05_16_44_39,954,2017-02-08,829490530639831041,http://twitter.com/SenPatRoberts/status/829490530639831041
742013786165415941,5.490612777080548,767,35,327,25,2018-05-05_16_58_24,2388,2016-06-12,742013786165415941,http://twitter.com/SenPatRoberts/status/742013786165415941
755490791875813376,6.037108433734015,166,747,183,1099,2018-05-05_16_57_06,497,2016-07-19,755490791875813376,http://twitter.com/SenPatRoberts/status/755490791875813376
801485956650037248,5.722101167312784,257,16,82,4,2018-05-05_16_55_39,932,2016-11-23,801485956650037248,http://twitter.com/SenPatRoberts/status/801485956650037248
822098975243255808,5.7167676767663975,297,10,99,4,2018-05-05_16_54_07,1206,2017-01-19,822098975243255808,http://twitter.com/SenPatRoberts/status/822098975243255808
822176995765321728,5.587208333330142,240,178,87,65,2018-05-05_16_52_34,1010,2017-01-19,822176995765321728,http://twitter.com/SenPatRoberts/status/822176995765321728
702146938959962112,5.4507236842075075,304,512,82,406,2018-05-05_17_05_58,1276,2016-02-23,702146938959962112,http://twitter.com/SenPatRoberts/status/702146938959962112
703014671671037956,5.543507853400294,382,34,90,36,2018-05-05_17_03_16,1268,2016-02-25,703014671671037956,http://twitter.com/SenPatRoberts/status/703014671671037956
710184774929936384,5.746572890039084,391,81,140,52,2018-05-05_17_01_32,1875,2016-03-16,710184774929936384,http://twitter.com/SenPatRoberts/status/710184774929936384
710217142373900288,5.904186046505492,301,7,89,8,2018-05-05_16_59_54,1311,2016-03-16,710217142373900288,http://twitter.com/SenPatRoberts/status/710217142373900288
651391251741319168,5.41059782608696,184,84,81,195,2018-05-05_17_14_17,771,2015-10-06,651391251741319168,http://twitter.com/SenPatRoberts/status/651391251741319168
657772971726118912,6.4555518394614735,299,6289,123,7369,2018-05-05_17_12_41,1106,2015-10-23,657772971726118912,http://twitter.com/SenPatRoberts/status/657772971726118912
661053927920680960,6.331360544217116,147,14200,274,16533,2018-05-05_17_10_53,508,2015-11-01,661053927920680960,http://twitter.com/SenPatRoberts/status/661053927920680960
667026823604125696,5.350043668121418,229,38,86,86,2018-05-05_17_09_23,1084,2015-11-18,667026823604125696,http://twitter.com/SenPatRoberts/status/667026823604125696
684426067705200640,5.248932038834282,206,22,80,7,2018-05-05_17_07_46,685,2016-01-05,684426067705200640,http://twitter.com/SenPatRoberts/status/684426067705200640
